platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status
linkedin,li_cre_1387,2025-12-19 21:00:00+00:00,65,2,0.06116,USD,RECEIVED,LIMITED
linkedin,li_cre_2061,2025-12-14 00:00:00+00:00,71,0,0.056728,USD,VALIDATED,ACTIVE
linkedin,li_cre_2260,2025-12-02 20:00:00+00:00,416,21,0.160806,USD,VALIDATED,ACTIVE
linkedin,li_cre_356,2026-01-06 09:00:00+00:00,202,9,0.123454,USD,VALIDATED,ACTIVE
linkedin,li_cre_2759,2025-11-20 19:00:00+00:00,1116,26,1.167746,USD,ENRICHED,PAUSED
linkedin,li_cre_959,2025-12-15 18:00:00+00:00,369,10,0.143709,USD,PUBLISHED,ACTIVE
linkedin,li_cre_967,2025-10-23 16:00:00+00:00,98,5,0.027569,USD,VALIDATED,ACTIVE
linkedin,li_cre_1308,2025-12-04 10:00:00+00:00,131,3,0.146948,USD,VALIDATED,ACTIVE
linkedin,li_cre_1150,2025-09-21 18:00:00+00:00,303,8,0.554453,USD,VALIDATED,LIMITED
linkedin,li_cre_916,2026-01-09 14:00:00+00:00,85,6,0.057481,USD,ENRICHED,DISAPPROVED
linkedin,li_cre_2406,2026-01-13 04:00:00+00:00,222,15,0.161405,USD,RECEIVED,PAUSED
linkedin,li_cre_319,2025-09-22 22:00:00+00:00,227,7,0.411482,USD,VALIDATED,ACTIVE
linkedin,li_cre_2761,2025-12-26 07:00:00+00:00,35,0,0.025404,USD,ENRICHED,ACTIVE
linkedin,li_cre_1134,2025-10-13 13:00:00+00:00,180,8,0.335861,USD,VALIDATED,ACTIVE
linkedin,li_cre_7,2025-10-31 08:00:00+00:00,333,7,0.073556,USD,PUBLISHED,ACTIVE
linkedin,li_cre_945,2025-11-15 03:00:00+00:00,441,2,0.231727,USD,VALIDATED,DISAPPROVED
linkedin,li_cre_841,2025-11-15 07:00:00+00:00,342,14,0.0012544844254588636,USD,PUBLISHED,PAUSED
linkedin,li_cre_1382,2025-10-17 02:00:00+00:00,28,0,0.03365,USD,ENRICHED,ACTIVE
linkedin,li_cre_2269,2025-11-19 07:00:00+00:00,230,8,0.125067,USD,VALIDATED,ACTIVE
linkedin,li_cre_2027,2026-01-16 03:00:00+00:00,39,2,0.027611,USD,ENRICHED,ACTIVE
linkedin,li_cre_2789,2026-01-12 22:00:00+00:00,81,4,0.017261,USD,VALIDATED,ACTIVE
linkedin,li_cre_54,2025-10-20 19:00:00+00:00,138,3,0.059445,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2264,2026-01-14 23:00:00+00:00,161,12,0.018543,USD,ENRICHED,ACTIVE
linkedin,li_cre_631,2025-10-29 11:00:00+00:00,150,1,0.018732,USD,PUBLISHED,DISAPPROVED
linkedin,li_cre_2009,2025-12-09 10:00:00+00:00,93,0,0.018078,USD,RECEIVED,ACTIVE
linkedin,li_cre_1180,2025-11-10 05:00:00+00:00,240,9,0.041184,USD,VALIDATED,ACTIVE
linkedin,li_cre_2241,2025-10-25 09:00:00+00:00,134,10,-0.0996,USD,VALIDATED,ACTIVE
linkedin,li_cre_2097,2025-11-03 13:00:00+00:00,66,0,0.018095,USD,PUBLISHED,ACTIVE
linkedin,li_cre_323,2026-01-04 19:00:00+00:00,706,10,0.743506,USD,RECEIVED,ACTIVE
linkedin,li_cre_1253,2025-10-21 11:00:00+00:00,299,14,0.077484,USD,ENRICHED,ACTIVE
linkedin,li_cre_2073,2025-09-22 17:00:00+00:00,93,2,0.113478,USD,PUBLISHED,ACTIVE
linkedin,li_cre_667,2025-12-21 00:00:00+00:00,30,1,0.010045,USD,RECEIVED,ACTIVE
linkedin,li_cre_689,2025-10-15 13:00:00+00:00,138,1,0.03186,USD,RECEIVED,ARCHIVED
linkedin,li_cre_145,2025-11-09 18:00:00+00:00,53,0,0.090131,USD,ENRICHED,ACTIVE
linkedin,li_cre_1592,2025-12-14 15:00:00+00:00,145,7,0.159528,USD,ENRICHED,ACTIVE
linkedin,li_cre_2102,2025-10-20 19:00:00+00:00,354,25,0.478015,USD,PUBLISHED,DRAFT
linkedin,li_cre_907,2025-11-26 15:00:00+00:00,210,5,0.190745,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2277,2025-12-06 01:00:00+00:00,276,28,0.080564,USD,ENRICHED,ACTIVE
linkedin,li_cre_1651,2025-10-19 20:00:00+00:00,66,3,0.030872,USD,VALIDATED,ACTIVE
linkedin,li_cre_576,2025-11-29 17:00:00+00:00,154,2,0.237823,USD,VALIDATED,ACTIVE
linkedin,li_cre_1984,2025-11-02 07:00:00+00:00,30,0,0.022393,USD,VALIDATED,LIMITED
linkedin,li_cre_1505,2025-09-28 07:00:00+00:00,125,9,0.110094,USD,PUBLISHED,ACTIVE
linkedin,li_cre_287,2025-11-03 10:00:00+00:00,181,7,0.114372,USD,ENRICHED,ACTIVE
linkedin,li_cre_509,2025-12-31 19:00:00+00:00,203,6,0.095826,USD,VALIDATED,ACTIVE
linkedin,li_cre_1250,2026-01-04 05:00:00+00:00,110,3,0.084495,USD,ENRICHED,ACTIVE
linkedin,li_cre_2108,2025-11-09 20:00:00+00:00,178,1,0.157805,USD,VALIDATED,ACTIVE
linkedin,li_cre_2162,2025-10-28 08:00:00+00:00,466,27,0.167309,USD,VALIDATED,ACTIVE
linkedin,li_cre_514,2025-11-02 13:00:00+00:00,124,3,0.145966,USD,VALIDATED,ACTIVE
linkedin,li_cre_2299,2025-11-08 21:00:00+00:00,486,12,0.37111,USD,PUBLISHED,ACTIVE
linkedin,li_cre_594,2025-11-17 23:00:00+00:00,105,2,0.076998,USD,PUBLISHED,ACTIVE
linkedin,li_cre_818,2025-12-11 06:00:00+00:00,212,3,0.313953,USD,ENRICHED,ACTIVE
linkedin,li_cre_1854,2025-12-17 03:00:00+00:00,266,12,0.093766,USD,ENRICHED,ACTIVE
linkedin,li_cre_854,2025-11-16 08:00:00+00:00,38,1,0.068043,USD,VALIDATED,PAUSED
linkedin,li_cre_1371,2025-11-17 06:00:00+00:00,83,1,-0.102921,USD,PUBLISHED,ACTIVE
linkedin,li_cre_838,2025-11-23 12:00:00+00:00,105,7,0.041837,USD,ENRICHED,DRAFT
linkedin,li_cre_2590,2025-10-03 14:00:00+00:00,625,4,0.872682,USD,PUBLISHED,PAUSED
linkedin,li_cre_824,2025-11-11 13:00:00+00:00,71,3,0.053093,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1041,2025-11-28 19:00:00+00:00,95,0,0.05707,USD,VALIDATED,ACTIVE
linkedin,li_cre_2616,2025-10-26 06:00:00+00:00,300,10,0.147744,USD,VALIDATED,PAUSED
linkedin,li_cre_2758,2025-11-29 04:00:00+00:00,257,11,0.110475,USD,ENRICHED,LIMITED
linkedin,li_cre_1934,2025-11-22 11:00:00+00:00,131,2,0.117822,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2400,2025-11-07 05:00:00+00:00,171,3,0.022368,USD,VALIDATED,ACTIVE
linkedin,li_cre_2237,2025-12-20 22:00:00+00:00,128,5,0.130331,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2180,2025-10-31 01:00:00+00:00,83,1,0.046795,USD,VALIDATED,ACTIVE
linkedin,li_cre_1795,2025-12-29 03:00:00+00:00,274,6,0.130668,USD,PUBLISHED,DISAPPROVED
linkedin,li_cre_80,2025-12-05 01:00:00+00:00,246,10,0.202041,USD,RECEIVED,ACTIVE
linkedin,li_cre_1692,2025-10-12 00:00:00+00:00,358,20,0.32376,USD,ENRICHED,ACTIVE
linkedin,li_cre_2435,2025-11-16 21:00:00+00:00,152,10,0.03617,USD,VALIDATED,PAUSED
linkedin,li_cre_2394,2025-09-29 17:00:00+00:00,438,3,0.299973,USD,VALIDATED,ACTIVE
linkedin,li_cre_960,2025-11-14 12:00:00+00:00,395,6,0.207926,USD,PUBLISHED,ARCHIVED
linkedin,li_cre_1823,2025-10-11 01:00:00+00:00,154,12,0.107066,USD,ENRICHED,ACTIVE
linkedin,li_cre_1735,2026-01-10 21:00:00+00:00,504,5,0.394359,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2652,2025-12-18 07:00:00+00:00,155,7,0.051251,USD,ENRICHED,ACTIVE
linkedin,li_cre_2027,2025-10-03 03:00:00+00:00,646,67,0.538919,USD,VALIDATED,PAUSED
linkedin,li_cre_218,2025-12-25 03:00:00+00:00,406,14,0.65133,USD,VALIDATED,ACTIVE
linkedin,li_cre_1,2025-11-18 10:00:00+00:00,207,11,0.124706,USD,ENRICHED,ACTIVE
linkedin,li_cre_190,2025-10-07 02:00:00+00:00,270,19,0.095591,USD,ENRICHED,ACTIVE
linkedin,li_cre_2749,2025-09-28 02:00:00+00:00,304,7,0.176561,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1329,2025-09-26 09:00:00+00:00,163,4,0.050803,USD,ENRICHED,ACTIVE
linkedin,li_cre_517,2025-10-06 16:00:00+00:00,99,4,0.172715,USD,PUBLISHED,ACTIVE
linkedin,li_cre_928,2025-10-27 02:00:00+00:00,119,4,0.121184,USD,RECEIVED,ACTIVE
linkedin,li_cre_784,2025-11-17 05:00:00+00:00,27,2,0.004583,USD,ENRICHED,ARCHIVED
linkedin,li_cre_1375,2025-12-09 22:00:00+00:00,236,7,0.325143,USD,VALIDATED,ACTIVE
linkedin,li_cre_1121,2026-01-04 20:00:00+00:00,86,0,0.046836,USD,VALIDATED,ACTIVE
linkedin,li_cre_1527,2025-09-29 17:00:00+00:00,273,5,0.100967,USD,PUBLISHED,ARCHIVED
linkedin,li_cre_404,2025-11-05 23:00:00+00:00,67,0,0.069535,USD,PUBLISHED,ACTIVE
linkedin,li_cre_789,2025-10-15 10:00:00+00:00,90,6,0.013936,USD,ENRICHED,ACTIVE
linkedin,li_cre_2374,2025-10-09 08:00:00+00:00,273,17,0.35086,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2753,2025-10-08 11:00:00+00:00,124,11,0.199049,USD,VALIDATED,ACTIVE
linkedin,li_cre_1483,2025-10-20 03:00:00+00:00,211,8,0.139416,USD,ENRICHED,DRAFT
linkedin,li_cre_1310,2025-09-19 22:00:00+00:00,336,5,0.193415,USD,ENRICHED,ACTIVE
linkedin,li_cre_1403,2025-11-19 10:00:00+00:00,110,1,0.05598,USD,VALIDATED,ACTIVE
linkedin,li_cre_442,2025-11-23 23:00:00+00:00,98,2,0.044871,USD,VALIDATED,ACTIVE
linkedin,li_cre_717,2025-10-14 19:00:00+00:00,189,7,0.047124,USD,PUBLISHED,ARCHIVED
linkedin,li_cre_1726,2026-01-01 14:00:00+00:00,133,1,0.037512,USD,ENRICHED,DRAFT
linkedin,li_cre_1101,2025-12-09 07:00:00+00:00,130,1,0.037832,USD,ENRICHED,ACTIVE
linkedin,li_cre_1549,2026-01-14 05:00:00+00:00,301,14,0.054448,USD,PUBLISHED,ACTIVE
linkedin,li_cre_482,2025-10-20 18:00:00+00:00,117,8,0.004749,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1931,2025-09-25 04:00:00+00:00,134,0,0.069233,USD,RECEIVED,ACTIVE
linkedin,li_cre_872,2025-12-03 18:00:00+00:00,32,1,0.010554,USD,PUBLISHED,ACTIVE
linkedin,li_cre_941,2025-10-09 12:00:00+00:00,89,1,0.13083,USD,RECEIVED,ACTIVE
linkedin,li_cre_798,2025-12-02 20:00:00+00:00,104,7,0.109109,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2542,2025-11-28 22:00:00+00:00,336,32,0.075182,USD,ENRICHED,ACTIVE
linkedin,li_cre_1742,2025-12-05 21:00:00+00:00,49,0,0.0186,USD,VALIDATED,ACTIVE
linkedin,li_cre_2020,2025-11-08 01:00:00+00:00,666,16,0.036917,USD,VALIDATED,ACTIVE
linkedin,li_cre_659,2025-12-25 00:00:00+00:00,810,4,0.244686,USD,RECEIVED,ACTIVE
linkedin,li_cre_425,2025-10-15 06:00:00+00:00,172,5,0.04432914051499761,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1208,2025-12-18 00:00:00+00:00,201,0,0.0006241532614819818,USD,VALIDATED,ACTIVE
linkedin,li_cre_1073,2025-10-16 05:00:00+00:00,80,0,0.031482,USD,ENRICHED,ACTIVE
linkedin,li_cre_378,2025-12-04 17:00:00+00:00,41,1,0.02519,USD,ENRICHED,ACTIVE
linkedin,li_cre_1994,2025-12-24 07:00:00+00:00,48,2,0.01522,USD,RECEIVED,ACTIVE
linkedin,li_cre_1322,2025-12-28 23:00:00+00:00,238,4,0.059247,USD,ENRICHED,ACTIVE
linkedin,li_cre_2568,2025-12-09 16:00:00+00:00,112,5,0.056886,USD,VALIDATED,ACTIVE
linkedin,li_cre_556,2025-10-14 22:00:00+00:00,96,2,0.01594,USD,PUBLISHED,LIMITED
linkedin,li_cre_718,2025-10-18 19:00:00+00:00,303,7,0.005896,USD,RECEIVED,ACTIVE
linkedin,li_cre_592,2025-10-28 18:00:00+00:00,91,19,0.012885,USD,ENRICHED,ACTIVE
linkedin,li_cre_1317,2025-12-24 00:00:00+00:00,519,63,0.896908,USD,VALIDATED,ACTIVE
linkedin,li_cre_839,2025-11-16 04:00:00+00:00,64,0,0.063311,USD,RECEIVED,ACTIVE
linkedin,li_cre_1461,2025-12-24 10:00:00+00:00,189,6,0.103447,USD,PUBLISHED,LIMITED
linkedin,li_cre_64,2025-12-10 19:00:00+00:00,102,11,0.089235,USD,RECEIVED,ACTIVE
linkedin,li_cre_2258,2025-09-23 09:00:00+00:00,333,2,0.123507,USD,VALIDATED,ACTIVE
linkedin,li_cre_1362,2025-10-06 02:00:00+00:00,321,13,0.239614,USD,PUBLISHED,DISAPPROVED
linkedin,li_cre_1961,2026-01-02 23:00:00+00:00,150,2,0.127741,USD,VALIDATED,ACTIVE
linkedin,li_cre_121,2025-11-30 16:00:00+00:00,123,5,0.044641,USD,PUBLISHED,ACTIVE
linkedin,li_cre_792,2025-11-22 11:00:00+00:00,93,0,0.141135,USD,PUBLISHED,PAUSED
linkedin,li_cre_284,2025-11-07 03:00:00+00:00,187,7,0.313503,USD,VALIDATED,LIMITED
linkedin,li_cre_1835,2025-11-13 18:00:00+00:00,37,1,0.009855,USD,VALIDATED,ACTIVE
linkedin,li_cre_2413,2025-11-30 21:00:00+00:00,50,1,0.047491,USD,RECEIVED,ACTIVE
linkedin,li_cre_2352,2025-12-05 01:00:00+00:00,117,0,0.041948,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1106,2025-10-13 04:00:00+00:00,90,1,0.111185,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2254,2026-01-13 17:00:00+00:00,273,5,0.500524,USD,PUBLISHED,LIMITED
linkedin,li_cre_2479,2025-10-21 10:00:00+00:00,292,415,0.204222,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2335,2025-12-30 03:00:00+00:00,153,0,0.084783,USD,PUBLISHED,ACTIVE
linkedin,li_cre_269,2025-10-09 03:00:00+00:00,579,3,0.463378,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1631,2026-01-12 13:00:00+00:00,222,17,0.215661,USD,VALIDATED,ACTIVE
linkedin,li_cre_2263,2025-12-25 17:00:00+00:00,26,0,0.000344,USD,VALIDATED,ACTIVE
linkedin,li_cre_1030,2025-10-02 08:00:00+00:00,93,6,0.023292,USD,ENRICHED,PAUSED
linkedin,li_cre_902,2025-12-07 08:00:00+00:00,249,8,0.319337,USD,VALIDATED,PAUSED
linkedin,li_cre_2578,2025-11-26 01:00:00+00:00,227,29,0.451152,USD,PUBLISHED,ACTIVE
linkedin,li_cre_941,2025-11-13 07:00:00+00:00,194,30,0.068682,USD,ENRICHED,ARCHIVED
linkedin,li_cre_2503,2025-11-30 07:00:00+00:00,104,1,0.036144,USD,VALIDATED,PAUSED
linkedin,li_cre_265,2025-10-03 19:00:00+00:00,288,21,0.157502,USD,VALIDATED,PAUSED
linkedin,li_cre_1791,2025-09-21 19:00:00+00:00,132,1,0.168476,USD,VALIDATED,ACTIVE
linkedin,li_cre_2738,2025-11-10 00:00:00+00:00,225,1,0.036488,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2643,2025-11-23 13:00:00+00:00,156,3,0.138416,USD,VALIDATED,ACTIVE
linkedin,li_cre_488,2025-12-27 02:00:00+00:00,180,10,0.061072,USD,PUBLISHED,ACTIVE
linkedin,li_cre_44,2025-12-27 21:00:00+00:00,396,16,0.479412,USD,ENRICHED,LIMITED
linkedin,li_cre_59,2025-12-23 09:00:00+00:00,109,2,0.042426,USD,PUBLISHED,PAUSED
linkedin,li_cre_1241,2025-12-25 13:00:00+00:00,327,4,0.158938,USD,VALIDATED,DISAPPROVED
linkedin,li_cre_2162,2025-10-10 16:00:00+00:00,94,2,0.120211,USD,ENRICHED,ACTIVE
linkedin,li_cre_2034,2025-11-05 11:00:00+00:00,265,8,0.025847,USD,RECEIVED,ACTIVE
linkedin,li_cre_1255,2025-09-21 23:00:00+00:00,294,5,0.291598,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2381,2026-01-13 21:00:00+00:00,143,0,0.044459,USD,ENRICHED,ACTIVE
linkedin,li_cre_558,2025-10-29 10:00:00+00:00,888,39,1.423939,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1918,2025-11-10 17:00:00+00:00,128,3,0.039652,USD,ENRICHED,ACTIVE
linkedin,li_cre_1420,2025-09-20 18:00:00+00:00,100,0,0.043289,USD,VALIDATED,ACTIVE
linkedin,li_cre_1423,2026-01-03 19:00:00+00:00,270,4,0.206771,USD,ENRICHED,ACTIVE
linkedin,li_cre_793,2025-10-16 10:00:00+00:00,1330,90,1.420013,USD,VALIDATED,DRAFT
linkedin,li_cre_2628,2025-11-29 00:00:00+00:00,373,11,0.161793,USD,ENRICHED,ACTIVE
linkedin,li_cre_932,2025-11-05 10:00:00+00:00,83,4,0.044788,USD,PUBLISHED,ACTIVE
linkedin,li_cre_356,2026-01-03 00:00:00+00:00,74,3,0.160065,USD,VALIDATED,ACTIVE
linkedin,li_cre_2389,2025-11-04 02:00:00+00:00,121,2,0.010991,USD,VALIDATED,ACTIVE
linkedin,li_cre_1350,2025-12-06 18:00:00+00:00,88,1,0.147306,USD,VALIDATED,ACTIVE
linkedin,li_cre_736,2025-12-21 03:00:00+00:00,111,3,0.077623,USD,VALIDATED,ACTIVE
linkedin,li_cre_1808,2025-12-01 11:00:00+00:00,83,2,0.098583,USD,RECEIVED,ACTIVE
linkedin,li_cre_30,2025-12-06 22:00:00+00:00,63,8,0.031702,USD,VALIDATED,PAUSED
linkedin,li_cre_2401,2026-01-13 23:00:00+00:00,359,27,0.060444,USD,VALIDATED,ACTIVE
linkedin,li_cre_886,2025-12-26 12:00:00+00:00,291,14,0.451786,USD,ENRICHED,PAUSED
linkedin,li_cre_1540,2025-09-26 08:00:00+00:00,369,22,0.104795,USD,ENRICHED,ACTIVE
linkedin,li_cre_1380,2025-09-19 09:00:00+00:00,143,4,0.070533,USD,PUBLISHED,LIMITED
linkedin,li_cre_1874,2025-11-10 04:00:00+00:00,148,7,0.100103,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2640,2025-12-12 23:00:00+00:00,91,3,0.047821,USD,VALIDATED,DRAFT
linkedin,li_cre_1281,2025-10-20 03:00:00+00:00,54,1,0.002992,USD,VALIDATED,ACTIVE
linkedin,li_cre_1234,2025-10-31 12:00:00+00:00,145,4,0.068181,USD,PUBLISHED,DRAFT
linkedin,li_cre_2402,2025-12-03 01:00:00+00:00,140,3,0.007073,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1449,2025-10-31 01:00:00+00:00,278,30,0.082256,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2191,2025-09-21 14:00:00+00:00,195,2,0.062605,USD,VALIDATED,PAUSED
linkedin,li_cre_718,2026-01-09 12:00:00+00:00,1315,217,0.263186,USD,VALIDATED,DISAPPROVED
linkedin,li_cre_1760,2025-11-12 12:00:00+00:00,190,3,0.126794,USD,ENRICHED,PAUSED
linkedin,li_cre_1832,2026-01-06 13:00:00+00:00,119,3,0.070217,USD,RECEIVED,ACTIVE
linkedin,li_cre_268,2025-11-29 23:00:00+00:00,235,7,0.044051,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2022,2025-12-03 05:00:00+00:00,257,11,0.129405,USD,VALIDATED,ACTIVE
linkedin,li_cre_2148,2025-10-13 22:00:00+00:00,130,3,0.085202,USD,RECEIVED,ACTIVE
linkedin,li_cre_2019,2025-10-09 01:00:00+00:00,157,13,0.12007,USD,VALIDATED,ACTIVE
linkedin,li_cre_661,2025-10-31 07:00:00+00:00,215,6,0.225271,USD,PUBLISHED,ACTIVE
linkedin,li_cre_471,2026-01-16 11:00:00+00:00,58,3,0.111299,USD,ENRICHED,ACTIVE
linkedin,li_cre_1253,2026-01-07 16:00:00+00:00,139,0,0.205462,USD,PUBLISHED,PAUSED
linkedin,li_cre_1142,2025-12-20 09:00:00+00:00,61,2,0.019151,USD,RECEIVED,ACTIVE
linkedin,li_cre_1714,2025-10-10 05:00:00+00:00,188,7,0.029895,USD,ENRICHED,ACTIVE
linkedin,li_cre_711,2025-10-13 10:00:00+00:00,361,16,0.244758,USD,PUBLISHED,ACTIVE
linkedin,li_cre_360,2025-11-01 23:00:00+00:00,101,0,0.058636,USD,VALIDATED,ACTIVE
linkedin,li_cre_957,2025-11-30 09:00:00+00:00,78,2,0.008759,USD,VALIDATED,ACTIVE
linkedin,li_cre_365,2025-10-04 02:00:00+00:00,95,3,0.053215,USD,ENRICHED,PAUSED
linkedin,li_cre_818,2026-01-02 21:00:00+00:00,71,6,0.046957,USD,VALIDATED,PAUSED
linkedin,li_cre_136,2025-11-21 17:00:00+00:00,223,11,0.172813,USD,ENRICHED,ACTIVE
linkedin,li_cre_501,2025-10-28 01:00:00+00:00,84,2,0.045835,USD,PUBLISHED,ACTIVE
linkedin,li_cre_310,2025-10-03 10:00:00+00:00,232,26,0.265413,USD,ENRICHED,PAUSED
linkedin,li_cre_1361,2026-01-05 20:00:00+00:00,1132,62,0.173217,USD,ENRICHED,ACTIVE
linkedin,li_cre_2640,2026-01-08 04:00:00+00:00,218,3,0.174106,USD,RECEIVED,ACTIVE
linkedin,li_cre_1037,2025-12-24 23:00:00+00:00,220,8,0.140183,USD,VALIDATED,ACTIVE
linkedin,li_cre_713,2025-12-10 09:00:00+00:00,89,0,0.05924343191565208,USD,VALIDATED,ACTIVE
linkedin,li_cre_1439,2026-01-13 23:00:00+00:00,182,12,0.092955,USD,VALIDATED,ARCHIVED
linkedin,li_cre_2233,2025-10-07 14:00:00+00:00,95,2,0.041671,USD,ENRICHED,ACTIVE
linkedin,li_cre_2001,2025-10-17 11:00:00+00:00,94,0,0.031226,USD,VALIDATED,ACTIVE
linkedin,li_cre_1164,2025-12-22 12:00:00+00:00,114,3,0.022831,USD,VALIDATED,ACTIVE
linkedin,li_cre_480,2025-09-26 05:00:00+00:00,191,3,0.106146,USD,VALIDATED,LIMITED
linkedin,li_cre_1007,2025-12-08 11:00:00+00:00,91,1,0.006866,USD,VALIDATED,ACTIVE
linkedin,li_cre_2397,2025-11-25 05:00:00+00:00,105,3,0.027404,USD,VALIDATED,ACTIVE
linkedin,li_cre_1116,2026-01-06 03:00:00+00:00,246,284,0.32731,USD,RECEIVED,LIMITED
linkedin,li_cre_498,2025-11-01 03:00:00+00:00,292,6,0.454352,USD,VALIDATED,ACTIVE
linkedin,li_cre_2478,2025-10-28 18:00:00+00:00,80,4,0.038469,USD,RECEIVED,PAUSED
linkedin,li_cre_198,2025-12-11 15:00:00+00:00,375,11,0.273625,USD,VALIDATED,ACTIVE
linkedin,li_cre_1402,2025-09-24 02:00:00+00:00,60,7,0.020739,USD,PUBLISHED,ACTIVE
