advertiser_id,campaign_id,adgroup_id,ad_id,video_id,stat_time_hour,timezone_offset,device_type,inventory_type,creative_type,video_length_seconds,views_2s,views_6s,views_25p,views_50p,views_75p,views_100p,avg_watch_seconds,impressions,clicks,cost,currency_code,ad_status,pipe_state,quarantine_reason,row_id,row_hash,source_file,ingested_at_utc
tt_adv_20,tt_camp_19,tt_group_350,tt_ad_986,tt_vid_2212,2025-11-16 07:00:00,,TABLET,TOPVIEW,VIDEO,90.0,4.0,8.0,2.0,2.0,2.0,2.0,47.78,78,4,0.010577,PHP,ENABLE,PUB,,row_d65ci2nn1guz,hash_vnphsxvl5eff1s,tiktok_20251116_07.csv,2025-11-18T07:34:00+00:00
tt_adv_15,tt_camp_134,tt_group_493,tt_ad_526,tt_vid_239,2025-11-21 21:00:00,+0000,TABLET,SEARCH,VIDEO_AD,8.0,5.0,2.0,2.0,1.0,2.0,0.0,3.97,60,2,0.023887,USD,LIMITED,ENR,,row_bz79ouytsct1,hash_o89if30zasm1s0,tiktok_20251121_21.csv,2025-11-21T23:15:00+00:00
tt_adv_8,tt_camp_39,tt_group_468,tt_ad_1096,tt_vid_124,2025-09-29 12:00:00,+8,UNKNOWN,TOPVIEW,SPARK_AD,8.0,5.0,5.0,6.0,3.0,3.0,1.0,3.92,43,1,0.041855,USD,ENABLE,PUB,,row_la9wjtvz3tyj,hash_t41o54e9v8kco3,tiktok_20250929_12.csv,2025-10-01T12:01:00+00:00
tt_adv_12,tt_camp_43,tt_group_138,tt_ad_510,tt_vid_1240,2025-12-23 07:00:00,+0800,UNKNOWN,SPARK,SPARK_AD,6.0,14.0,10.0,14.0,2.0,6.0,5.0,2.64,203,4,0.277713,USD,ENABLE,PUB,,row_7fhowf03si30,hash_i9qmreidmbt8c4,tiktok_20251223_07.csv,2025-12-23T07:12:00+00:00
tt_adv_14,tt_camp_77,tt_group_34,tt_ad_358,tt_vid_2898,2025-10-02 20:00:00,+0000,UNKNOWN,IN_FEED,VIDEO,6.0,37.0,17.0,25.0,12.0,56.0,4.0,3.93,352,19,0.166289,USD,PAUSE,ENR,,row_cuv64cm06csu,hash_kymp76jxims6n5,tiktok_20251002_20.csv,2025-10-02T22:47:00+00:00
tt_adv_18,tt_camp_66,tt_group_24,tt_ad_753,tt_vid_1376,2025-09-23 01:00:00,+0800,UNKNOWN,IN_FEED,VIDEO,20.0,57.0,48.0,30.0,46.0,44.0,36.0,10.92,204,13,0.019576,USD,LIMITED,PUB,,row_j85kge60e46r,hash_0q9xsuk4dt0oo8,tiktok_20250923_01.csv,2025-09-23T13:11:00+00:00
tt_adv_8,tt_camp_64,tt_group_398,tt_ad_141,tt_vid_2041,2025-12-20 04:00:00,,PHONE,SPARK,VIDEO_AD,60.0,18.0,11.0,18.0,27.0,8.0,17.0,38.2,135,4,0.153969,PHP,ENABLE,ENR,,row_zixptja6bjcj,hash_ujps2cj02lz4wz,tiktok_20251220_04.csv,2025-12-20T16:59:00+00:00
tt_adv_2,tt_camp_62,tt_group_47,tt_ad_1344,,2025-09-29 13:00:00,+0800,DESKTOP,SEARCH,SPARK_AD,10.0,5.0,7.0,3.0,6.0,2.0,3.0,5.16,117,152,0.135603,PHP,ENABLE,ENR,,row_yfn3wepvkfg1,hash_e3ndlhhxlp0c0o,tiktok_20250929_13.csv,2025-09-29T13:20:00+00:00
tt_adv_16,tt_camp_76,tt_group_48,tt_ad_954,,2026-01-08 07:00:00,+0800,TABLET,IN_FEED,VIDEO_AD,15.0,11.0,12.0,5.0,9.0,8.0,4.0,1.06,98,2,0.131775,AUD,ENABLE,PUB,,row_m7f93114dxru,hash_0kjwcf1bf1iwme,tiktok_20260108_07.csv,2026-01-09T07:46:00+00:00
tt_adv_7,tt_camp_91,tt_group_373,tt_ad_1491,tt_vid_510,2025-12-29 14:00:00,+0100,DESKTOP,IN_FEED,VIDEO,,61.0,39.0,57.0,24.0,29.0,19.0,,104,0,0.036501,PHP,ENABLE,QUAR,MISSING_VIDEO_DURATION,row_npxvxy9n002h,hash_sh44if2ckzsglt,tiktok_20251229_14.csv,2025-12-30T14:12:00+00:00
tt_adv_7,tt_camp_76,tt_group_192,tt_ad_974,,2026-01-03 19:00:00,+0800,UNKNOWN,TOPVIEW,VIDEO,,97.0,85.0,85.0,27.0,34.0,52.0,,362,23,0.160587,USD,ENABLE,PUB,,row_v1ab3qme5q3i,hash_niduw2ln6k70rc,tiktok_20260103_19.csv,2026-01-04T01:35:00+00:00
tt_adv_13,tt_camp_80,tt_group_113,tt_ad_1844,tt_vid_1436,2025-12-10 14:00:00,+0000,ph0ne,TOPVIEW,IMAGE,,,,,,,,,162,8,0.159029,SGD,PAUSE,PUB,,row_7iutbrxlpdzh,hash_lxb7qgpy80xj68,tiktok_20251210_14.csv,2025-12-10T20:02:00+00:00
tt_adv_14,tt_camp_94,tt_group_432,tt_ad_1580,tt_vid_589,2025-10-14 15:00:00,+0100,ph0ne,IN_FEED,IMAGE,,,,,,,,,212,1,0.312909,USD,ENABLE,VALID,,row_ffgu18146cg3,hash_obbpa3g8438zil,tiktok_20251014_15.csv,2025-10-14T17:10:00+00:00
tt_adv_9,tt_camp_8,tt_group_177,tt_ad_1701,,2025-12-02 15:00:00,,DESKTOP,IN_FEED,IMAGE,,,,,,,,,50,0,0.104379,PHP,ENABLE,ENR,,row_pk6h70inoq2d,hash_meqmth40bobnjf,tiktok_20251202_15.csv,2025-12-02T21:53:00+00:00
tt_adv_3,tt_camp_52,tt_group_99,tt_ad_1648,tt_vid_906,2025-11-12 06:00:00,,DESKTOP,SEARCH,VIDEO,15.0,23.0,10.0,13.0,15.0,2.0,1.0,7.49,306,35,0.039376,PHP,ENABLE,PUB,,row_j0lzbrzu01z4,hash_9lnrir9h0w5moe,tiktok_20251112_06.csv,2025-11-12T06:32:00+00:00
tt_adv_2,tt_camp_129,tt_group_32,tt_ad_1505,tt_vid_780,2025-12-18 08:00:00,+0800,DESKTOP,TOPVIEW,VIDEO,10.0,37.0,62.0,37.0,44.0,10.0,16.0,2.9,229,1,0.088117,PHP,PAUSE,RECV,,row_x41e9xympvts,hash_esg17la625oldy,tiktok_20251218_08.csv,2025-12-18T14:27:00+00:00
tt_adv_13,tt_camp_52,tt_group_439,tt_ad_733,tt_vid_1830,2025-09-29 18:00:00,,PHONE,IN_FEED,VIDEO_AD,45.0,19.0,12.0,19.0,2.0,2.0,5.0,24.7,90,3,0.073637,PHP,ENABLE,VALID,,row_8z6ujeepfyh6,hash_u1o2kl73rlbl5f,tiktok_20250929_18.csv,2025-09-29T19:35:00+00:00
tt_adv_2,tt_camp_135,tt_group_37,tt_ad_1826,,2025-11-22 11:00:00,+0000,UNKNOWN,SEARCH,VIDEO_AD,12.0,59.0,29.0,26.0,26.0,32.0,15.0,4.24,393,16,0.117402,USD,ENABLE,PUB,,row_enqg5vuwnq5u,hash_md6r27l9fq1w8m,tiktok_20251122_11.csv,2025-11-22T13:49:00+00:00
tt_adv_1,tt_camp_160,tt_group_99,tt_ad_1971,tt_vid_1331,2025-10-01 18:00:00,,DESKTOP,IN_FEED,VIDEO_AD,30.0,16.0,22.0,19.0,18.0,26.0,9.0,24.63,197,8,0.093905,USD,PAUSE,ENR,,row_681d1z12x2qp,hash_vqz7zho8ajgc4x,tiktok_20251001_18.csv,2025-10-01T18:30:00+00:00
tt_adv_8,tt_camp_79,tt_group_248,tt_ad_373,,2025-10-27 16:00:00,+8,DESKTOP,IN_FEED,VIDEO_AD,,36.0,47.0,13.0,15.0,12.0,17.0,2.74,231,2,0.048294,PHP,LIMITED,RECV,,row_503p2n500j3i,hash_k3kr7bkrv76p96,tiktok_20251027_16.csv,2025-10-27T17:30:00+00:00
tt_adv_8,tt_camp_61,tt_group_34,tt_ad_3,,2025-10-22 18:00:00,+0100,ph0ne,SPARK,IMAGE,,,,,,,,,78,2,0.038298,PHP,ENABLE,PUB,,row_z9mzb13p2o3k,hash_vai1zgxxhur7ow,tiktok_20251022_18.csv,2025-10-23T00:00:00+00:00
tt_adv_10,tt_camp_142,tt_group_292,tt_ad_1164,tt_vid_802,2025-12-27 06:00:00,+0000,PHONE,IN_FEED,VIDEO,15.0,13.0,14.0,13.0,1.0,5.0,11.0,5.69,152,4,0.070674,PHP,ENABLE,VALID,,row_3l81x5wvpm36,hash_4ke0nwrb9asbhg,tiktok_20251227_06.csv,2025-12-28T06:24:00+00:00
tt_adv_1,tt_camp_59,tt_group_303,tt_ad_1443,tt_vid_790,2025-12-26 21:00:00,+0000,ph0ne,IN_FEED,IMAGE,,,,,,,,,251,3,0.445349,USD,PAUSE,PUB,,row_pd90od3eptqx,hash_wa2jalox2cj042,tiktok_20251226_21.csv,2025-12-28T21:12:00+00:00
tt_adv_8,tt_camp_153,tt_group_273,tt_ad_81,tt_vid_632,2025-09-25 08:00:00,,TABLET,SEARCH,VIDEO,8.0,37.0,16.0,23.0,27.0,12.0,7.0,1.92,133,4,0.06476,PHP,ENABLE,ENR,,row_h64bzf9kawgh,hash_c9d1i5uhmhlm3w,tiktok_20250925_08.csv,2025-09-25T08:20:00+00:00
tt_adv_8,tt_camp_134,tt_group_417,tt_ad_54,tt_vid_234,2025-11-28 20:00:00,+0100,PHONE,IN_FEED,IMAGE,,,,,,,,,70,2,0.072376,USD,ENABLE,VALID,,row_eyj1ke3xx71q,hash_44a65c87ztfz85,tiktok_20251128_20.csv,2025-11-30T20:37:00+00:00
tt_adv_2,tt_camp_79,tt_group_30,tt_ad_830,,2025-11-04 07:00:00,+0800,PHONE,SPARK,VIDEO,45.0,28.0,31.0,30.0,28.0,17.0,5.0,24.1,120,6,0.186111,SGD,ENABLE,VALID,,row_3sx0jw0ijkcz,hash_8ohjjc3fgtt1ar,tiktok_20251104_07.csv,2025-11-06T07:06:00+00:00
tt_adv_17,tt_camp_136,tt_group_353,tt_ad_1566,,2025-11-10 01:00:00,+0000,TABLET,SEARCH,IMAGE,,,,,,,,,81,1,0.062707,PHP,ENABLE,ENR,,row_vofr6maoqhmg,hash_h5x32zkw0am3m2,tiktok_20251110_01.csv,2025-11-11T01:40:00+00:00
tt_adv_12,tt_camp_31,tt_group_62,tt_ad_39,tt_vid_156,2025-12-05 17:00:00,+0100,PHONE,SEARCH,SPARK_AD,,30.0,23.0,9.0,8.0,17.0,9.0,,157,10,0.06446,AUD,DRAFT,VALID,,row_qpfb1evi8tj8,hash_4lmmfth3cl5f8o,tiktok_20251205_17.csv,2025-12-07T17:14:00+00:00
tt_adv_19,tt_camp_53,tt_group_117,tt_ad_966,tt_vid_628,2025-12-18 01:00:00,+0800,DESKTOP,SEARCH,IMAGE,,,,,,,,,61,1,0.031233,PHP,DRAFT,QUAR,,row_sfw8afhhshmv,hash_846zkcb2sbnskf,tiktok_20251218_01.csv,2025-12-18T01:45:00+00:00
tt_adv_18,tt_camp_76,tt_group_97,tt_ad_959,tt_vid_1577,2025-12-30 13:00:00,+0000,DESKTOP,TOPVIEW,VIDEO_AD,12.0,16.0,6.0,6.0,13.0,7.0,5.0,8.33,210,2,0.030799,SGD,ENABLE,PUB,,row_ltin9x5j2eds,hash_m33smyubs9m6nx,tiktok_20251230_13.csv,2026-01-01T13:25:00+00:00
tt_adv_6,tt_camp_39,tt_group_80,tt_ad_650,tt_vid_777,2025-10-27 07:00:00,+0800,ph0ne,IN_FEED,IMAGE,,,,,,,,,549,707,0.32045,PHP,PAUSE,ENR,,row_emxuseyoi40n,hash_8g0z5cggi4zv5x,tiktok_20251027_07.csv,2025-10-27T19:03:00+00:00
tt_adv_9,tt_camp_23,tt_group_371,tt_ad_1822,,2025-09-19 11:00:00,+8,ph0ne,SPARK,IMAGE,,,,,,,,,205,14,0.189917,PHP,ENABLE,PUB,,row_0tfskupngvzz,hash_j7o11386gceei8,tiktok_20250919_11.csv,2025-09-19T17:54:00+00:00
tt_adv_5,tt_camp_101,tt_group_49,tt_ad_340,tt_vid_646,2025-12-25 00:00:00,+0100,TABLET,TOPVIEW,SPARK_AD,60.0,33.0,30.0,54.0,27.0,16.0,28.0,5.11,325,39,0.297548,PHP,ENABLE,VALID,,row_iwvu1zdga4ms,hash_g4owj0rfrng4fl,tiktok_20251225_00.csv,2025-12-25T12:49:00+00:00
tt_adv_13,tt_camp_56,tt_group_148,tt_ad_1912,tt_vid_1634,2025-12-04 13:00:00,,DESKTOP,IN_FEED,VIDEO,8.0,44.0,23.0,37.0,30.0,12.0,,3.02,144,3,0.095305,SGD,ENABLE,VALID,,row_a9x009wpg5sb,hash_eusferjj1rlgvc,tiktok_20251204_13.csv,2025-12-04T14:02:00+00:00
tt_adv_20,tt_camp_12,tt_group_159,tt_ad_1876,,2026-01-11 11:00:00,+8,DESKTOP,SPARK,VIDEO,45.0,50.0,138.0,109.0,43.0,106.0,77.0,20.02,557,2,0.842507,EUR,ENABLE,QUAR,,row_ljcolgipxyi9,hash_tk34dmews564r5,tiktok_20260111_11.csv,2026-01-12T11:25:00+00:00
tt_adv_19,tt_camp_15,tt_group_353,tt_ad_1489,,2026-01-08 13:00:00,+0100,UNKNOWN,SPARK,VIDEO,6.0,26.0,19.0,9.0,8.0,18.0,16.0,1.28,266,19,0.103447,PHP,ENABLE,RECV,,row_9wt13qhoieo4,hash_zydo7rntr5vaf3,tiktok_20260108_13.csv,2026-01-08T19:25:00+00:00
tt_adv_11,tt_camp_31,tt_group_169,tt_ad_219,tt_vid_2728,2025-09-26 10:00:00,+0100,UNKNOWN,SEARCH,VIDEO_AD,8.0,35.0,27.0,20.0,17.0,21.0,27.0,2.42,172,8,0.08265,PHP,ENABLE,VALID,,row_hjijbk984ove,hash_v83fyet94ylpuo,tiktok_20250926_10.csv,2025-09-26T12:12:00+00:00
tt_adv_14,tt_camp_108,tt_group_320,tt_ad_1825,,2025-12-20 20:00:00,+0000,PHONE,SEARCH,IMAGE,,,,,,,,,121,12,0.07091,PHP,ARCHIVE,ENR,,row_bty3oylzgsu8,hash_fx5xewuimhyzb8,tiktok_20251220_20.csv,2025-12-20T20:01:00+00:00
tt_adv_20,tt_camp_144,tt_group_413,tt_ad_300,tt_vid_2115,2025-12-31 21:00:00,+8,UNKNOWN,TOPVIEW,IMAGE,,,,,,,,,290,23,0.628619,USD,ENABLE,ENR,,row_9yyrya6wbvhn,hash_trean5rb6n8a19,tiktok_20251231_21.csv,2026-01-01T03:32:00+00:00
tt_adv_1,tt_camp_21,tt_group_243,tt_ad_1617,tt_vid_2633,2025-09-28 20:00:00,+0000,DESKTOP,SEARCH,VIDEO_AD,8.0,10.0,16.0,13.0,7.0,9.0,7.0,2.73,71,4,0.048844,USD,ENABLE,ENR,,row_ua0aaje9hni9,hash_jwz3ifqc7b7n9e,tiktok_20250928_20.csv,2025-09-29T20:40:00+00:00
tt_adv_1,tt_camp_125,tt_group_459,tt_ad_1349,tt_vid_1335,2025-11-04 04:00:00,+0800,TABLET,SPARK,VIDEO,,4.0,3.0,4.0,1.0,2.0,1.0,,110,1,0.191821,SGD,ENABLE,VALID,,row_qmo6ubs1vmmz,hash_woemngtc7ebfga,tiktok_20251104_04.csv,2025-11-04T04:35:00+00:00
tt_adv_5,tt_camp_38,tt_group_299,tt_ad_931,tt_vid_2041,2025-12-01 03:00:00,,ph0ne,SPARK,SPARK_AD,,11.0,3.0,3.0,2.0,6.0,3.0,,75,7,0.038847,EUR,DRAFT,VALID,,row_b35hawh1qn1i,hash_bu4vuntn1yuw3n,tiktok_20251201_03.csv,2025-12-01T15:12:00+00:00
tt_adv_9,tt_camp_5,tt_group_34,tt_ad_1861,tt_vid_2254,2025-10-16 12:00:00,+0100,UNKNOWN,SPARK,VIDEO,,24.0,22.0,17.0,4.0,3.0,7.0,2.36,102,2,0.026796,USD,ENABLE,PUB,,row_ry228noqtwna,hash_xaffy9k0xplolv,tiktok_20251016_12.csv,2025-10-18T12:50:00+00:00
tt_adv_4,tt_camp_22,tt_group_499,tt_ad_579,,2025-10-18 20:00:00,+0800,UNKNOWN,IN_FEED,VIDEO,12.0,37.0,15.0,26.0,27.0,12.0,7.0,3.4,189,4,0.135582,USD,LIMITED,RECV,,row_unw35tp142b1,hash_0ykbbdjo7z9en4,tiktok_20251018_20.csv,2025-10-19T20:13:00+00:00
tt_adv_12,tt_camp_71,tt_group_116,tt_ad_822,tt_vid_1403,2025-12-03 18:00:00,+0800,PHONE,TOPVIEW,IMAGE,,,,,,,,,228,0,0.115934,USD,ENABLE,ENR,,row_a0my7gzxo1sm,hash_sghe5ig5fi465q,tiktok_20251203_18.csv,2025-12-03T19:28:00+00:00
tt_adv_14,tt_camp_74,tt_group_473,tt_ad_590,tt_vid_90,2025-11-26 02:00:00,+0100,PHONE,TOPVIEW,IMAGE,,,,,,,,,218,9,0.30667,USD,ENABLE,VALID,,row_7213h81gpruc,hash_k47nffl6eyce8f,tiktok_20251126_02.csv,2025-11-26T02:19:00+00:00
tt_adv_11,tt_camp_158,tt_group_382,tt_ad_554,tt_vid_2038,2025-12-04 00:00:00,+8,ph0ne,TOPVIEW,VIDEO,10.0,44.0,75.0,21.0,56.0,20.0,34.0,0.66,486,3,0.373361,USD,ENABLE,VALID,,row_7zlnt33vupkx,hash_5qthx3cbe3nd2m,tiktok_20251204_00.csv,2025-12-04T12:56:00+00:00
tt_adv_1,tt_camp_5,tt_group_248,tt_ad_1888,tt_vid_1841,2025-10-13 11:00:00,+0800,PHONE,IN_FEED,VIDEO_AD,15.0,52.0,76.0,36.0,34.0,4.0,32.0,6.08,371,4,0.275562,PHP,ENABLE,ENR,,row_l8pi4kai27tn,hash_c15l2bdum15tfz,tiktok_20251013_11.csv,2025-10-13T13:32:00+00:00
tt_adv_11,tt_camp_111,tt_group_303,tt_ad_195,tt_vid_1021,2025-11-08 23:00:00,+0800,ph0ne,IN_FEED,VIDEO,,43.0,19.0,25.0,19.0,29.0,22.0,,448,3,0.521407,PHP,ENABLE,QUAR,MISSING_VIDEO_DURATION,row_fga6am132rqp,hash_4kl3labfaladx1,tiktok_20251108_23.csv,2025-11-09T23:48:00+00:00
tt_adv_6,tt_camp_109,tt_group_58,tt_ad_690,,2025-10-21 19:00:00,+0800,ph0ne,SEARCH,SPARK_AD,8.0,5.0,6.0,6.0,2.0,3.0,1.0,3.62,177,18,0.148197,SGD,PAUSE,PUB,,row_z0lfclnvjiz2,hash_f9m0t1q483evrk,tiktok_20251021_19.csv,2025-10-21T19:40:00+00:00
tt_adv_3,tt_camp_111,tt_group_227,tt_ad_823,tt_vid_211,2025-11-15 09:00:00,+0100,ph0ne,SPARK,VIDEO_AD,15.0,12.0,12.0,5.0,6.0,8.0,4.0,4.98,52,4,0.032472,PHP,ENABLE,ENR,,row_2vdqrkyx2ehv,hash_a0s46we84rvo8g,tiktok_20251115_09.csv,2025-11-16T09:51:00+00:00
tt_adv_16,tt_camp_97,tt_group_480,tt_ad_1740,tt_vid_852,2025-11-15 12:00:00,+0000,UNKNOWN,IN_FEED,IMAGE,,,,,,,,,191,2,0.02076,USD,PAUSE,VALID,,row_u3dtdp6trt65,hash_ks4ozm9ksf25v7,tiktok_20251115_12.csv,2025-11-15T12:52:00+00:00
tt_adv_16,tt_camp_50,tt_group_122,tt_ad_34,tt_vid_1997,2025-12-21 13:00:00,+0100,UNKNOWN,TOPVIEW,SPARK_AD,12.0,81.0,87.0,98.0,16.0,58.0,14.0,5.89,341,21,0.327471,USD,ENABLE,VALID,,row_yokcihm3qxzx,hash_y07xnbyfzuoaj1,tiktok_20251221_13.csv,2025-12-21T13:20:00+00:00
tt_adv_16,tt_camp_68,tt_group_258,tt_ad_1069,,2025-10-10 08:00:00,+8,UNKNOWN,SPARK,VIDEO,30.0,20.0,13.0,1.0,3.0,5.0,5.0,11.57,82,2,0.234782,EUR,ENABLE,ENR,,row_j2zl8vpek46q,hash_uiha0ynnxeo7v1,tiktok_20251010_08.csv,2025-10-12T08:29:00+00:00
tt_adv_6,tt_camp_30,tt_group_45,tt_ad_1673,tt_vid_939,2025-11-21 13:00:00,+8,TABLET,IN_FEED,IMAGE,,,,,,,,,732,20,0.245506,USD,ENABLE,ENR,,row_5facjlgw5ifg,hash_859937bbx9dab4,tiktok_20251121_13.csv,2025-11-23T13:28:00+00:00
tt_adv_6,tt_camp_118,tt_group_433,tt_ad_585,,2025-12-25 13:00:00,+0800,DESKTOP,SEARCH,VIDEO,8.0,18.0,13.0,7.0,9.0,1.0,3.0,6.79,83,1,0.029978,USD,ENABLE,ENR,,row_cg7yt702gui4,hash_3f5k2bih2ksc1t,tiktok_20251225_13.csv,2025-12-25T14:58:00+00:00
tt_adv_4,tt_camp_125,tt_group_48,tt_ad_1697,tt_vid_2502,2025-12-18 22:00:00,+0800,PHONE,SPARK,VIDEO,30.0,15.0,6.0,3.0,5.0,1.0,6.0,9.95,83,2,0.044855,PHP,ENABLE,VALID,,row_br3j38py4396,hash_esr7ly7j925mod,tiktok_20251218_22.csv,2025-12-19T00:21:00+00:00
tt_adv_19,tt_camp_123,tt_group_493,tt_ad_911,,2025-09-28 23:00:00,+0800,ph0ne,SEARCH,IMAGE,,,,,,,,,528,6,0.425638,PHP,ENABLE,PUB,,row_zwab707xgg6n,hash_so8jnmp0laoy7r,tiktok_20250928_23.csv,2025-09-29T00:07:00+00:00
tt_adv_1,tt_camp_152,tt_group_234,tt_ad_243,tt_vid_1491,2025-10-08 09:00:00,+8,ph0ne,SPARK,IMAGE,,,,,,,,,121,4,0.073202,PHP,DRAFT,VALID,,row_seob0pprb6r1,hash_5sitrcds343aap,tiktok_20251008_09.csv,2025-10-08T21:23:00+00:00
tt_adv_13,tt_camp_158,tt_group_184,tt_ad_828,tt_vid_430,2025-10-28 16:00:00,,DESKTOP,TOPVIEW,VIDEO_AD,,0.0,0.0,1.0,0.0,0.0,0.0,,20,0,0.018037,PHP,ENABLE,QUAR,MISSING_VIDEO_DURATION,row_otifehlhcx4f,hash_9uvl69vao1c33t,tiktok_20251028_16.csv,2025-10-29T04:27:00+00:00
tt_adv_14,tt_camp_160,tt_group_377,tt_ad_319,,2025-10-08 09:00:00,+0000,UNKNOWN,SPARK,IMAGE,,,,,,,,,477,18,0.627519,PHP,ENABLE,PUB,,row_fnq921hn122n,hash_w87j39nmul16ew,tiktok_20251008_09.csv,2025-10-08T09:44:00+00:00
tt_adv_13,tt_camp_28,tt_group_166,tt_ad_1713,tt_vid_2800,2025-11-01 11:00:00,,ph0ne,IN_FEED,SPARK_AD,20.0,6.0,3.0,5.0,3.0,5.0,2.0,4.41,80,6,0.02742,USD,ENABLE,PUB,,row_td87jer90oad,hash_4j8il90ogm6hf2,tiktok_20251101_11.csv,2025-11-02T11:27:00+00:00
tt_adv_17,tt_camp_38,tt_group_123,tt_ad_293,tt_vid_2600,2025-11-10 17:00:00,+0800,DESKTOP,SPARK,VIDEO_AD,12.0,33.0,24.0,11.0,17.0,19.0,24.0,2.32,444,64,0.199076,PHP,ENABLE,VALID,,row_1zuco5rexl3e,hash_v4plr0dnkt6jsn,tiktok_20251110_17.csv,2025-11-10T23:22:00+00:00
tt_adv_14,tt_camp_151,tt_group_418,tt_ad_955,tt_vid_2719,2025-11-08 19:00:00,+0100,UNKNOWN,SEARCH,VIDEO,8.0,25.0,15.0,12.0,3.0,10.0,13.0,4.28,60,1,0.023501,PHP,PAUSE,QUAR,,row_igz1xo7dpcco,hash_g07zo13cu3cnn3,tiktok_20251108_19.csv,2025-11-08T19:12:00+00:00
