account,campaign_group,campaign,creative,share_id,timeRange_start_utc,timeRange_end_utc,member_device,placement_name,creative_format,video_duration_sec,video_views,v25,v50,v75,v100,avg_watch_time_sec,impressions,clicks,spend_local,currency_code,pipeline_status,lifecycle_status,quarantine_reason,ingestion_time,row_id,row_hash,source_file,ingested_at_utc
li_acct_3,li_cg_34,li_camp_78,li_cre_740,,2025-10-24T18:00:00+00:00,2025-10-24T19:00:00+00:00,Moble,Audience Network,MESSAGE_AD,,,,,,,,200,0,0.199252,EUR,VALIDATED,PAUSED,,2025-10-24T18:00:00+00:00,row_dzy4j6nn54o7,hash_6tak49gy09poht,linkedin_20251024_18.csv,2025-10-24T19:01:00+00:00
li_acct_11,,li_camp_180,li_cre_2252,,2025-10-24T05:00:00+00:00,2025-10-24T06:00:00+00:00,Moble,Audience Network,MESSAGE_AD,,,,,,,,129,3,0.097762,USD,ENRICHED,ACTIVE,,2025-10-24T07:00:00+00:00,row_hf6nq7th6vr2,hash_yqlnq3pitm862d,linkedin_20251024_05.csv,2025-10-24T05:45:00+00:00
li_acct_11,,li_camp_25,li_cre_2636,,2025-11-04T02:00:00+00:00,2025-11-04T03:00:00+00:00,Mobile,Right Rail,EVENT_AD,,,,,,,,281,9,0.164338,USD,VALIDATED,DRAFT,,2025-11-05T02:00:00+00:00,row_trki1qhi3ul4,hash_vc56xncllxr4se,linkedin_20251104_02.csv,2025-11-04T04:51:00+00:00
li_acct_8,li_cg_4,li_camp_73,li_cre_1380,,2025-10-24T15:00:00+00:00,2025-10-24T16:00:00+00:00,Desktop,Feed,CAROUSEL,,,,,,,,122,5,0.037486,AUD,PUBLISHED,ACTIVE,,2025-10-25T03:00:00+00:00,row_h5dmx1jmdusf,hash_qon7cb6vphvy07,linkedin_20251024_15.csv,2025-10-26T15:18:00+00:00
li_acct_4,li_cg_16,li_camp_178,li_cre_2692,,2025-12-13T15:00:00+00:00,2025-12-13T16:00:00+00:00,Mobile,Audience Network,VIDEO,60.0,25.0,7.0,18.0,18.0,14.0,14.29,149,1,0.142786,AUD,PUBLISHED,PAUSED,,2025-12-13T15:00:00+00:00,row_s173xtngm6fe,hash_2lmue1xmvgdfw1,linkedin_20251213_15.csv,2025-12-15T15:00:00+00:00
li_acct_6,li_cg_67,li_camp_3,li_cre_1810,li_sh_393,2025-12-27T17:00:00+00:00,2025-12-27T18:00:00+00:00,Desktop,Right Rail,EVENT_AD,,,,,,,,155,3,0.123055,USD,VALIDATED,ACTIVE,,2025-12-27T19:00:00+00:00,row_08j1b6qkhj04,hash_z3haui13j5kasm,linkedin_20251227_17.csv,2025-12-27T17:27:00+00:00
li_acct_1,li_cg_15,li_camp_152,li_cre_274,li_sh_803,2025-11-13T16:00:00+00:00,2025-11-13T17:00:00+00:00,Moble,Audience Network,VIDEO,,15.0,1.0,2.0,1.0,,20.26,57,0,0.033412,PHP,PUBLISHED,PAUSED,,2025-11-13T16:00:00+00:00,row_6215qyrjs5nd,hash_rwkl651mrcajh2,linkedin_20251113_16.csv,2025-11-13T16:41:00+00:00
li_acct_4,,li_camp_18,li_cre_1418,,2025-11-04T17:00:00+00:00,2025-11-04T18:00:00+00:00,Desktop,Audience Network,VIDEO,90.0,53.0,40.0,3.0,0.0,,16.0,214,7,0.080379,USD,PUBLISHED,LIMITED,,2025-11-05T05:00:00+00:00,row_bvzn46azvsx0,hash_7l83tdim4656pk,linkedin_20251104_17.csv,2025-11-04T17:51:00+00:00
li_acct_16,li_cg_45,li_camp_170,li_cre_1773,li_sh_213,2025-09-30T02:00:00+00:00,2025-09-30T03:00:00+00:00,Mobile,Feed,SINGLE_IMAGE,,,,,,,,90,7,0.003036,EUR,RECEIVED,ACTIVE,,2025-09-30T04:00:00+00:00,row_ke40g05msdko,hash_z0r2o8xdbkai65,linkedin_20250930_02.csv,2025-09-30T14:29:00+00:00
li_acct_19,li_cg_26,li_camp_75,li_cre_104,,2026-01-06T18:00:00+00:00,2026-01-06T19:00:00+00:00,Mobile,Audience Network,CAROUSEL,,,,,,,,125,2,0.125273,SGD,PUBLISHED,ACTIVE,,2026-01-07T06:00:00+00:00,row_fvnjow46slj6,hash_wa59wdju87bbt3,linkedin_20260106_18.csv,2026-01-07T06:52:00+00:00
li_acct_7,,li_camp_146,li_cre_1299,li_sh_373,2025-10-07T07:00:00+00:00,2025-10-07T08:00:00+00:00,Mobile,Feed,MESSAGE_AD,,,,,,,,239,2,0.435131,USD,VALIDATED,PAUSED,,2025-10-08T07:00:00+00:00,row_tm24ho25l33e,hash_8pfirz9fyuzp2s,linkedin_20251007_07.csv,2025-10-08T07:21:00+00:00
li_acct_19,li_cg_4,li_camp_36,li_cre_816,li_sh_443,2026-01-03T00:00:00+00:00,2026-01-03T01:00:00+00:00,Other,Audience Network,EVENT_AD,,,,,,,,381,26,0.105113,SGD,VALIDATED,ACTIVE,,2026-01-03T12:00:00+00:00,row_gvczzru2guq0,hash_2fvw88ovzqxu0y,linkedin_20260103_00.csv,2026-01-03T02:35:00+00:00
li_acct_7,,li_camp_14,li_cre_657,,2025-10-31T12:00:00+00:00,2025-10-31T13:00:00+00:00,Mobile,Audience Network,VIDEO,45.0,19.0,16.0,8.0,6.0,6.0,10.63,309,11,0.245612,PHP,QUARANTINED,ACTIVE,,2025-11-01T00:00:00+00:00,row_wk3xzcdzc7tk,hash_6dochemqona31v,linkedin_20251031_12.csv,2025-11-02T12:20:00+00:00
li_acct_4,li_cg_28,li_camp_145,li_cre_416,,2025-12-30T14:00:00+00:00,2025-12-30T15:00:00+00:00,Other,Audience Network,EVENT_AD,,,,,,,,168,4,0.054142,PHP,VALIDATED,ACTIVE,,2025-12-30T16:00:00+00:00,row_mcegdn2zb29o,hash_6z2yosxsow5z5p,linkedin_20251230_14.csv,2025-12-30T20:37:00+00:00
li_acct_2,li_cg_53,li_camp_50,li_cre_762,,2025-09-27T06:00:00+00:00,2025-09-27T07:00:00+00:00,Mobile,Feed,VIDEO,,15.0,5.0,7.0,4.0,4.0,1.94,108,9,0.086151,USD,RECEIVED,PAUSED,,2025-09-27T06:00:00+00:00,row_8mfryq9tvzsy,hash_yx1hs97kwzlrz2,linkedin_20250927_06.csv,2025-09-27T12:04:00+00:00
li_acct_14,li_cg_45,li_camp_146,li_cre_542,,2025-10-10T12:00:00+00:00,2025-10-10T13:00:00+00:00,Desktop,Audience Network,MESSAGE_AD,,,,,,,,143,2,0.059031,USD,ENRICHED,ACTIVE,,2025-10-10T12:00:00+00:00,row_151ar0xvz1w2,hash_2fp528rclo19ue,linkedin_20251010_12.csv,2025-10-11T00:42:00+00:00
li_acct_13,,li_camp_176,li_cre_89,li_sh_212,2025-11-11T07:00:00+00:00,2025-11-11T08:00:00+00:00,Moble,Right Rail,EVENT_AD,,,,,,,,281,5,0.444618,PHP,VALIDATED,DISAPPROVED,,2025-11-11T09:00:00+00:00,row_9f08rz2jvcl9,hash_tpajf26oz39vze,linkedin_20251111_07.csv,2025-11-11T13:00:00+00:00
li_acct_5,li_cg_7,li_camp_108,li_cre_2019,,2025-10-03T10:00:00+00:00,2025-10-03T11:00:00+00:00,Mobile,Audience Network,CAROUSEL,,,,,,,,70,1,0.025077,PHP,ENRICHED,ACTIVE,,2025-10-04T10:00:00+00:00,row_l8s6cbv8j3hg,hash_pky14xa6hfzdk5,linkedin_20251003_10.csv,2025-10-03T10:02:00+00:00
li_acct_18,li_cg_1,li_camp_23,li_cre_1878,li_sh_168,2025-10-06T01:00:00+00:00,2025-10-06T02:00:00+00:00,Moble,Feed,VIDEO,30.0,84.0,34.0,62.0,59.0,41.0,17.53,237,8,0.034862,SGD,VALIDATED,DRAFT,,2025-10-06T01:00:00+00:00,row_mcs1t9uw6tkz,hash_difqtzltqz89hp,linkedin_20251006_01.csv,2025-10-06T02:27:00+00:00
li_acct_18,li_cg_5,li_camp_138,li_cre_1854,,2025-11-07T12:00:00+00:00,2025-11-07T13:00:00+00:00,Desktop,Right Rail,VIDEO,90.0,8.0,4.0,0.0,4.0,4.0,35.34,180,6,0.229344,PHP,VALIDATED,ACTIVE,,2025-11-08T12:00:00+00:00,row_3fg9yb0dc754,hash_otbm272umwkdfx,linkedin_20251107_12.csv,2025-11-07T12:31:00+00:00
li_acct_14,,li_camp_11,li_cre_2760,,2025-11-29T08:00:00+00:00,2025-11-29T09:00:00+00:00,Moble,Feed,EVENT_AD,,,,,,,,119,2,0.171523,USD,ENRICHED,ARCHIVED,,2025-11-29T08:00:00+00:00,row_su234e9y6s3d,hash_rkw6n7ex9l8gl8,linkedin_20251129_08.csv,2025-11-29T10:16:00+00:00
li_acct_11,li_cg_43,li_camp_40,li_cre_1139,,2025-11-09T14:00:00+00:00,2025-11-09T15:00:00+00:00,Desktop,Feed,CAROUSEL,,,,,,,,608,772,0.280522,PHP,ENRICHED,ACTIVE,,2025-11-09T14:00:00+00:00,row_q4m6ew0mtobh,hash_29dydk12ugt0dc,linkedin_20251109_14.csv,2025-11-11T14:25:00+00:00
li_acct_14,li_cg_77,li_camp_135,li_cre_1106,,2025-11-08T20:00:00+00:00,2025-11-08T21:00:00+00:00,Mobile,Feed,VIDEO,6.0,236.0,113.0,102.0,115.0,,1.5,601,21,0.338667,USD,PUBLISHED,ACTIVE,,2025-11-09T20:00:00+00:00,row_st3d8wcpjbon,hash_14lqr8ulcxl65p,linkedin_20251108_20.csv,2025-11-08T20:38:00+00:00
li_acct_18,li_cg_76,li_camp_174,li_cre_1199,,2025-09-30T21:00:00+00:00,2025-09-30T22:00:00+00:00,Other,Feed,VIDEO,6.0,92.0,57.0,37.0,23.0,28.0,3.56,299,26,0.403034,PHP,PUBLISHED,ACTIVE,,2025-09-30T21:00:00+00:00,row_9pgxyw5yjc30,hash_k9oouugu9xcx1n,linkedin_20250930_21.csv,2025-10-01T03:20:00+00:00
li_acct_10,,li_camp_153,li_cre_409,,2025-12-09T03:00:00+00:00,2025-12-09T04:00:00+00:00,Moble,Audience Network,VIDEO,45.0,29.0,9.0,16.0,3.0,1.0,33.72,86,12,0.119239,USD,VALIDATED,PAUSED,,2025-12-09T05:00:00+00:00,row_jz9v436ey838,hash_ve33jh0x6ej5f0,linkedin_20251209_03.csv,2025-12-11T03:51:00+00:00
li_acct_4,,li_camp_154,li_cre_487,li_sh_328,2025-10-10T07:00:00+00:00,2025-10-10T08:00:00+00:00,Mobile,Audience Network,EVENT_AD,,,,,,,,332,2,0.115358,PHP,VALIDATED,ACTIVE,,2025-10-10T19:00:00+00:00,row_3ryo4pvufour,hash_cnjia8l00plf2q,linkedin_20251010_07.csv,2025-10-10T08:56:00+00:00
li_acct_19,li_cg_14,li_camp_145,li_cre_798,li_sh_837,2025-11-13T09:00:00+00:00,2025-11-13T10:00:00+00:00,Desktop,Right Rail,MESSAGE_AD,,,,,,,,129,0,0.036742,PHP,VALIDATED,PAUSED,,2025-11-13T09:00:00+00:00,row_9omlo9y4ahp9,hash_0xwtahuz22e9u1,linkedin_20251113_09.csv,2025-11-13T11:28:00+00:00
li_acct_1,li_cg_6,li_camp_78,li_cre_1387,,2025-12-19T21:00:00+00:00,2025-12-19T22:00:00+00:00,Desktop,Right Rail,VIDEO,,2.0,1.0,1.0,1.0,0.0,6.2,65,2,0.06116,PHP,RECEIVED,LIMITED,,2025-12-19T23:00:00+00:00,row_q71z79jumz3o,hash_baxkkze69jeed1,linkedin_20251219_21.csv,2025-12-20T03:37:00+00:00
li_acct_12,li_cg_43,li_camp_103,li_cre_2061,li_sh_165,2025-12-14T00:00:00+00:00,2025-12-14T01:00:00+00:00,Moble,Feed,VIDEO,,16.0,11.0,3.0,6.0,9.0,,71,0,0.056728,SGD,VALIDATED,ACTIVE,,2025-12-14T02:00:00+00:00,row_vhhf3kk235bx,hash_zq7oyoqg95him0,linkedin_20251214_00.csv,2025-12-14T01:18:00+00:00
li_acct_17,li_cg_13,li_camp_12,li_cre_2260,,2025-12-02T20:00:00+00:00,2025-12-02T21:00:00+00:00,Mobile,Right Rail,SINGLE_IMAGE,,,,,,,,416,21,0.160806,PHP,VALIDATED,ACTIVE,,2025-12-02T20:00:00+00:00,row_zmvkqdqxq3bt,hash_dfsgbkp2klixsd,linkedin_20251202_20.csv,2025-12-03T02:18:00+00:00
li_acct_2,li_cg_44,li_camp_17,li_cre_356,,2026-01-06T09:00:00+00:00,2026-01-06T10:00:00+00:00,Other,Feed,MESSAGE_AD,15.0,,,,,,,202,9,0.123454,PHP,VALIDATED,ACTIVE,,2026-01-06T21:00:00+00:00,row_0ezd2zy8sztc,hash_r3gyw3cmkmzw27,linkedin_20260106_09.csv,2026-01-06T09:34:00+00:00
li_acct_7,,li_camp_152,li_cre_2759,,2025-11-20T19:00:00+00:00,2025-11-20T20:00:00+00:00,Other,Right Rail,VIDEO,8.0,25.0,16.0,14.0,1.0,3.0,2.87,1116,26,1.167746,USD,ENRICHED,PAUSED,,2025-11-20T21:00:00+00:00,row_ki5ojqhhuq99,hash_9e155ag65si7jd,linkedin_20251120_19.csv,2025-11-20T19:26:00+00:00
li_acct_3,li_cg_68,li_camp_168,li_cre_959,,2025-12-15T18:00:00+00:00,2025-12-15T19:00:00+00:00,Desktop,Feed,EVENT_AD,,,,,,,,369,10,0.143709,PHP,PUBLISHED,ACTIVE,,2025-12-15T18:00:00+00:00,row_6zie3am6azh0,hash_yk4aowvtoj2yku,linkedin_20251215_18.csv,2025-12-16T00:50:00+00:00
li_acct_9,,li_camp_121,li_cre_967,,2025-10-23T16:00:00+00:00,2025-10-23T17:00:00+00:00,Mobile,Feed,VIDEO,,9.0,6.0,5.0,6.0,1.0,56.09,98,5,0.027569,PHP,VALIDATED,ACTIVE,,2025-10-24T04:00:00+00:00,row_9occ18hva7zs,hash_w7jggj0wp0n007,linkedin_20251023_16.csv,2025-10-24T16:12:00+00:00
li_acct_6,li_cg_49,li_camp_155,li_cre_1308,li_sh_606,2025-12-04T10:00:00+00:00,2025-12-04T11:00:00+00:00,Other,Right Rail,SINGLE_IMAGE,,,,,,,,131,3,0.146948,USD,VALIDATED,ACTIVE,,2025-12-05T10:00:00+00:00,row_km5nh1wkmjsw,hash_rkyvqz8tcwqf0a,linkedin_20251204_10.csv,2025-12-04T16:03:00+00:00
li_acct_3,li_cg_22,li_camp_96,li_cre_1150,,2025-09-21T18:00:00+00:00,2025-09-21T19:00:00+00:00,Mobile,Right Rail,SINGLE_IMAGE,,,,,,,,303,8,0.554453,USD,VALIDATED,LIMITED,,2025-09-21T20:00:00+00:00,row_tr89eh9p3csi,hash_6aduq9pec1x3vt,linkedin_20250921_18.csv,2025-09-22T06:56:00+00:00
li_acct_9,,li_camp_116,li_cre_916,li_sh_780,2026-01-09T14:00:00+00:00,2026-01-09T15:00:00+00:00,Mobile,Feed,CAROUSEL,,,,,,,,85,6,0.057481,PHP,ENRICHED,DISAPPROVED,,2026-01-09T16:00:00+00:00,row_vl8d1aop4ofc,hash_voblcy9d3reo8n,linkedin_20260109_14.csv,2026-01-11T14:55:00+00:00
li_acct_5,li_cg_71,li_camp_12,li_cre_2406,,2026-01-13T04:00:00+00:00,2026-01-13T05:00:00+00:00,Other,Feed,VIDEO,8.0,37.0,17.0,3.0,17.0,10.0,2.9,222,15,0.161405,PHP,RECEIVED,PAUSED,,2026-01-13T16:00:00+00:00,row_72j4mmq0t1zf,hash_71bzrpsegf5j9v,linkedin_20260113_04.csv,2026-01-13T04:19:00+00:00
li_acct_15,li_cg_58,li_camp_164,li_cre_319,li_sh_856,2025-09-22T22:00:00+00:00,2025-09-22T23:00:00+00:00,Other,Feed,MESSAGE_AD,,,,,,,,227,7,0.411482,PHP,VALIDATED,ACTIVE,,2025-09-23T22:00:00+00:00,row_ylxzlh43f6ge,hash_3z3cmwzt7ta6tq,linkedin_20250922_22.csv,2025-09-22T22:23:00+00:00
li_acct_14,li_cg_71,li_camp_129,li_cre_2761,,2025-12-26T07:00:00+00:00,2025-12-26T08:00:00+00:00,Mobile,Audience Network,SINGLE_IMAGE,,,,,,,,35,0,0.025404,PHP,ENRICHED,ACTIVE,,2025-12-26T09:00:00+00:00,row_rjr5rfrdhzvs,hash_zuji4kipmsbc4w,linkedin_20251226_07.csv,2025-12-26T08:25:00+00:00
li_acct_14,,li_camp_175,li_cre_1134,,2025-10-13T13:00:00+00:00,2025-10-13T14:00:00+00:00,Desktop,Feed,VIDEO,15.0,17.0,5.0,11.0,6.0,5.0,4.34,180,8,0.335861,AUD,VALIDATED,ACTIVE,,2025-10-13T15:00:00+00:00,row_v1yxu92w3b96,hash_zxor3b9ex4byi7,linkedin_20251013_13.csv,2025-10-13T15:21:00+00:00
li_acct_7,li_cg_10,li_camp_122,li_cre_7,li_sh_647,2025-10-31T08:00:00+00:00,2025-10-31T09:00:00+00:00,Other,Right Rail,CAROUSEL,,,,,,,,333,7,0.073556,PHP,PUBLISHED,ACTIVE,,2025-11-01T08:00:00+00:00,row_x8oxopium8tu,hash_bwfkp5d52ze3li,linkedin_20251031_08.csv,2025-10-31T10:06:00+00:00
li_acct_14,,li_camp_45,li_cre_945,li_sh_542,2025-11-15T03:00:00+00:00,2025-11-15T04:00:00+00:00,Moble,Feed,EVENT_AD,,,,,,,,441,2,0.231727,PHP,VALIDATED,DISAPPROVED,,2025-11-15T05:00:00+00:00,row_c9k1kflrmlkz,hash_2x98g8vm7rj6b2,linkedin_20251115_03.csv,2025-11-15T09:22:00+00:00
li_acct_15,,li_camp_24,li_cre_841,,2025-11-15T07:00:00+00:00,2025-11-15T08:00:00+00:00,Other,Feed,CAROUSEL,,,,,,,,342,14,0.069965,PHP,PUBLISHED,PAUSED,,2025-11-15T19:00:00+00:00,row_7v1exwvygjhp,hash_zqqqhj88ivo7i7,linkedin_20251115_07.csv,2025-11-15T08:25:00+00:00
li_acct_19,li_cg_74,li_camp_148,li_cre_1382,li_sh_485,2025-10-17T02:00:00+00:00,2025-10-17T03:00:00+00:00,Mobile,Audience Network,CAROUSEL,,,,,,,,28,0,0.03365,AUD,ENRICHED,ACTIVE,,2025-10-18T02:00:00+00:00,row_kbwvamgfd50m,hash_7aojsztkxv5upy,linkedin_20251017_02.csv,2025-10-17T14:39:00+00:00
li_acct_17,li_cg_3,li_camp_47,li_cre_2269,li_sh_658,2025-11-19T07:00:00+00:00,2025-11-19T08:00:00+00:00,Other,Feed,CAROUSEL,,,,,,,,230,8,0.125067,USD,VALIDATED,ACTIVE,,2025-11-19T09:00:00+00:00,row_b96wekoecajw,hash_4f03oc0camxp2d,linkedin_20251119_07.csv,2025-11-21T07:50:00+00:00
li_acct_12,,li_camp_180,li_cre_2027,li_sh_139,2026-01-16T03:00:00+00:00,2026-01-16T04:00:00+00:00,Moble,Audience Network,SINGLE_IMAGE,,,,,,,,39,2,0.027611,USD,ENRICHED,ACTIVE,,2026-01-16T03:00:00+00:00,row_w001oduic8wp,hash_n9fidq17vdqf61,linkedin_20260116_03.csv,2026-01-16T03:43:00+00:00
li_acct_17,,li_camp_83,li_cre_2789,li_sh_553,2026-01-12T22:00:00+00:00,2026-01-12T23:00:00+00:00,Other,Feed,MESSAGE_AD,,,,,,,,81,4,0.017261,PHP,VALIDATED,ACTIVE,,2026-01-12T22:00:00+00:00,row_uj276q9wbj92,hash_8rrmt5sjjd9xjj,linkedin_20260112_22.csv,2026-01-13T10:21:00+00:00
li_acct_10,li_cg_40,li_camp_6,li_cre_54,,2025-10-20T19:00:00+00:00,2025-10-20T20:00:00+00:00,Mobile,Right Rail,MESSAGE_AD,,,,,,,,138,3,0.059445,USD,PUBLISHED,ACTIVE,,2025-10-21T19:00:00+00:00,row_tous9komy84s,hash_nw3spxod8d99r8,linkedin_20251020_19.csv,2025-10-20T21:29:00+00:00
li_acct_3,li_cg_15,li_camp_130,li_cre_1552,,2025-09-20T20:00:00+00:00,2025-09-20T21:00:00+00:00,Other,Right Rail,CAROUSEL,,,,,,,,306,39,0.060274,EUR,QUARANTINED,ARCHIVED,,2025-09-20T20:00:00+00:00,row_mv408xd7pz9g,hash_rt67qnerqc7jqd,linkedin_20250920_20.csv,2025-09-22T20:58:00+00:00
li_acct_4,,li_camp_106,li_cre_2264,,2026-01-14T23:00:00+00:00,2026-01-15T00:00:00+00:00,Mobile,Right Rail,CAROUSEL,,,,,,,,161,12,0.018543,PHP,ENRICHED,ACTIVE,,2026-01-14T23:00:00+00:00,row_hux29q9autc4,hash_hm5fhufuege9vm,linkedin_20260114_23.csv,2026-01-15T23:57:00+00:00
li_acct_4,li_cg_39,li_camp_151,li_cre_631,li_sh_588,2025-10-29T11:00:00+00:00,2025-10-29T12:00:00+00:00,Other,Audience Network,CAROUSEL,,,,,,,,150,1,0.018732,EUR,PUBLISHED,DISAPPROVED,,2025-10-30T11:00:00+00:00,row_8pz4q4qgeoo7,hash_gky1n2xml0k8sn,linkedin_20251029_11.csv,2025-10-29T12:34:00+00:00
li_acct_13,,li_camp_44,li_cre_2009,,2025-12-09T10:00:00+00:00,2025-12-09T11:00:00+00:00,Other,Audience Network,EVENT_AD,,,,,,,,93,0,0.018078,PHP,RECEIVED,ACTIVE,,2025-12-10T10:00:00+00:00,row_h4keikgrsvoo,hash_tziqvabwhb7ts0,linkedin_20251209_10.csv,2025-12-11T10:59:00+00:00
li_acct_2,li_cg_32,li_camp_92,li_cre_1180,,2025-11-10T05:00:00+00:00,2025-11-10T06:00:00+00:00,Other,Feed,SINGLE_IMAGE,,,,,,,,240,9,0.041184,PHP,VALIDATED,ACTIVE,,2025-11-10T05:00:00+00:00,row_jnub0qv1mj2t,hash_uyhqiy3tlvfavk,linkedin_20251110_05.csv,2025-11-11T05:14:00+00:00
li_acct_1,,li_camp_68,li_cre_2241,li_sh_648,2025-10-25T09:00:00+00:00,2025-10-25T10:00:00+00:00,Other,Audience Network,CAROUSEL,,,,,,,,134,10,-0.0996,PHP,VALIDATED,ACTIVE,,2025-10-26T09:00:00+00:00,row_xz2sajkbpoj4,hash_j8jmkpzykal7j5,linkedin_20251025_09.csv,2025-10-25T21:53:00+00:00
li_acct_18,,li_camp_138,li_cre_2097,li_sh_899,2025-11-03T13:00:00+00:00,2025-11-03T14:00:00+00:00,Desktop,Feed,EVENT_AD,,,,,,,,66,0,0.018095,SGD,PUBLISHED,ACTIVE,,2025-11-04T13:00:00+00:00,row_rr52om5zuhu5,hash_gkb1v0gevk89je,linkedin_20251103_13.csv,2025-11-03T13:40:00+00:00
li_acct_14,,li_camp_127,li_cre_323,,2026-01-04T19:00:00+00:00,2026-01-04T20:00:00+00:00,Other,Feed,MESSAGE_AD,,,,,,,,706,10,0.743506,USD,RECEIVED,ACTIVE,,2026-01-04T19:00:00+00:00,row_fh1kiwa48nn6,hash_f8243bj9xq63sb,linkedin_20260104_19.csv,2026-01-05T07:15:00+00:00
li_acct_2,,li_camp_77,li_cre_1253,,2025-10-21T11:00:00+00:00,2025-10-21T12:00:00+00:00,Desktop,Feed,MESSAGE_AD,,,,,,,,299,14,0.077484,PHP,ENRICHED,ACTIVE,,2025-10-21T11:00:00+00:00,row_yikxl7wl1phv,hash_zwe1w28lojgsvg,linkedin_20251021_11.csv,2025-10-21T17:41:00+00:00
li_acct_11,,li_camp_138,li_cre_2073,,2025-09-22T17:00:00+00:00,2025-09-22T18:00:00+00:00,Desktop,Right Rail,CAROUSEL,,,,,,,,93,2,0.113478,PHP,PUBLISHED,ACTIVE,,2025-09-22T17:00:00+00:00,row_qxub32bfq3dq,hash_hvvtg0yz7iii54,linkedin_20250922_17.csv,2025-09-22T17:29:00+00:00
