advertiser_account_id,campaign_id,line_item_id,promoted_tweet_id,media_id,hourly_timestamp_utc,device,placement,media_type,video_length,q25,q50,q75,q100,impressions,clicks,engagements,billed_charge_local_micro,currency_code,pipe_status,entity_status,quarantine_reason,loaded_at,row_id,row_hash,source_file,ingested_at_utc
x_acct_2,x_camp_57,x_line_635,,x_media_2261,2025-12-01T20:00:00+00:00,Web,profile,IMAGE,,,,,,313,29,46,267485,USD,PUB,ACTIVE,,2025-12-02T20:00:00+00:00,row_rut39s97iz9e,hash_6sd9v6974z6wiq,x_20251201_20.csv,2025-12-01T22:56:00+00:00
x_acct_14,x_camp_143,x_line_31,x_tweet_2403,,2025-11-29T09:00:00+00:00,Andriod,search,VIDEO,30,12.0,10.0,3.0,0.0,81,0,14,85179,USD,VAL,ACTIVE,,2025-11-29T09:00:00+00:00,row_ehh0tlvox800,hash_bgbjkhe2pza5ym,x_20251129_09.csv,2025-11-29T09:11:00+00:00
x_acct_10,x_camp_9,x_line_440,x_tweet_2276,,2025-11-30T09:00:00+00:00,iOS,profile,IMAGE,,,,,,278,17,35,134408,USD,ENR,PAUSED,,2025-12-01T09:00:00+00:00,row_ebiipopcd7mv,hash_ku8ika4sdd8n2g,x_20251130_09.csv,2025-12-01T09:04:00+00:00
x_acct_18,x_camp_120,x_line_89,x_tweet_598,x_media_2289,2025-10-31T23:00:00+00:00,Other,timeline,TEXT,,,,,,150,2,14,177146,USD,VAL,ACTIVE,,2025-11-01T23:00:00+00:00,row_5lcu779x5m2y,hash_ad17captdxue9t,x_20251031_23.csv,2025-11-01T01:47:00+00:00
x_acct_12,x_camp_95,x_line_338,x_tweet_1912,x_media_3039,2025-11-19T05:00:00+00:00,Android,timeline,TEXT,,,,,,94,1,20,99978,USD,ENR,ACTIVE,,2025-11-19T11:00:00+00:00,row_72k43534fcq8,hash_os59vaw8728xrv,x_20251119_05.csv,2025-11-19T11:41:00+00:00
x_acct_6,x_camp_21,x_line_632,x_tweet_276,x_media_357,2025-10-23T10:00:00+00:00,iOS,search,VID,12,10.0,20.0,5.0,0.0,162,2,0,342573,USD,VAL,ACTIVE,,2025-10-24T10:00:00+00:00,row_p9hzemuh1m9h,hash_clmrftt1z19pcu,x_20251023_10.csv,2025-10-24T10:03:00+00:00
x_acct_15,x_camp_28,x_line_225,x_tweet_2554,x_media_3050,2025-10-16T17:00:00+00:00,Web,search,IMAGE,,,,,,230,3,9,76088,USD,RCV,ACTIVE,,2025-10-16T23:00:00+00:00,row_rw0v1ubznssf,hash_4tu27zl7xnmy93,x_20251016_17.csv,2025-10-17T05:34:00+00:00
x_acct_14,x_camp_154,x_line_346,x_tweet_1913,,2025-10-08T10:00:00+00:00,Andriod,profile,GIF,,,,,,46,5,7,20777,USD,VAL,ACTIVE,,2025-10-09T10:00:00+00:00,row_h9ak4co7kdng,hash_9vpmcwbof53byp,x_20251008_10.csv,2025-10-08T10:49:00+00:00
x_acct_18,x_camp_38,x_line_166,x_tweet_1608,x_media_2247,2025-12-26T10:00:00+00:00,iOS,profile,VIDEO,15,41.0,21.0,9.0,13.0,187,1,9,160660,USD,ENR,ACTIVE,,2025-12-26T16:00:00+00:00,row_ne67a88phxy4,hash_mmdhb18x1gulxx,x_20251226_10.csv,2025-12-26T16:05:00+00:00
x_acct_19,x_camp_105,x_line_281,,x_media_1950,2025-09-22T05:00:00+00:00,iOS,profile,VID,12,11.0,11.0,17.0,4.0,129,6,34,37660,USD,ENR,ACTIVE,,2025-09-23T05:00:00+00:00,row_cnxv4shcly81,hash_re234ovz2pdk31,x_20250922_05.csv,2025-09-22T11:04:00+00:00
x_acct_9,x_camp_171,x_line_296,,,2025-12-09T21:00:00+00:00,Android,profile,GIF,,,,,,115,2,5,69664,USD,PUB,ACTIVE,,2025-12-10T03:00:00+00:00,row_4qbj3qaczrgg,hash_t9yrmf931xkxgc,x_20251209_21.csv,2025-12-10T09:45:00+00:00
x_acct_15,x_camp_75,x_line_568,x_tweet_2066,,2025-10-11T08:00:00+00:00,Web,profile,VIDEO,12,73.0,135.0,100.0,28.0,435,23,137,387381,USD,VAL,ACTIVE,,2025-10-11T08:00:00+00:00,row_rx4w2h54lifn,hash_5bu2lkwvarbhwl,x_20251011_08.csv,2025-10-11T10:32:00+00:00
x_acct_14,x_camp_173,x_line_337,x_tweet_2562,x_media_2866,2025-11-16T09:00:00+00:00,iOS,search,VIDEO,60,40.0,34.0,10.0,24.0,158,4,52,84203,USD,RCV,PAUSED,,2025-11-17T09:00:00+00:00,row_c1htifpv8d14,hash_hd70zdn8gtl95o,x_20251116_09.csv,2025-11-16T11:59:00+00:00
x_acct_9,x_camp_14,x_line_285,x_tweet_906,x_media_2677,2025-12-25T10:00:00+00:00,Web,profile,VIDEO,,6.0,0.0,9.0,5.0,127,1,16,32966,USD,VAL,LIMITED,,2025-12-26T10:00:00+00:00,row_jcjzvkxa2rdy,hash_23a2zjavhqw7qy,x_20251225_10.csv,2025-12-25T16:36:00+00:00
x_acct_9,x_camp_194,x_line_319,x_tweet_2443,x_media_2282,2025-12-30T00:00:00+00:00,Other,timeline,TEXT,,,,,,186,7,32,249988,USD,PUB,ACTIVE,,2025-12-30T00:00:00+00:00,row_yq1o33q4b21o,hash_c20fkjr6g7r1ww,x_20251230_00.csv,2025-12-30T02:56:00+00:00
x_acct_1,x_camp_91,x_line_566,x_tweet_112,x_media_1301,2025-11-01T08:00:00+00:00,Andriod,profile,TEXT,,,,,,72,5,14,-12363,USD,PUB,ACTIVE,,2025-11-01T14:00:00+00:00,row_uivjg3ego4gi,hash_balu8fe1pz9pl7,x_20251101_08.csv,2025-11-01T08:49:00+00:00
x_acct_8,x_camp_135,x_line_541,x_tweet_1449,x_media_940,2025-09-24T16:00:00+00:00,Other,timeline,TEXT,,,,,,247,21,86,186384,USD,VAL,ACTIVE,,2025-09-24T16:00:00+00:00,row_g0et7m4ct0e8,hash_mn86ixpt9dtb1q,x_20250924_16.csv,2025-09-24T18:50:00+00:00
x_acct_2,x_camp_39,x_line_538,x_tweet_515,x_media_17,2025-12-27T12:00:00+00:00,Web,search,VIDEO,6,11.0,6.0,5.0,3.0,417,25,13,31484,USD,RCV,ACTIVE,,2025-12-27T18:00:00+00:00,row_sn4e8fmcl55h,hash_a3czk5sya1quq9,x_20251227_12.csv,2025-12-27T12:54:00+00:00
x_acct_15,x_camp_78,x_line_184,x_tweet_1313,x_media_2695,2025-09-20T14:00:00+00:00,iOS,search,VIDEO,60,12.0,15.0,4.0,,124,6,32,85253,USD,VAL,PAUSED,,2025-09-20T20:00:00+00:00,row_nloyvc5vrpx4,hash_wnzzmhljt6ye45,x_20250920_14.csv,2025-09-21T02:24:00+00:00
x_acct_12,x_camp_170,x_line_510,x_tweet_1016,x_media_2240,2025-12-25T18:00:00+00:00,Andriod,profile,VIDEO,30,22.0,15.0,28.0,3.0,140,2,47,60472,USD,QRN,ACTIVE,,2025-12-26T00:00:00+00:00,row_cb1d4w7n6ruv,hash_8sbflv2b3b6fdd,x_20251225_18.csv,2025-12-27T18:15:00+00:00
x_acct_13,x_camp_116,x_line_40,x_tweet_1876,x_media_2143,2025-10-21T23:00:00+00:00,Other,timeline,IMAGE,,,,,,45,0,15,13348,USD,VAL,ACTIVE,,2025-10-22T05:00:00+00:00,row_u5tchot1xkvr,hash_3znr4otdktkr0z,x_20251021_23.csv,2025-10-22T01:59:00+00:00
x_acct_20,x_camp_201,x_line_1,x_tweet_1110,,2025-12-22T12:00:00+00:00,Other,timeline,IMAGE,,,,,,324,41,7,111060,USD,ENR,ACTIVE,,2025-12-22T12:00:00+00:00,row_xtn5f11oy4wd,hash_4c5p9myotc9eri,x_20251222_12.csv,2025-12-23T12:23:00+00:00
x_acct_1,x_camp_31,x_line_689,x_tweet_2501,x_media_2640,2025-11-19T14:00:00+00:00,Andriod,timeline,IMAGE,,,,,,145,6,9,98431,USD,VAL,PAUSED,,2025-11-20T14:00:00+00:00,row_270o08yzljb1,hash_9oz5ecyx1iy3jd,x_20251119_14.csv,2025-11-19T16:19:00+00:00
x_acct_11,x_camp_18,x_line_655,x_tweet_2472,,2025-12-29T11:00:00+00:00,Other,profile,VID,60,124.0,99.0,28.0,77.0,927,31,2,893623,USD,ENR,ACTIVE,,2025-12-29T11:00:00+00:00,row_u097jedavhxg,hash_ov0hmifqu4vdli,x_20251229_11.csv,2025-12-29T12:16:00+00:00
x_acct_18,x_camp_41,x_line_68,x_tweet_2444,x_media_1242,2025-12-20T21:00:00+00:00,Android,profile,TEXT,,,,,,151,7,8,125406,USD,PUB,PAUSED,,2025-12-21T21:00:00+00:00,row_n3ueiwdemppw,hash_fw7ijhemtedyc8,x_20251220_21.csv,2025-12-21T03:43:00+00:00
x_acct_8,x_camp_202,x_line_320,x_tweet_2184,x_media_697,2025-12-21T04:00:00+00:00,Other,search,TEXT,,,,,,246,6,13,63740,USD,PUB,PAUSED,,2025-12-21T10:00:00+00:00,row_6zbj8z8gvqqu,hash_mjnzyex89b9o15,x_20251221_04.csv,2025-12-21T04:10:00+00:00
x_acct_10,x_camp_45,x_line_621,x_tweet_51,x_media_89,2025-09-28T23:00:00+00:00,Android,profile,VID,8,3.0,0.0,1.0,1.0,173,3,19,106356,USD,VAL,ACTIVE,,2025-09-29T05:00:00+00:00,row_7tq7elexl6w4,hash_qmv1y12k95m508,x_20250928_23.csv,2025-09-29T01:43:00+00:00
x_acct_17,x_camp_171,x_line_374,,,2025-10-04T07:00:00+00:00,Web,timeline,GIF,,,,,,251,33,54,70095,USD,ENR,ACTIVE,,2025-10-05T07:00:00+00:00,row_4blxlypmcvry,hash_xsflzwwhqr65qy,x_20251004_07.csv,2025-10-05T07:54:00+00:00
x_acct_4,x_camp_203,x_line_599,x_tweet_2572,,2025-11-21T07:00:00+00:00,Android,timeline,VID,20,34.0,23.0,31.0,5.0,197,5,6,40552,usd,PUB,ARCHIVED,,2025-11-21T13:00:00+00:00,row_kd1ueepwir5l,hash_lr9fddqqwntf4m,x_20251121_07.csv,2025-11-21T19:40:00+00:00
x_acct_5,x_camp_41,x_line_493,x_tweet_1365,,2025-10-13T09:00:00+00:00,Other,search,GIF,,,,,,165,9,6,139864,USD,VAL,ACTIVE,,2025-10-13T09:00:00+00:00,row_58nfz3p1ta5d,hash_bmlr0a6aotv1m1,x_20251013_09.csv,2025-10-13T15:15:00+00:00
x_acct_12,x_camp_214,x_line_303,x_tweet_1204,,2025-09-25T16:00:00+00:00,Android,timeline,IMAGE,,,,,,72,0,5,37626,USD,ENR,ACTIVE,,2025-09-25T16:00:00+00:00,row_zkc16yiealb2,hash_06j8mppmg7b77t,x_20250925_16.csv,2025-09-25T17:29:00+00:00
x_acct_9,x_camp_152,x_line_614,x_tweet_1149,,2025-10-10T23:00:00+00:00,Andriod,timeline,VIDEO,12,23.0,59.0,39.0,24.0,327,8,22,49991,USD,PUB,ACTIVE,,2025-10-11T23:00:00+00:00,row_7k52s43nd8g9,hash_5urlal1cob3gl7,x_20251010_23.csv,2025-10-11T11:13:00+00:00
x_acct_20,x_camp_107,x_line_676,x_tweet_1434,x_media_2292,2025-11-22T00:00:00+00:00,Andriod,search,IMAGE,,,,,,164,17,22,43327,USD,VAL,ACTIVE,,2025-11-22T06:00:00+00:00,row_7nxgyjuo50x0,hash_nwu4y8l71ck62b,x_20251122_00.csv,2025-11-22T01:51:00+00:00
x_acct_7,x_camp_99,x_line_382,x_tweet_2127,x_media_1341,2025-10-18T08:00:00+00:00,Other,profile,GIF,,,,,,395,6,47,304900,USD,VAL,PAUSED,,2025-10-18T14:00:00+00:00,row_zaz4j3ghdiq1,hash_taln41p4zjt3cr,x_20251018_08.csv,2025-10-18T08:52:00+00:00
x_acct_19,x_camp_45,x_line_432,x_tweet_1703,,2025-12-11T21:00:00+00:00,Other,profile,TEXT,,,,,,95,2,4,201806,USD,VAL,ACTIVE,,2025-12-12T21:00:00+00:00,row_lesv2t3ae8kc,hash_sopqvkqa01rhus,x_20251211_21.csv,2025-12-13T21:23:00+00:00
x_acct_4,x_camp_1,x_line_40,x_tweet_2125,x_media_3248,2025-12-14T23:00:00+00:00,Andriod,timeline,VID,45,8.0,10.0,3.0,10.0,102,3,11,62058,USD,VAL,ACTIVE,,2025-12-14T23:00:00+00:00,row_z1hgu4328b8c,hash_4eej1q3a6fl2m1,x_20251214_23.csv,2025-12-15T01:28:00+00:00
x_acct_14,x_camp_167,x_line_263,x_tweet_2209,x_media_958,2025-09-26T13:00:00+00:00,iOS,search,VIDEO,6,305.0,102.0,198.0,7.0,941,25,224,987461,USD,VAL,ACTIVE,,2025-09-26T19:00:00+00:00,row_3ng9jf0fds8o,hash_8y9qq662xwwqto,x_20250926_13.csv,2025-09-26T13:38:00+00:00
x_acct_16,x_camp_30,x_line_142,x_tweet_583,x_media_979,2026-01-02T19:00:00+00:00,Other,search,VID,10,50.0,11.0,29.0,18.0,305,9,50,34170,USD,VAL,ACTIVE,,2026-01-02T19:00:00+00:00,row_s2tnxrfcis4q,hash_yc2oyv7a0nwczq,x_20260102_19.csv,2026-01-03T01:29:00+00:00
x_acct_14,x_camp_39,x_line_42,x_tweet_1183,x_media_3175,2025-10-26T14:00:00+00:00,Andriod,profile,VID,60,35.0,45.0,77.0,39.0,272,9,26,54746,USD,VAL,ACTIVE,,2025-10-26T14:00:00+00:00,row_5s2t6mnfzlnw,hash_2v6gl1tc0f8lif,x_20251026_14.csv,2025-10-26T14:37:00+00:00
x_acct_11,x_camp_75,x_line_248,x_tweet_1182,x_media_627,2025-10-15T13:00:00+00:00,Andriod,profile,GIF,,,,,,153,8,3,164460,USD,VAL,ACTIVE,,2025-10-16T13:00:00+00:00,row_1393jbgysj4d,hash_gdhkk3mjbkaqh2,x_20251015_13.csv,2025-10-15T15:35:00+00:00
x_acct_17,x_camp_75,x_line_175,x_tweet_529,x_media_3251,2025-10-03T04:00:00+00:00,iOS,profile,TEXT,,,,,,269,5,65,254769,USD,ENR,ACTIVE,,2025-10-04T04:00:00+00:00,row_dxxlx4860o8j,hash_3088wlpy0awd5f,x_20251003_04.csv,2025-10-05T04:00:00+00:00
x_acct_13,x_camp_214,x_line_416,x_tweet_1018,x_media_2333,2025-10-10T09:00:00+00:00,Other,profile,IMAGE,,,,,,155,8,15,29461,USD,QRN,ACTIVE,,2025-10-10T15:00:00+00:00,row_usa2dh02xbj5,hash_k2x99vre3hgdt0,x_20251010_09.csv,2025-10-10T11:36:00+00:00
x_acct_17,x_camp_95,x_line_257,x_tweet_1069,x_media_2904,2025-11-29T07:00:00+00:00,iOS,timeline,IMAGE,,,,,,369,43,44,77164,USD,ENR,ACTIVE,,2025-11-29T07:00:00+00:00,row_5r06co7bamkr,hash_8zb94nzb7f4p8k,x_20251129_07.csv,2025-11-29T07:16:00+00:00
x_acct_17,x_camp_103,x_line_61,,x_media_2827,2025-09-30T14:00:00+00:00,Web,profile,GIF,,,,,,164,5,8,222383,USD ,QRN,ACTIVE,,2025-09-30T20:00:00+00:00,row_ix5d0e43ciqs,hash_uzb7nclaih6kel,x_20250930_14.csv,2025-10-01T14:33:00+00:00
x_acct_7,x_camp_130,x_line_387,x_tweet_1332,,2025-11-16T23:00:00+00:00,Web,timeline,VID,8,6.0,2.0,0.0,4.0,48,1,1,36578,USD,VAL,PAUSED,,2025-11-17T23:00:00+00:00,row_zcxvjsp7u8he,hash_4wv5un36l9lxcp,x_20251116_23.csv,2025-11-17T05:19:00+00:00
x_acct_18,x_camp_119,x_line_277,x_tweet_983,x_media_552,2025-12-04T06:00:00+00:00,iOS,timeline,VIDEO,8,195.0,34.0,109.0,200.0,1806,54,142,1411379,USD,PUB,ACTIVE,,2025-12-04T12:00:00+00:00,row_3nzxrjyp5fq7,hash_pw0fl4i3y81khs,x_20251204_06.csv,2025-12-06T06:55:00+00:00
x_acct_3,x_camp_27,x_line_410,,x_media_2626,2025-12-07T13:00:00+00:00,iOS,search,IMAGE,,,,,,370,7,8,112025,USD,RCV,ACTIVE,,2025-12-07T19:00:00+00:00,row_erf8s5iw54y4,hash_nu9222ntk872y2,x_20251207_13.csv,2025-12-07T14:18:00+00:00
x_acct_1,x_camp_88,x_line_100,x_tweet_1738,x_media_325,2025-10-20T18:00:00+00:00,Android,search,IMAGE,,,,,,58,1,1,28453,USD,VAL,ACTIVE,,2025-10-20T18:00:00+00:00,row_nycvlg733vqu,hash_ye7rnf2jfxte6m,x_20251020_18.csv,2025-10-21T18:02:00+00:00
x_acct_17,x_camp_6,x_line_474,x_tweet_1144,x_media_1600,2026-01-06T06:00:00+00:00,Other,profile,VIDEO,15,49.0,16.0,34.0,2.0,413,46,35,228986,USD,ENR,ACTIVE,,2026-01-07T06:00:00+00:00,row_blmdqr9vfy8f,hash_nty7ogfg7tjh26,x_20260106_06.csv,2026-01-06T06:11:00+00:00
x_acct_9,x_camp_62,x_line_49,x_tweet_1504,x_media_110,2025-10-06T02:00:00+00:00,Other,profile,TEXT,,,,,,190,20,18,118100,USD,RCV,PAUSED,,2025-10-06T02:00:00+00:00,row_6ho8ty8j2786,hash_o9jxobmrcsq3el,x_20251006_02.csv,2025-10-06T04:29:00+00:00
x_acct_16,x_camp_105,x_line_95,x_tweet_2278,x_media_3200,2025-12-13T10:00:00+00:00,Android,timeline,VID,90,11.0,4.0,7.0,0.0,101,3,2,79548,USD,VAL,ACTIVE,,2025-12-13T10:00:00+00:00,row_d0kej414qpd2,hash_yl7a6dnyfp68vc,x_20251213_10.csv,2025-12-13T16:00:00+00:00
x_acct_19,x_camp_94,x_line_439,x_tweet_2245,x_media_1086,2025-12-03T23:00:00+00:00,Other,profile,TEXT,,,,,,304,30,61,94360,USD,PUB,ACTIVE,,2025-12-04T23:00:00+00:00,row_la5m0dd7xmu1,hash_3hlet5fl92080a,x_20251203_23.csv,2025-12-05T23:41:00+00:00
x_acct_12,x_camp_35,x_line_628,,x_media_230,2025-11-05T19:00:00+00:00,iOS,profile,TEXT,,,,,,302,26,62,209144,USD,ENR,ACTIVE,,2025-11-06T19:00:00+00:00,row_7mtgari6tvia,hash_nvb9maqyvpxphz,x_20251105_19.csv,2025-11-06T19:00:00+00:00
x_acct_20,x_camp_29,x_line_452,x_tweet_1020,x_media_1647,2025-11-16T23:00:00+00:00,Android,profile,GIF,,,,,,584,14,18,814018,USD,VAL,LIMITED,,2025-11-17T23:00:00+00:00,row_mb6enjy395h4,hash_h4d2rkco0h45az,x_20251116_23.csv,2025-11-16T23:40:00+00:00
x_acct_4,x_camp_157,x_line_518,,x_media_1770,2025-10-18T21:00:00+00:00,Andriod,profile,VIDEO,45,17.0,12.0,4.0,6.0,161,20,25,308946,USD,VAL,ACTIVE,,2025-10-18T21:00:00+00:00,row_66cvrvb3n0t2,hash_6xmkog9kfn42dz,x_20251018_21.csv,2025-10-18T21:01:00+00:00
x_acct_20,x_camp_97,x_line_271,,x_media_2795,2025-12-18T21:00:00+00:00,Other,profile,IMAGE,15,,,,,173,9,39,118909,USD,RCV,ACTIVE,,2025-12-19T21:00:00+00:00,row_ujfw7nm60ikf,hash_12cctyu4cji5ra,x_20251218_21.csv,2025-12-19T21:23:00+00:00
x_acct_12,x_camp_59,x_line_186,,x_media_970,2025-12-07T20:00:00+00:00,iOS,profile,VID,20,3.0,4.0,2.0,,68,0,17,25248,USD,PUB,ACTIVE,,2025-12-08T20:00:00+00:00,row_l7ydyff9m7qg,hash_qs76sl0xm7yojd,x_20251207_20.csv,2025-12-08T08:31:00+00:00
x_acct_20,x_camp_207,x_line_85,x_tweet_714,x_media_3204,2025-10-18T14:00:00+00:00,iOS,profile,VIDEO,,35.0,22.0,18.0,8.0,74,2,4,14597,USD,PUB,LIMITED,,2025-10-19T14:00:00+00:00,row_vfyk710sczjg,hash_ab55ib6ntt41we,x_20251018_14.csv,2025-10-18T15:15:00+00:00
x_acct_14,x_camp_158,x_line_587,x_tweet_2013,x_media_656,2026-01-01T21:00:00+00:00,Other,timeline,GIF,,,,,,725,33,32,654234,USD,RCV,ACTIVE,,2026-01-02T03:00:00+00:00,row_2b94lajwz0qt,hash_eamco1epctfsks,x_20260101_21.csv,2026-01-03T21:17:00+00:00
x_acct_4,x_camp_35,x_line_302,x_tweet_157,,2025-12-26T18:00:00+00:00,Andriod,timeline,VIDEO,15,8.0,23.0,13.0,15.0,364,1,1,125697,USD,ENR,ARCHIVED,,2025-12-27T18:00:00+00:00,row_jx501ely1l4u,hash_kw045nuk6y7wlp,x_20251226_18.csv,2025-12-27T00:45:00+00:00
x_acct_2,x_camp_2,x_line_47,x_tweet_1793,x_media_1371,2025-11-28T08:00:00+00:00,iOS,search,TEXT,,,,,,149,3,31,37554,USD,VAL,ACTIVE,,2025-11-28T14:00:00+00:00,row_ulxm8ud4l0ot,hash_4cqlav6mgkrp8s,x_20251128_08.csv,2025-11-28T10:10:00+00:00
x_acct_6,x_camp_123,x_line_16,x_tweet_1844,x_media_2845,2025-10-24T20:00:00+00:00,Andriod,profile,IMAGE,,,,,,518,7,125,604255,USD,VAL,DRAFT,,2025-10-24T20:00:00+00:00,row_2n9x7c0s8g0y,hash_uemosa4l609iu3,x_20251024_20.csv,2025-10-24T21:16:00+00:00
x_acct_6,x_camp_75,x_line_394,x_tweet_1946,x_media_2503,2025-10-18T15:00:00+00:00,Web,profile,IMAGE,,,,,,90,5,31,33563,USD,VAL,ACTIVE,,2025-10-18T21:00:00+00:00,row_bza1wyjd8w7v,hash_gyiwwgsh186i1z,x_20251018_15.csv,2025-10-18T21:11:00+00:00
x_acct_20,x_camp_178,x_line_253,x_tweet_2027,x_media_2481,2026-01-02T09:00:00+00:00,Android,profile,VIDEO,10,18.0,35.0,1.0,16.0,657,14,99,204553,USD,PUB,ACTIVE,,2026-01-03T09:00:00+00:00,row_7tlqngtlvnuo,hash_c8l0ixsfhl4c9s,x_20260102_09.csv,2026-01-02T09:23:00+00:00
x_acct_6,x_camp_84,x_line_449,x_tweet_1010,x_media_114,2025-12-30T03:00:00+00:00,iOS,profile,IMAGE,,,,,,276,10,48,159089,USD,VAL,DRAFT,,2025-12-30T09:00:00+00:00,row_rswii3s5p0xy,hash_sgi7m1e3pjtha5,x_20251230_03.csv,2025-12-30T15:22:00+00:00
x_acct_15,x_camp_95,x_line_391,x_tweet_1300,,2025-12-04T16:00:00+00:00,Android,profile,VID,45,23.0,6.0,8.0,10.0,275,32,4,17174,USD,ENR,ACTIVE,,2025-12-04T22:00:00+00:00,row_jyyz9h58rtx6,hash_pxzsv1wlglmf2c,x_20251204_16.csv,2025-12-04T22:56:00+00:00
x_acct_8,x_camp_88,x_line_445,x_tweet_855,x_media_2578,2025-11-02T17:00:00+00:00,Other,search,IMAGE,,,,,,375,57,67,400873,USD,RCV,ACTIVE,,2025-11-02T23:00:00+00:00,row_2a9qx7oywh2z,hash_rglxo9drb4tgdj,x_20251102_17.csv,2025-11-02T17:13:00+00:00
x_acct_10,x_camp_125,x_line_302,x_tweet_2242,,2025-12-05T11:00:00+00:00,Andriod,search,TEXT,,,,,,89,2,24,149145,USD,PUB,ACTIVE,,2025-12-05T17:00:00+00:00,row_dvug31wjkkrw,hash_ylkjdo8cqeroyj,x_20251205_11.csv,2025-12-07T11:44:00+00:00
x_acct_10,x_camp_174,x_line_331,,x_media_2058,2025-11-26T10:00:00+00:00,Andriod,profile,VIDEO,,37.0,45.0,31.0,3.0,166,13,4,119871,USD,VAL,ACTIVE,,2025-11-27T10:00:00+00:00,row_sr6upjoa0r5e,hash_z27wxy2gx0715i,x_20251126_10.csv,2025-11-27T10:17:00+00:00
x_acct_7,x_camp_203,x_line_71,x_tweet_25,x_media_712,2025-09-29T20:00:00+00:00,Andriod,timeline,IMAGE,,,,,,245,13,38,195845,USD,RCV,ACTIVE,,2025-09-30T02:00:00+00:00,row_6xxxhy89vs9o,hash_fezual7bvy9ljp,x_20250929_20.csv,2025-09-29T22:30:00+00:00
