meta_account_id,meta_campaign_id,meta_adset_id,meta_ad_id,meta_creative_id,hour_start_local,account_timezone,device_platform,publisher_platform,placement,ad_format,video_duration_sec,video_view_2s,video_view_6s,video_view_25pct,video_view_50pct,video_view_75pct,video_view_100pct,avg_watch_time_sec,impressions,clicks_all,link_clicks,spend,currency,delivery_status,pipeline_status,rejection_reason,event_hour,row_id,row_hash,source_file,ingested_at_utc
meta_acct_13,meta_camp_45,meta_adset_95,meta_ad_660,meta_cr_196,2025-09-27 05:00:00,Asia/Singapore,desktop,instagram,feed,IMAGE,,,,,,,,,115,16,1,-0.025267,EUR,ACTIVE,PUBLISHED,,2025-09-26T21:00:00+00:00,row_s3vcwta0df5z,hash_3obiwao4gs5ckb,meta_20250926_21.csv,2025-09-26T23:54:00+00:00
meta_acct_14,meta_camp_45,meta_adset_257,meta_ad_416,meta_cr_1559,2025-12-08 06:00:00,,desktop,instagram,in_stream,CAROUSEL,,,,,,,,,170,0,0,0.073613,USD,ACTIVE,VALIDATED,,2025-12-07T22:00:00+00:00,row_dc130qjnz37t,hash_6goz0sl16s6umn,meta_20251207_22.csv,2025-12-07T23:22:00+00:00
meta_acct_14,meta_camp_93,meta_adset_20,meta_ad_979,meta_cr_756,2025-11-05 10:00:00,Asai/Manila,deskotp,instagram,right_column,IMAGE,,,,,,,,,352,2,0,0.090118,PHP,DISAPPROVED,PUBLISHED,,2025-11-05T02:00:00+00:00,row_qloegk7xd66c,hash_8l7vn9lhd4f2j3,meta_20251105_02.csv,2025-11-05T02:00:00+00:00
meta_acct_4,meta_camp_38,meta_adset_28,meta_ad_24,meta_cr_2243,2026-01-12 03:00:00,Asia/Singapore,mobile,facebook,stories,REELZ,8.0,5.0,4.0,5.0,1.0,1.0,4.0,3.51,59,3,1,0.028529,USD,ACTIVE,ENRICHED,,2026-01-11T19:00:00+00:00,row_7jnupqsapbyj,hash_fmefwl9ot3u4sm,meta_20260111_19.csv,2026-01-12T07:42:00+00:00
meta_acct_1,meta_camp_9,meta_adset_65,meta_ad_422,meta_cr_916,2025-11-20 22:00:00,Asai/Manila,unknown,facebook,feed,UNKNOWN,,,,,,,,,368,3,1,0.448926,PHP,ACTIVE,PUBLISHED,,2025-11-20T14:00:00+00:00,row_7i5bvseyovwr,hash_46rn2izx13nwca,meta_20251120_14.csv,2025-11-20T14:51:00+00:00
meta_acct_1,meta_camp_41,meta_adset_187,meta_ad_493,meta_cr_1851,2025-12-14 23:00:00,,mobile,audience_network,search_results,CAROUSEL,,,,,,,,,486,25,8,0.354448,AUD,ACTIVE,ENRICHED,,2025-12-14T15:00:00+00:00,row_eoag5a0qs7fw,hash_o5nw4tnmzksllj,meta_20251214_15.csv,2025-12-15T03:54:00+00:00
meta_acct_20,meta_camp_102,meta_adset_245,meta_ad_1453,meta_cr_1121,2026-01-09 17:00:00,Asia/Manila,mobile,instagram,stories,UNKNOWN,,,,,,,,,153,5,3,0.106192,USD,DISAPPROVED,PUBLISHED,,2026-01-09T09:00:00+00:00,row_uj9ft3ajc1m5,hash_050vxt8jxu9rz2,meta_20260109_09.csv,2026-01-09T21:49:00+00:00
meta_acct_8,meta_camp_34,meta_adset_341,meta_ad_362,meta_cr_416,2025-09-19 18:00:00,,deskotp,audience_network,search_results,VIDEO,15.0,19.0,10.0,10.0,16.0,13.0,1.0,3.48,170,1,0,0.077121,USD,ACTIVE,VALIDATED,,2025-09-19T10:00:00+00:00,row_v9klez7fcorx,hash_0iqcgumch1ru5r,meta_20250919_10.csv,2025-09-19T16:17:00+00:00
meta_acct_17,meta_camp_60,meta_adset_266,meta_ad_1016,meta_cr_1226,2025-10-26 22:00:00,Asia/Manila,mobile,instagram,in_stream,UNKNOWN,,,,,,,,,212,6,2,0.154305,USD,ACTIVE,VALIDATED,,2025-10-26T14:00:00+00:00,row_3umcvbaylh4f,hash_7b210wq537pgc6,meta_20251026_14.csv,2025-10-26T20:31:00+00:00
meta_acct_13,meta_camp_60,meta_adset_314,meta_ad_893,meta_cr_816,2025-09-25 06:00:00,Asia/Manila,mobile,instagram,reels,VIDEO,8.0,7.0,6.0,3.0,3.0,3.0,1.0,2.7,71,3,1,0.048743,USD,ACTIVE,QUARANTINED,,2025-09-24T22:00:00+00:00,row_iicwbn235pnv,hash_v1g1nlmon5jj2s,meta_20250924_22.csv,2025-09-24T22:53:00+00:00
meta_acct_15,meta_camp_112,meta_adset_173,meta_ad_970,meta_cr_2395,2025-10-16 23:00:00,Asia/Manila,desktop,instagram,in_stream,VIDEO,45.0,13.0,10.0,12.0,3.0,8.0,4.0,29.29,148,7,2,0.071964,SGD,ACTIVE,VALIDATED,,2025-10-16T15:00:00+00:00,row_uivb17ip0za2,hash_tzlf0tblizownr,meta_20251016_15.csv,2025-10-16T15:42:00+00:00
meta_acct_8,meta_camp_82,meta_adset_368,meta_ad_972,meta_cr_2492,2025-12-26 22:00:00,Asia/Manila,mobile,audience_network,in_stream,REELS,20.0,21.0,16.0,14.0,23.0,14.0,6.0,9.11,158,1,0,0.06483,USD,ACTIVE,PUBLISHED,,2025-12-26T14:00:00+00:00,row_8yhuqbpxez9t,hash_lzi9yf8j763l8c,meta_20251226_14.csv,2025-12-26T14:57:00+00:00
meta_acct_18,meta_camp_47,meta_adset_31,meta_ad_660,meta_cr_2207,2025-12-09 00:00:00,,moblie,facebook,search_results,VIDEO,30.0,139.0,136.0,109.0,68.0,112.0,67.0,9.68,378,7,0,0.291071,USD,ACTIVE,ENRICHED,,2025-12-08T16:00:00+00:00,row_35253e4mv281,hash_swn13bum92p8ra,meta_20251208_16.csv,2025-12-08T17:23:00+00:00
meta_acct_11,meta_camp_82,meta_adset_141,meta_ad_1356,meta_cr_664,2026-01-13 10:00:00,,unknown,facebook,reels,CAROUSEL,,,,,,,,,112,4,0,0.074108,USD,PAUSED,VALIDATED,,2026-01-13T02:00:00+00:00,row_0dzh5aw2spgb,hash_eh0fsxeiviw357,meta_20260113_02.csv,2026-01-13T02:55:00+00:00
meta_acct_9,meta_camp_22,meta_adset_116,meta_ad_919,meta_cr_1726,2026-01-08 03:00:00,Asai/Manila,moblie,facebook,feed,UNKNOWN,,,,,,,,,76,0,0,0.042169,EUR,ACTIVE,PUBLISHED,,2026-01-07T19:00:00+00:00,row_rnud2jz4s4a6,hash_15ifs2ozmemd6l,meta_20260107_19.csv,2026-01-07T19:01:00+00:00
meta_acct_5,meta_camp_93,meta_adset_74,meta_ad_1115,meta_cr_1627,2025-10-17 19:00:00,Asai/Manila,unknown,facebook,search_results,CAROUSEL,,,,,,,,,212,9,3,0.24961,USD,ACTIVE,ENRICHED,,2025-10-17T11:00:00+00:00,row_q7eouzcsfvru,hash_sxhi9iskueghfc,meta_20251017_11.csv,2025-10-19T11:01:00+00:00
meta_acct_16,meta_camp_18,meta_adset_82,meta_ad_376,meta_cr_1577,2025-12-04 16:00:00,Asia/Manila,MOBILE,audience_network,right_column,VIDEO,,28.0,10.0,21.0,21.0,8.0,13.0,2.43,216,18,10,0.011793,PHP,ACTIVE,QUARANTINED,MISSING_VIDEO_DURATION,2025-12-04T08:00:00+00:00,row_7fq771nvass7,hash_3n3fm4cylwl2ta,meta_20251204_08.csv,2025-12-04T20:12:00+00:00
meta_acct_17,meta_camp_10,meta_adset_75,meta_ad_683,meta_cr_1420,2025-09-25 01:00:00,Asia/Manila,moblie,instagram,right_column,CAROUSEL,,,,,,,,,257,7,6,0.892766,PHP,ARCHIVED,RECEIVED,,2025-09-24T17:00:00+00:00,row_0u4py9rcfduf,hash_yjd945ke16ogr2,meta_20250924_17.csv,2025-09-24T19:30:00+00:00
meta_acct_17,meta_camp_30,meta_adset_327,meta_ad_401,meta_cr_102,2026-01-12 13:00:00,Asia/Manila,MOBILE,facebook,reels,STORY,,,,,,,,,110,4,1,0.032043,PHP,PAUSED,VALIDATED,,2026-01-12T05:00:00+00:00,row_b1ronoslv61g,hash_uu4b3kolai3s0q,meta_20260112_05.csv,2026-01-12T17:12:00+00:00
meta_acct_3,meta_camp_53,meta_adset_72,meta_ad_191,meta_cr_1734,2025-12-20 23:00:00,,deskotp,facebook,feed,REELS,,154.0,74.0,113.0,23.0,91.0,89.0,3.2,400,39,26,0.256399,PHP,ARCHIVED,QUARANTINED,MISSING_VIDEO_DURATION,2025-12-20T15:00:00+00:00,row_q5jpklvca0sy,hash_xd9hdohoelphxh,meta_20251220_15.csv,2025-12-20T16:49:00+00:00
meta_acct_2,meta_camp_15,meta_adset_65,meta_ad_1296,meta_cr_1196,2025-12-14 17:00:00,Asia/Singapore,deskotp,facebook,stories,UNKNOWN,,,,,,,,,282,5,1,0.051149,EUR,PAUSED,RECEIVED,,2025-12-14T09:00:00+00:00,row_k66a67sy5iho,hash_qluyam73zaekz4,meta_20251214_09.csv,2025-12-14T15:34:00+00:00
meta_acct_16,meta_camp_57,meta_adset_335,meta_ad_831,meta_cr_1557,2026-01-12 07:00:00,Asia/Manila,mobile,instagram,feed,CAROUSEL,,,,,,,,,40,0,0,0.043858,PHP,ACTIVE,RECEIVED,,2026-01-11T23:00:00+00:00,row_dp4slim2oz4b,hash_a0uazoof5ce00a,meta_20260111_23.csv,2026-01-12T01:45:00+00:00
meta_acct_8,meta_camp_68,meta_adset_205,meta_ad_1436,meta_cr_1726,2025-10-09 01:00:00,Asai/Manila,unknown,instagram,search_results,CAROUSEL,,,,,,,,,316,14,7,0.392989,PHP,LIMITED,ENRICHED,,2025-10-08T17:00:00+00:00,row_vwqfgaqdjju3,hash_9yeid1mij2r3i1,meta_20251008_17.csv,2025-10-10T17:42:00+00:00
meta_acct_3,meta_camp_25,meta_adset_307,meta_ad_1181,meta_cr_1566,2025-12-24 19:00:00,,desktop,instagram,search_results,REELZ,90.0,22.0,25.0,26.0,19.0,23.0,0.0,34.11,67,1,0,0.06803,PHP,ACTIVE,VALIDATED,,2025-12-24T11:00:00+00:00,row_t1g96furk2jq,hash_b9bth96zmyfazl,meta_20251224_11.csv,2025-12-24T11:23:00+00:00
meta_acct_4,meta_camp_23,meta_adset_345,meta_ad_576,meta_cr_518,2025-11-19 17:00:00,Asia/Singapore,MOBILE,facebook,search_results,IMAGE,,,,,,,,,261,3,0,0.173569,USD,ACTIVE,VALIDATED,,2025-11-19T09:00:00+00:00,row_jg8bod2v3khc,hash_d9nx36z6zd1pkz,meta_20251119_09.csv,2025-11-19T21:42:00+00:00
meta_acct_16,meta_camp_40,meta_adset_38,meta_ad_329,meta_cr_1893,2025-12-04 10:00:00,Asia/Singapore,unknown,audience_network,right_column,UNKNOWN,,,,,,,,,209,2,1,0.36155,USD,LIMITED,PUBLISHED,,2025-12-04T02:00:00+00:00,row_f7n0ntpqdxmg,hash_bo7iul9zesg6e3,meta_20251204_02.csv,2025-12-06T02:22:00+00:00
meta_acct_13,meta_camp_60,meta_adset_51,meta_ad_813,meta_cr_262,2026-01-03 12:00:00,Asai/Manila,desktop,instagram,stories,STORY,,,,,,,,,233,4,1,0.147588,PHP,ACTIVE,PUBLISHED,,2026-01-03T04:00:00+00:00,row_jrqmtt6ylavw,hash_39uuwquu8zraq4,meta_20260103_04.csv,2026-01-05T04:18:00+00:00
meta_acct_16,meta_camp_2,meta_adset_18,meta_ad_693,meta_cr_1291,2025-10-25 01:00:00,,MOBILE,instagram,reels,CAROUSEL,,,,,,,,,383,0,0,0.143911,AUD,ACTIVE,ENRICHED,,2025-10-24T17:00:00+00:00,row_z01n1ydgsmo9,hash_v1uj3060gb3n6s,meta_20251024_17.csv,2025-10-24T23:14:00+00:00
meta_acct_7,meta_camp_103,meta_adset_212,meta_ad_76,meta_cr_206,2025-12-06 16:00:00,Asia/Manila,MOBILE,facebook,feed,CAROUSEL,,,,,,,,,306,488,130,0.015459,USD,LIMITED,QUARANTINED,CLICKS_GT_IMPRESSIONS,2025-12-06T08:00:00+00:00,row_xtruk3qn91in,hash_yuysaa1ghuwmuh,meta_20251206_08.csv,2025-12-06T20:54:00+00:00
meta_acct_14,meta_camp_2,meta_adset_336,meta_ad_1009,meta_cr_2187,2025-10-14 22:00:00,,desktop,audience_network,feed,STORY,,,,,,,,,102,6,3,0.125434,USD,ACTIVE,ENRICHED,,2025-10-14T14:00:00+00:00,row_hmt0vxth9ddt,hash_hr51bs8ap097n8,meta_20251014_14.csv,2025-10-14T14:07:00+00:00
meta_acct_9,meta_camp_13,meta_adset_314,meta_ad_1149,meta_cr_501,2026-01-10 14:00:00,Asai/Manila,desktop,instagram,reels,CAROUSEL,,,,,,,,,226,0,0,0.111446,PHP,ACTIVE,RECEIVED,,2026-01-10T06:00:00+00:00,row_zrtckrrh654g,hash_dk1iqpeh9qfcq1,meta_20260110_06.csv,2026-01-10T06:41:00+00:00
meta_acct_10,meta_camp_82,meta_adset_288,meta_ad_768,meta_cr_99,2025-11-10 13:00:00,Asai/Manila,moblie,audience_network,in_stream,UNKNOWN,,,,,,,,,773,21,15,0.655143,SGD,ACTIVE,QUARANTINED,,2025-11-10T05:00:00+00:00,row_zu1jkgfcme6j,hash_q509nw8tvylban,meta_20251110_05.csv,2025-11-12T05:59:00+00:00
meta_acct_1,meta_camp_55,meta_adset_354,meta_ad_1457,meta_cr_2016,2025-10-20 08:00:00,,moblie,audience_network,stories,CAROUSEL,,,,,,,,,159,11,5,0.120667,USD,ACTIVE,VALIDATED,,2025-10-20T00:00:00+00:00,row_6qotk42p9f3s,hash_tj6vl5y8rmrkov,meta_20251020_00.csv,2025-10-20T12:45:00+00:00
meta_acct_17,meta_camp_120,meta_adset_65,meta_ad_220,meta_cr_587,2025-12-03 04:00:00,Asia/Singapore,deskotp,audience_network,in_stream,CAROUSEL,,,,,,,,,88,2,0,0.068458,PHP,ACTIVE,VALIDATED,,2025-12-02T20:00:00+00:00,row_rzotxb55tihp,hash_ntx2z1yqbo3nbu,meta_20251202_20.csv,2025-12-03T20:29:00+00:00
