ad_account_id,campaign_id,ad_group_id,pin_promotion_id,pin_id,date,hour,timezone,device_type,surface,creative_type,video_duration_seconds,impressions,clicks,spend,currency_code,saves,outbound_clicks,pipeline_status,ad_state,quarantine_reason,ingested_at,row_id,row_hash,source_file,ingested_at_utc
pin_acct_18,pin_camp_89,pin_grp_568,pin_prom_986,pin_2732,2025-10-07,19,,MOBLIE,homefeed,STANDARD,,191,19,0.139595,PHP,5,14,ENRICHED,DRAFT,,2025-10-07T20:00:00+00:00,row_mc0qsj9u1mo5,hash_d02832gopu3hwf,pinterest_20251007_19.csv,2025-10-07T19:38:00+00:00
pin_acct_4,pin_camp_34,pin_grp_125,pin_prom_410,pin_1062,2025-10-18,16,,TABLET,related_pins,STANDARD,,318,39,0.202067,PHP,18,6,QUARANTINED,ACTIVE,,2025-10-19T04:00:00+00:00,row_42c7snppgkoj,hash_50q2my41syrl1g,pinterest_20251018_16.csv,2025-10-20T16:44:00+00:00
pin_acct_15,pin_camp_107,pin_grp_160,pin_prom_2232,pin_341,2025-10-10,14,Asia/Manila,TABLET,homefeed,SHOPPING,,128,5,0.058634,USD,2,2,VALIDATED,LIMITED,,2025-10-11T14:00:00+00:00,row_na5hzgizhv7j,hash_2n4nos955avhkv,pinterest_20251010_14.csv,2025-10-10T14:41:00+00:00
pin_acct_9,pin_camp_149,pin_grp_390,pin_prom_2268,pin_2819,2025-12-01,21,utc,TABLET,related_pins,STANDARD,,572,708,0.02371,USD,34,460,PUBLISHED,ACTIVE,,2025-12-01T22:00:00+00:00,row_cxr7ujlrxm6f,hash_nyvlm0d7v7qiy3,pinterest_20251201_21.csv,2025-12-01T22:27:00+00:00
pin_acct_20,pin_camp_5,pin_grp_378,pin_prom_1662,pin_24,2025-12-05,22,,DESKTOP,related_pins,UNKNOWN,,55,5,0.085774,PHP,1,1,VALIDATED,LIMITED,,2025-12-05T22:00:00+00:00,row_tw3two5knwc8,hash_mtjzbwikx502kp,pinterest_20251205_22.csv,2025-12-05T22:20:00+00:00
pin_acct_15,pin_camp_28,pin_grp_236,pin_prom_265,pin_3604,2025-10-18,14,UTC,TABLET,homefeed,STANDARD,,60,0,0.056161,PHP,2,0,PUBLISHED,PAUSED,,2025-10-18T15:00:00+00:00,row_179m4g5hu18v,hash_tymrj1xvb0seh6,pinterest_20251018_14.csv,2025-10-18T14:27:00+00:00
pin_acct_8,pin_camp_100,pin_grp_48,pin_prom_853,pin_3634,2025-11-17,3,Asia/Manila,TABLET,search,STANDARD,,388,10,0.175056,SGD,6,6,PUBLISHED,ACTIVE,,2025-11-17T15:00:00+00:00,row_6d9eui1mtafe,hash_hzzxstsg3w1lbz,pinterest_20251117_03.csv,2025-11-17T03:07:00+00:00
pin_acct_16,pin_camp_11,pin_grp_498,pin_prom_1744,,2026-01-01,20,Asia/Manila,TABLET,related_pins,STANDARD,,54,3,0.028894,PHP,0,0,VALIDATED,ACTIVE,,2026-01-01T20:00:00+00:00,row_ngd7w0m9tg6w,hash_8v536g19gk3rxx,pinterest_20260101_20.csv,2026-01-02T02:52:00+00:00
pin_acct_16,pin_camp_158,pin_grp_422,pin_prom_16,,2025-12-19,16,Asia/Manila,MOBLIE,homefeed,STANDARD,,235,2,0.240997,PHP,3,0,ENRICHED,ACTIVE,,2025-12-20T16:00:00+00:00,row_fm5a8gyjwazj,hash_5rbre4mdbflv6w,pinterest_20251219_16.csv,2025-12-19T17:51:00+00:00
pin_acct_15,pin_camp_64,pin_grp_153,pin_prom_1520,,2025-12-30,20,UTC,DESKTOP,homefeed,VIDEO,,100,0,0.025427,SGD,0,0,QUARANTINED,ACTIVE,,2025-12-31T20:00:00+00:00,row_vq6o3msbznk5,hash_0e93fhbbokbipt,pinterest_20251230_20.csv,2026-01-01T20:53:00+00:00
pin_acct_6,pin_camp_105,pin_grp_263,pin_prom_1113,pin_881,2025-11-11,14,Asia/Manila,TABLET,homefeed,CAROUSEL,,59,3,0.006835,USD,0,1,RECEIVED,ARCHIVED,,2025-11-12T02:00:00+00:00,row_dcwvifro3fgy,hash_b71bb7kszmtzxx,pinterest_20251111_14.csv,2025-11-12T02:14:00+00:00
pin_acct_14,pin_camp_140,pin_grp_24,pin_prom_494,pin_176,2025-10-09,14,utc,MOBILE,related_pins,STANDARD,,88,2,0.038382,USD,0,0,ENRICHED,DRAFT,,2025-10-09T14:00:00+00:00,row_w06dn7tnb12t,hash_8fvv615bsjs9sp,pinterest_20251009_14.csv,2025-10-09T16:06:00+00:00
pin_acct_1,pin_camp_84,pin_grp_581,pin_prom_306,,2025-11-18,22,UTC,TABLET,related_pins,UNKNOWN,,171,0,0.141329,PHP,8,0,ENRICHED,ACTIVE,,2025-11-18T22:00:00+00:00,row_y07pblg83pyc,hash_t2u98hnjb3advo,pinterest_20251118_22.csv,2025-11-19T04:50:00+00:00
pin_acct_9,pin_camp_77,pin_grp_208,pin_prom_828,,2025-11-21,18,UTC,DESKTOP,search,SHOPPING,,423,13,0.461731,PHP,1,4,VALIDATED,ACTIVE,,2025-11-22T18:00:00+00:00,row_xwn3mrn1yxfc,hash_jh2sg73e7kr2un,pinterest_20251121_18.csv,2025-11-23T18:11:00+00:00
pin_acct_3,pin_camp_72,pin_grp_220,pin_prom_160,,2025-12-12,18,,MOBLIE,related_pins,STANDARD,,67,0,0.042321,PHP,0,0,VALIDATED,ACTIVE,,2025-12-13T18:00:00+00:00,row_zqorbmr5agsk,hash_inomyjkd4odn33,pinterest_20251212_18.csv,2025-12-13T18:00:00+00:00
pin_acct_13,pin_camp_80,pin_grp_596,pin_prom_1433,pin_3123,2025-10-11,9,Asia/Manila,DESKTOP,search,CAROUSEL,,233,12,0.08041,USD,0,9,PUBLISHED,LIMITED,,2025-10-12T09:00:00+00:00,row_pvwx9x632vgg,hash_np9ksthxosgkl0,pinterest_20251011_09.csv,2025-10-13T09:31:00+00:00
pin_acct_1,pin_camp_83,pin_grp_548,pin_prom_1073,pin_2830,2025-11-21,21,UTC,MOBLIE,search,UNKNOWN,,303,382,0.399464,EUR,6,180,ENRICHED,ACTIVE,,2025-11-21T22:00:00+00:00,row_e5n6cjjdmu0y,hash_1sobo17n0l5vft,pinterest_20251121_21.csv,2025-11-22T03:44:00+00:00
pin_acct_17,pin_camp_58,pin_grp_474,pin_prom_1503,,2025-10-26,1,Asia/Manila,TABLET,search,UNKNOWN,,41,2,0.020194,PHP,0,1,PUBLISHED,ACTIVE,,2025-10-26T02:00:00+00:00,row_fsje199kceiz,hash_hhpraww4jpvjd3,pinterest_20251026_01.csv,2025-10-26T01:23:00+00:00
pin_acct_2,pin_camp_79,pin_grp_406,pin_prom_1624,,2025-10-11,22,UTC,MOBILE,search,CAROUSEL,,108,2,0.100145,PHP,3,0,VALIDATED,ACTIVE,,2025-10-12T22:00:00+00:00,row_wxxlq2vqmu1o,hash_cxfnwybn6y4fi5,pinterest_20251011_22.csv,2025-10-11T22:21:00+00:00
pin_acct_13,pin_camp_60,pin_grp_5,pin_prom_588,pin_31,2025-11-14,10,Asia/Manila,MOBLIE,related_pins,UNKNOWN,,244,2,0.117567,AUD,1,0,ENRICHED,ACTIVE,,2025-11-14T10:00:00+00:00,row_7o9n6k348xv6,hash_fc4fzmpqzzuatg,pinterest_20251114_10.csv,2025-11-16T10:31:00+00:00
pin_acct_8,pin_camp_96,pin_grp_188,pin_prom_105,pin_2733,2026-01-09,2,,DESKTOP,related_pins,UNKNOWN,,265,10,0.144992,EUR,1,5,RECEIVED,ACTIVE,,2026-01-09T03:00:00+00:00,row_vogi88ym0ybz,hash_9tis8gcslyyo08,pinterest_20260109_02.csv,2026-01-09T02:23:00+00:00
pin_acct_10,pin_camp_127,pin_grp_446,pin_prom_443,,2025-12-14,3,utc,DESKTOP,related_pins,STANDARD,,123,6,0.100515,USD,0,3,QUARANTINED,PAUSED,,2025-12-14T04:00:00+00:00,row_mvh017urr0gj,hash_0cz6a41k5356de,pinterest_20251214_03.csv,2025-12-14T05:20:00+00:00
pin_acct_14,pin_camp_85,pin_grp_535,pin_prom_1191,,2025-09-28,9,,MOBILE,homefeed,SHOPPING,,109,3,0.020839,PHP,4,1,VALIDATED,ACTIVE,,2025-09-28T10:00:00+00:00,row_s5811lv49tnc,hash_p8gnckv9e80rmc,pinterest_20250928_09.csv,2025-09-28T09:33:00+00:00
pin_acct_6,pin_camp_38,pin_grp_114,pin_prom_782,pin_2315,2025-12-03,17,UTC,MOBILE,homefeed,UNKNOWN,,172,8,0.109595,EUR,0,5,VALIDATED,ACTIVE,,2025-12-03T17:00:00+00:00,row_79aa57xe1v1x,hash_mh6j6y3zxvqf18,pinterest_20251203_17.csv,2025-12-03T18:30:00+00:00
pin_acct_5,pin_camp_68,pin_grp_269,pin_prom_434,,2025-10-18,9,UTC,TABLET,homefeed,SHOPPING,,203,275,0.236893,AUD,12,77,VALIDATED,PAUSED,,2025-10-18T10:00:00+00:00,row_y4j32qkychcu,hash_u2j93s7pdaz5p9,pinterest_20251018_09.csv,2025-10-18T15:44:00+00:00
pin_acct_16,pin_camp_79,pin_grp_219,pin_prom_503,,2026-01-04,1,utc,DESKTOP,related_pins,SHOPPING,,143,8,0.116221,AUD,3,6,VALIDATED,ACTIVE,,2026-01-04T13:00:00+00:00,row_8xoaxmph3noy,hash_2rx0cf7zar03b6,pinterest_20260104_01.csv,2026-01-04T02:53:00+00:00
pin_acct_13,pin_camp_159,pin_grp_267,pin_prom_599,,2025-09-20,21,Asia/Manila,TABLET,homefeed,VIDEO,,93,1,0.054717,USD,1,0,VALIDATED,ACTIVE,,2025-09-20T22:00:00+00:00,row_hogqt7r7l0iu,hash_6161u83hdytizl,pinterest_20250920_21.csv,2025-09-20T23:56:00+00:00
pin_acct_2,pin_camp_81,pin_grp_92,pin_prom_1633,pin_3173,2026-01-12,16,Asia/Manila,MOBLIE,related_pins,UNKNOWN,,608,36,0.335134,PHP,44,10,VALIDATED,PAUSED,,2026-01-12T16:00:00+00:00,row_1ibeqnpm7nhp,hash_5vpgk7uqa2ow7q,pinterest_20260112_16.csv,2026-01-12T16:46:00+00:00
pin_acct_7,pin_camp_29,pin_grp_131,pin_prom_223,pin_1463,2025-12-06,21,Asia/Manila,TABLET,search,STANDARD,,208,5,0.10598,PHP,0,2,PUBLISHED,ACTIVE,,2025-12-07T09:00:00+00:00,row_e5d1smvnmjy5,hash_n703194qll02dg,pinterest_20251206_21.csv,2025-12-07T03:53:00+00:00
pin_acct_5,pin_camp_126,pin_grp_478,pin_prom_1448,pin_306,2025-11-03,5,,MOBLIE,related_pins,UNKNOWN,,288,15,0.165385,EUR,26,11,VALIDATED,ACTIVE,,2025-11-03T17:00:00+00:00,row_17cag9rkriwx,hash_wcr8d8s1v0niqq,pinterest_20251103_05.csv,2025-11-04T05:04:00+00:00
pin_acct_3,pin_camp_154,pin_grp_588,pin_prom_1914,,2025-11-29,14,utc,TABLET,homefeed,CAROUSEL,,187,15,0.241012,USD,3,9,VALIDATED,ACTIVE,,2025-11-30T14:00:00+00:00,row_ql8celxudmr0,hash_i7o80s9an7mke0,pinterest_20251129_14.csv,2025-11-30T14:06:00+00:00
pin_acct_3,pin_camp_135,pin_grp_17,pin_prom_1458,pin_2353,2026-01-08,20,Asia/Manila,MOBLIE,search,SHOPPING,,109,10,0.013145,USD,2,0,VALIDATED,ACTIVE,,2026-01-09T20:00:00+00:00,row_1wur0f5513ny,hash_6lbcofo72nzsjx,pinterest_20260108_20.csv,2026-01-10T20:30:00+00:00
pin_acct_14,pin_camp_16,pin_grp_237,pin_prom_699,pin_437,2025-09-26,4,,TABLET,homefeed,CAROUSEL,,688,43,0.568409,USD,38,17,RECEIVED,ACTIVE,,2025-09-26T16:00:00+00:00,row_vfgkoj1vf3wa,hash_ou5y16b8vj5be8,pinterest_20250926_04.csv,2025-09-26T05:36:00+00:00
pin_acct_16,pin_camp_90,pin_grp_220,pin_prom_995,pin_481,2025-10-24,5,,MOBILE,related_pins,STANDARD,,327,2,0.065438,USD ,5,0,RECEIVED,ACTIVE,,2025-10-24T06:00:00+00:00,row_b0nlj4xo4bh1,hash_xhonba7u8is9qw,pinterest_20251024_05.csv,2025-10-24T05:18:00+00:00
pin_acct_5,pin_camp_21,pin_grp_509,pin_prom_621,pin_387,2025-11-22,19,utc,DESKTOP,related_pins,SHOPPING,,104,1,0.025271,USD,3,0,PUBLISHED,PAUSED,,2025-11-22T19:00:00+00:00,row_z742zw2kf3sg,hash_oo1v8dpgbqb197,pinterest_20251122_19.csv,2025-11-24T19:36:00+00:00
pin_acct_5,pin_camp_148,pin_grp_248,pin_prom_567,pin_2715,2025-10-19,20,UTC,MOBLIE,related_pins,STANDARD,,177,4,0.093481,USD,4,0,VALIDATED,ACTIVE,,2025-10-20T08:00:00+00:00,row_gldxh8lcdvxf,hash_dkrferor0v2q8a,pinterest_20251019_20.csv,2025-10-20T08:47:00+00:00
pin_acct_15,pin_camp_60,pin_grp_201,pin_prom_169,pin_431,2025-10-29,1,Asia/Manila,DESKTOP,homefeed,VIDEO,6.0,186,1,0.116793,USD,17,0,VALIDATED,ACTIVE,,2025-10-29T01:00:00+00:00,row_sdsz5u8i5xb8,hash_40lc5v2eh0mgrq,pinterest_20251029_01.csv,2025-10-29T07:06:00+00:00
pin_acct_2,pin_camp_63,pin_grp_407,pin_prom_1140,,2026-01-08,13,utc,MOBILE,search,UNKNOWN,,295,10,0.498459,PHP,0,8,PUBLISHED,ACTIVE,,2026-01-09T01:00:00+00:00,row_lud1k5c3wpix,hash_fcnvk1e1emm7og,pinterest_20260108_13.csv,2026-01-08T13:42:00+00:00
pin_acct_2,pin_camp_122,pin_grp_291,pin_prom_1148,,2025-10-31,14,utc,MOBILE,homefeed,VIDEO,30.0,453,9,0.225503,USD,0,1,ENRICHED,ACTIVE,,2025-11-01T14:00:00+00:00,row_v0cn44dh1eym,hash_m2dfqs58wh65gp,pinterest_20251031_14.csv,2025-11-01T02:20:00+00:00
pin_acct_15,pin_camp_73,pin_grp_464,pin_prom_415,pin_1383,2025-11-29,11,UTC,MOBILE,search,STANDARD,,80,5,0.028927,USD,3,3,VALIDATED,DRAFT,,2025-11-29T12:00:00+00:00,row_qm44ye4lyvqb,hash_mlqbouemol716g,pinterest_20251129_11.csv,2025-12-01T11:17:00+00:00
pin_acct_17,pin_camp_43,pin_grp_439,pin_prom_2381,pin_2809,2025-12-31,9,utc,MOBILE,homefeed,STANDARD,,137,3,0.011676,usd,3,0,VALIDATED,DISAPPROVED,,2025-12-31T10:00:00+00:00,row_unp6drxql9jw,hash_i8f62vzwu1skuv,pinterest_20251231_09.csv,2025-12-31T11:50:00+00:00
pin_acct_19,pin_camp_95,pin_grp_273,pin_prom_1912,pin_2986,2025-10-09,0,utc,MOBLIE,homefeed,UNKNOWN,,373,9,0.201099,USD,1,4,ENRICHED,PAUSED,,2025-10-09T00:00:00+00:00,row_3ft5htdspzxh,hash_sx7vgln1g4q1gh,pinterest_20251009_00.csv,2025-10-10T00:37:00+00:00
pin_acct_5,pin_camp_133,pin_grp_224,pin_prom_4,,2025-12-02,4,Asia/Manila,TABLET,related_pins,UNKNOWN,,44,6,0.002835,PHP,0,4,VALIDATED,PAUSED,,2025-12-02T04:00:00+00:00,row_ia7y087cffp3,hash_jmldv5exknofhj,pinterest_20251202_04.csv,2025-12-02T10:31:00+00:00
pin_acct_14,pin_camp_159,pin_grp_589,pin_prom_662,,2025-09-28,22,Asia/Manila,MOBLIE,homefeed,CAROUSEL,,254,13,0.181235,USD,1,6,ENRICHED,ACTIVE,,2025-09-29T22:00:00+00:00,row_88hfhsvdww7w,hash_fehrj4ggz6dq54,pinterest_20250928_22.csv,2025-09-30T22:28:00+00:00
pin_acct_17,pin_camp_70,pin_grp_160,pin_prom_985,pin_31,2025-09-21,20,,MOBILE,homefeed,CAROUSEL,,29,0,0.000808,php,1,0,ENRICHED,ACTIVE,,2025-09-21T20:00:00+00:00,row_ni4wked2fl1y,hash_fz80ifegkk57l5,pinterest_20250921_20.csv,2025-09-21T20:41:00+00:00
pin_acct_15,pin_camp_117,pin_grp_546,pin_prom_2258,pin_1047,2025-10-15,20,UTC,TABLET,homefeed,UNKNOWN,,353,24,0.114269,usd,2,17,VALIDATED,ACTIVE,,2025-10-15T20:00:00+00:00,row_a34nkwlx840h,hash_8ojijdwpvmr9cv,pinterest_20251015_20.csv,2025-10-16T20:40:00+00:00
pin_acct_20,pin_camp_51,pin_grp_513,pin_prom_1127,pin_1166,2025-12-21,4,,DESKTOP,homefeed,STANDARD,,123,5,0.027539,USD,7,4,ENRICHED,ACTIVE,,2025-12-21T05:00:00+00:00,row_htcwyddiftlu,hash_82ssvk8ky4dwox,pinterest_20251221_04.csv,2025-12-21T04:52:00+00:00
pin_acct_17,pin_camp_41,pin_grp_57,pin_prom_1538,pin_2066,2025-12-31,7,UTC,DESKTOP,related_pins,VIDEO,,196,12,0.030696,USD,3,3,QUARANTINED,DRAFT,,2025-12-31T07:00:00+00:00,row_3zxu1lcb20n1,hash_e2y4venl3bndkb,pinterest_20251231_07.csv,2026-01-01T07:13:00+00:00
pin_acct_20,pin_camp_18,pin_grp_323,pin_prom_486,,2025-12-12,14,Asia/Manila,DESKTOP,related_pins,UNKNOWN,,166,2,0.094605,USD,3,1,VALIDATED,PAUSED,,2025-12-12T15:00:00+00:00,row_y39u22ereih5,hash_z739x99u0ql9h6,pinterest_20251212_14.csv,2025-12-12T14:20:00+00:00
pin_acct_2,pin_camp_78,pin_grp_49,pin_prom_2078,,2025-11-09,1,UTC,MOBILE,related_pins,SHOPPING,,252,8,0.087524,PHP,5,5,ENRICHED,DRAFT,,2025-11-10T01:00:00+00:00,row_ptj98nxy6wf1,hash_reyilokws5axfq,pinterest_20251109_01.csv,2025-11-09T02:40:00+00:00
pin_acct_20,pin_camp_137,pin_grp_157,pin_prom_1958,,2025-11-26,17,UTC,TABLET,search,VIDEO,,156,6,0.051726,PHP,8,2,ENRICHED,ACTIVE,,2025-11-27T17:00:00+00:00,row_vxw62i3sogmw,hash_wnxogr16mqpb1o,pinterest_20251126_17.csv,2025-11-26T17:12:00+00:00
pin_acct_1,pin_camp_112,pin_grp_136,pin_prom_311,pin_3408,2026-01-02,18,utc,TABLET,search,VIDEO,,52,1,0.01418,AUD,0,0,QUARANTINED,LIMITED,,2026-01-02T19:00:00+00:00,row_io731gm44ntv,hash_6rvo1xqdc3vzgq,pinterest_20260102_18.csv,2026-01-03T18:47:00+00:00
pin_acct_9,pin_camp_75,pin_grp_364,pin_prom_2218,,2025-10-09,16,Asia/Manila,MOBILE,related_pins,SHOPPING,,155,5,0.045359,AUD,7,1,VALIDATED,ACTIVE,,2025-10-10T16:00:00+00:00,row_a2plgd32vwci,hash_j4ncv7x9d2a67p,pinterest_20251009_16.csv,2025-10-11T16:53:00+00:00
pin_acct_16,pin_camp_29,pin_grp_213,pin_prom_1169,,2025-11-26,14,utc,TABLET,related_pins,VIDEO,,217,8,0.300565,AUD,8,3,QUARANTINED,ACTIVE,MISSING_VIDEO_DURATION,2025-11-26T14:00:00+00:00,row_rw9bkhtiq2ag,hash_mtzag8eako695o,pinterest_20251126_14.csv,2025-11-26T15:58:00+00:00
pin_acct_10,pin_camp_97,pin_grp_359,pin_prom_724,pin_92,2025-10-28,10,UTC,MOBILE,search,SHOPPING,,323,11,0.086554,PHP,1,3,ENRICHED,ACTIVE,,2025-10-28T10:00:00+00:00,row_dfw7m4mnj5zm,hash_1ip0k78l4xkflv,pinterest_20251028_10.csv,2025-10-28T16:17:00+00:00
pin_acct_5,pin_camp_12,pin_grp_39,pin_prom_1510,pin_3373,2026-01-04,12,,TABLET,search,CAROUSEL,,263,5,0.14233,USD,0,1,QUARANTINED,ACTIVE,,2026-01-04T13:00:00+00:00,row_642plykgbfdo,hash_qh07bpimotlyhl,pinterest_20260104_12.csv,2026-01-04T14:18:00+00:00
pin_acct_2,pin_camp_142,pin_grp_502,pin_prom_1729,,2025-11-25,6,,TABLET,homefeed,STANDARD,,148,7,0.104943,PHP,0,3,VALIDATED,ACTIVE,,2025-11-25T18:00:00+00:00,row_50djddmic8km,hash_rkld0uut6u72tx,pinterest_20251125_06.csv,2025-11-26T06:22:00+00:00
pin_acct_17,pin_camp_74,pin_grp_29,pin_prom_2267,pin_1854,2025-12-22,17,UTC,MOBILE,homefeed,CAROUSEL,,144,4,0.044368,USD,2,3,RECEIVED,ACTIVE,,2025-12-23T05:00:00+00:00,row_bghzvyujiu9h,hash_h9kbegfv2flr0x,pinterest_20251222_17.csv,2025-12-22T19:54:00+00:00
pin_acct_19,pin_camp_103,pin_grp_57,pin_prom_1076,pin_830,2025-10-27,7,UTC,MOBLIE,search,CAROUSEL,,48,2,0.056633,PHP,0,0,RECEIVED,ACTIVE,,2025-10-27T08:00:00+00:00,row_ufxy26pvhapl,hash_cawnqw87binhsh,pinterest_20251027_07.csv,2025-10-27T13:30:00+00:00
pin_acct_9,pin_camp_93,pin_grp_584,pin_prom_1504,pin_1213,2025-11-20,1,Asia/Manila,DESKTOP,search,UNKNOWN,,251,1,0.175777,PHP,4,0,PUBLISHED,ACTIVE,,2025-11-20T01:00:00+00:00,row_dsiod93peois,hash_g2am7eq0sq8ti3,pinterest_20251120_01.csv,2025-11-20T07:07:00+00:00
pin_acct_11,pin_camp_39,pin_grp_318,pin_prom_2253,pin_3381,2025-11-03,8,UTC,TABLET,search,UNKNOWN,,166,6,0.086568,SGD,0,5,PUBLISHED,ACTIVE,,2025-11-04T08:00:00+00:00,row_j61rf904cgjg,hash_y66z5ma32ail2g,pinterest_20251103_08.csv,2025-11-04T08:05:00+00:00
pin_acct_8,pin_camp_49,pin_grp_151,pin_prom_1172,,2025-11-03,19,UTC,DESKTOP,search,VIDEO,,386,12,0.089092,PHP,0,3,ENRICHED,DRAFT,,2025-11-04T19:00:00+00:00,row_vjkhejv2d5o2,hash_rcuzrjgmj36j9a,pinterest_20251103_19.csv,2025-11-05T19:15:00+00:00
pin_acct_13,pin_camp_11,pin_grp_531,pin_prom_1366,pin_154,2025-10-02,15,,TABLET,related_pins,CAROUSEL,,113,2,0.040485,PHP,0,0,VALIDATED,ACTIVE,,2025-10-02T16:00:00+00:00,row_8wgujuardfa5,hash_o2ualrjegxrhs7,pinterest_20251002_15.csv,2025-10-02T15:58:00+00:00
pin_acct_1,pin_camp_29,pin_grp_87,pin_prom_2273,pin_3431,2025-12-17,19,UTC,MOBLIE,related_pins,STANDARD,,94,4,0.066039,SGD,1,1,ENRICHED,ACTIVE,,2025-12-17T20:00:00+00:00,row_f5zyjtdu5kzz,hash_pyhrx2oy00lg6r,pinterest_20251217_19.csv,2025-12-18T01:42:00+00:00
pin_acct_6,pin_camp_32,pin_grp_286,pin_prom_967,pin_519,2025-11-09,18,,MOBLIE,homefeed,CAROUSEL,30.0,88,4,0.1049,EUR,5,1,ENRICHED,ACTIVE,,2025-11-09T19:00:00+00:00,row_inkk743g8x11,hash_kuzacldbv0a94b,pinterest_20251109_18.csv,2025-11-10T06:27:00+00:00
pin_acct_18,pin_camp_100,pin_grp_168,pin_prom_1697,,2025-11-16,17,utc,MOBLIE,related_pins,CAROUSEL,,133,5,0.075141,USD,6,3,PUBLISHED,ACTIVE,,2025-11-16T17:00:00+00:00,row_x1ol0quhymzy,hash_xzh2h17ggnvvpd,pinterest_20251116_17.csv,2025-11-16T23:22:00+00:00
pin_acct_4,pin_camp_140,pin_grp_96,pin_prom_1166,pin_2491,2025-10-22,4,,MOBILE,search,STANDARD,,104,5,0.042992,SGD,4,2,VALIDATED,ACTIVE,,2025-10-22T05:00:00+00:00,row_nz00lpk6vq27,hash_hhfmp2xsaiknov,pinterest_20251022_04.csv,2025-10-22T06:50:00+00:00
