customer_id,campaign_id,ad_group_id,ad_id,asset_id,segments_date,segments_hour,account_tz,device_category,network_type,ad_type,video_duration_seconds,quartile_25,quartile_50,quartile_75,quartile_100,avg_view_duration_seconds,impressions,clicks,views,cost_micros,currency_code,pipeline_status,primary_status,policy_summary,quarantine_reason,loaded_at,row_id,row_hash,source_file,ingested_at_utc
gg_acct_9,gg_camp_145,gg_group_228,gg_ad_1292,gg_asset_1276,2025-12-31,3,Asia/Manila ,TABLET,YOUTUBE_SEARCH,DISCOVERY,,3.0,13.0,4.0,1.0,2.61,65,2,16.0,26643,USD,QUARANTINED,ENABLED,,MISSING_VIDEO_DURATION,2025-12-31T03:00:00+00:00,row_h36ymt8lzcqp,hash_2nm4u7hezl0eqc,youtube_20251231_03.csv,2026-01-02T03:22:00+00:00
gg_acct_12,gg_camp_171,gg_group_59,,gg_asset_2519,2025-10-21,11,,OTHER,YOUTUBE_SEARCH,NON_SKIPPABLE,45.0,23.0,6.0,21.0,1.0,16.41,79,1,32.0,92613,USD,PUBLISHED,ENABLED,,,2025-10-21T11:00:00+00:00,row_6kh58oyt09zv,hash_pfyr1pb777js6t,youtube_20251021_11.csv,2025-10-21T11:59:00+00:00
gg_acct_1,gg_camp_47,gg_group_423,gg_ad_1231,gg_asset_1068,2025-10-24,1,Asia/Manila,DESKTOP,YOUTUBE_SEARCH,UNKNOWN,,,,,,,761,103,,352455,usd,VALIDATED,LIMITED,,,2025-10-24T07:00:00+00:00,row_lyvyjmz54tjh,hash_3rmso3bzvzi9f8,youtube_20251024_01.csv,2025-10-24T02:12:00+00:00
gg_acct_7,gg_camp_8,gg_group_406,gg_ad_2210,,2026-01-01,2,,DESKTOP,YOUTUBE_WATCH,NON_SKIPPABLE,45.0,1.0,1.0,0.0,0.0,13.14,131,1,2.0,103501,USD,VALIDATED,ENABLED,,,2026-01-01T03:00:00+00:00,row_oghk68rpt5z0,hash_abrdfuvbj1zky0,youtube_20260101_02.csv,2026-01-01T03:17:00+00:00
gg_acct_17,gg_camp_34,gg_group_186,gg_ad_600,gg_asset_787,2025-12-04,23,Asia/Manila,OTHER,DISPLAY_NETWORK,MASTHEAD,,5.0,7.0,7.0,1.0,2.17,132,3,18.0,117677,USD,PUBLISHED,PAUSED,,,2025-12-05T00:00:00+00:00,row_5049a9ok43m8,hash_lvssnxx6x9uyxs,youtube_20251204_23.csv,2025-12-04T23:17:00+00:00
gg_acct_2,gg_camp_190,gg_group_281,gg_ad_2477,gg_asset_1662,2026-01-06,16,Asia/Manila ,OTHER,YOUTUBE_WATCH,SKIPPABLE_IN_STREAM,20.0,11.0,3.0,1.0,12.0,13.54,104,3,20.0,150213,USD,RECEIVED,ENABLED,,,2026-01-07T16:00:00+00:00,row_ke1q8uo0kb40,hash_0085i8i2y52mo5,youtube_20260106_16.csv,2026-01-06T22:22:00+00:00
gg_acct_9,gg_camp_35,gg_group_29,gg_ad_819,gg_asset_2631,2025-11-25,5,,MOBIL,YOUTUBE_SEARCH,BUMPER,60.0,13.0,22.0,34.0,13.0,31.46,240,2,56.0,398905,USD,VALIDATED,DRAFT,,,2025-11-25T06:00:00+00:00,row_hsdmvm2ahvkf,hash_tx9qxm5xyig41g,youtube_20251125_05.csv,2025-11-25T17:21:00+00:00
gg_acct_10,gg_camp_11,gg_group_308,gg_ad_1642,gg_asset_1339,2025-12-30,19,Asia/Manila,MOBILE,DISPLAY_NETWORK,DISCOVERY,6.0,63.0,56.0,6.0,27.0,3.66,404,22,103.0,336661,USD,ENRICHED,ENABLED,,,2025-12-31T19:00:00+00:00,row_hx8l4bob0uy7,hash_ws90pkqh0pftte,youtube_20251230_19.csv,2025-12-30T19:41:00+00:00
gg_acct_16,gg_camp_78,gg_group_358,,gg_asset_1798,2025-11-18,12,,TABLET,YOUTUBE_SEARCH,MASTHEAD,6.0,6.0,8.0,4.0,2.0,3.0,50,3,13.0,7935,USD,PUBLISHED,ENABLED,,,2025-11-18T18:00:00+00:00,row_pv9ekcccy98t,hash_j6u06hrcwdx5ou,youtube_20251118_12.csv,2025-11-18T12:42:00+00:00
gg_acct_15,gg_camp_176,gg_group_526,gg_ad_1574,,2025-12-06,11,Asia/Manila ,MOBIL,DISPLAY_NETWORK,DISCOVERY,10.0,71.0,87.0,51.0,50.0,8.17,217,15,114.0,96732,USD,PUBLISHED,ENABLED,,,2025-12-06T11:00:00+00:00,row_36q0s8vhgjek,hash_al1mj8s9b3xiqp,youtube_20251206_11.csv,2025-12-08T11:25:00+00:00
gg_acct_19,gg_camp_26,gg_group_382,gg_ad_2145,gg_asset_681,2026-01-11,15,Asia/Manila ,MOBIL,YOUTUBE_SEARCH,DISCOVERY,10.0,6.0,5.0,2.0,4.0,4.79,79,183,12.0,40160,USD,QUARANTINED,ENABLED,,CLICKS_GT_IMPRESSIONS,2026-01-11T16:00:00+00:00,row_4ev8qwgj7se9,hash_s3okya9grnm1nu,youtube_20260111_15.csv,2026-01-11T15:28:00+00:00
gg_acct_19,gg_camp_100,gg_group_113,gg_ad_358,gg_asset_254,2025-12-17,22,,MOBIL,DISPLAY_NETWORK,SKIPPABLE_IN_STREAM,20.0,5.0,6.0,3.0,3.0,0.41,70,1,10.0,15298,USD,ENRICHED,PAUSED,,,2025-12-18T22:00:00+00:00,row_e2vmel49np2u,hash_y51vq7d4xefkhp,youtube_20251217_22.csv,2025-12-18T10:55:00+00:00
gg_acct_18,gg_camp_79,gg_group_36,gg_ad_2458,gg_asset_2734,2025-12-10,8,Asia/Manila,MOBIL,DISPLAY_NETWORK,NON_SKIPPABLE,,7.0,8.0,2.0,1.0,24.63,90,138,12.0,-10444,USD,QUARANTINED,ENABLED,,CLICKS_GT_IMPRESSIONS,2025-12-10T09:00:00+00:00,row_6wkprm4x0nrr,hash_xgkxfwzsn0n9ra,youtube_20251210_08.csv,2025-12-10T14:00:00+00:00
gg_acct_16,gg_camp_136,gg_group_385,gg_ad_492,gg_asset_1083,2025-11-21,2,,TV,DISPLAY_NETWORK,DISCOVERY,10.0,65.0,39.0,4.0,19.0,1.98,327,6,80.0,235518,USD,VALIDATED,ENABLED,,,2025-11-21T03:00:00+00:00,row_mf5m7a3n1cel,hash_e1uv457ug8o3e7,youtube_20251121_02.csv,2025-11-21T08:19:00+00:00
gg_acct_1,gg_camp_5,gg_group_262,gg_ad_1200,gg_asset_1047,2025-11-23,18,,TV,DISPLAY_NETWORK,UNKNOWN,,,,,,,87,5,,104901,USD,VALIDATED,ENABLED,,,2025-11-23T19:00:00+00:00,row_a6wztjgipzcm,hash_gupzsudke7q6fh,youtube_20251123_18.csv,2025-11-23T18:25:00+00:00
gg_acct_4,gg_camp_150,gg_group_519,gg_ad_2481,gg_asset_2830,2025-11-06,20,Asia/Manila,DESKTOP,YOUTUBE_WATCH,NON_SKIPPABLE,12.0,7.0,1.0,1.0,0.0,7.68,65,4,8.0,49460,USD,RECEIVED,REMOVED,,,2025-11-07T02:00:00+00:00,row_sphesnrzylgl,hash_tpeuvvcyu4zsmx,youtube_20251106_20.csv,2025-11-07T20:03:00+00:00
gg_acct_9,gg_camp_8,gg_group_594,gg_ad_1930,gg_asset_494,2025-12-23,7,Asia/Manila,TABLET,YOUTUBE_WATCH,UNKNOWN,,,,,,,248,18,,40661,USD,ENRICHED,ENABLED,,,2025-12-23T13:00:00+00:00,row_h1mhc42vtxvs,hash_5nha7nwoq0h2nr,youtube_20251223_07.csv,2025-12-24T07:01:00+00:00
gg_acct_11,gg_camp_157,gg_group_485,,gg_asset_1434,2025-09-26,0,America/Los_Angeles,MOBIL,DISPLAY_NETWORK,MASTHEAD,6.0,7.0,3.0,14.0,3.0,1.65,100,6,17.0,70003,USD,QUARANTINED,ENABLED,,,2025-09-27T00:00:00+00:00,row_bxisx9rvb0uh,hash_mbqffepv5kkgng,youtube_20250926_00.csv,2025-09-26T00:36:00+00:00
gg_acct_2,gg_camp_64,gg_group_72,gg_ad_1510,gg_asset_1673,2025-12-21,5,Asia/Manila ,TABLET,YOUTUBE_SEARCH,MASTHEAD,60.0,35.0,48.0,27.0,11.0,41.28,374,26,87.0,1000510,USD,QUARANTINED,DRAFT,,,2025-12-21T06:00:00+00:00,row_8kvaz1afohhg,hash_11epi5zq740zkr,youtube_20251221_05.csv,2025-12-22T05:41:00+00:00
gg_acct_4,gg_camp_25,gg_group_84,gg_ad_316,,2025-11-21,20,Asia/Manila ,MOBILE,DISPLAY_NETWORK,NON_SKIPPABLE,45.0,17.0,15.0,4.0,19.0,16.84,198,1,25.0,136400,USD,PUBLISHED,ENABLED,,,2025-11-22T02:00:00+00:00,row_0t4ervibl0c7,hash_e81gzvriu9k85g,youtube_20251121_20.csv,2025-11-21T20:15:00+00:00
gg_acct_1,gg_camp_1,gg_group_284,gg_ad_1817,gg_asset_2269,2025-11-19,9,America/Los_Angeles,DESKTOP,YOUTUBE_SEARCH,MASTHEAD,90.0,15.0,28.0,32.0,4.0,68.19,188,11,48.0,296276,USD,PUBLISHED,ENABLED,,,2025-11-19T09:00:00+00:00,row_54lz3pssasa3,hash_uk00pw5raov9y6,youtube_20251119_09.csv,2025-11-19T09:40:00+00:00
gg_acct_12,gg_camp_45,gg_group_366,gg_ad_1437,gg_asset_50,2026-01-06,10,America/Los_Angeles,MOBILE,YOUTUBE_SEARCH,BUMPER,45.0,4.0,5.0,3.0,1.0,23.15,68,2,8.0,40631,USD,PUBLISHED,ENABLED,,,2026-01-07T10:00:00+00:00,row_k3lw420ifq4l,hash_fa6i9z6u4hf7ia,youtube_20260106_10.csv,2026-01-08T10:14:00+00:00
gg_acct_6,gg_camp_193,gg_group_556,gg_ad_1892,gg_asset_2813,2025-12-07,13,America/Los_Angeles,DESKTOP,YOUTUBE_SEARCH,DISCOVERY,8.0,28.0,21.0,23.0,23.0,4.83,154,281,79.0,196032,USD,QUARANTINED,ENABLED,,CLICKS_GT_IMPRESSIONS,2025-12-07T13:00:00+00:00,row_c3xupo9smgq3,hash_4yasdzlwtyab3y,youtube_20251207_13.csv,2025-12-09T13:03:00+00:00
gg_acct_5,gg_camp_150,gg_group_575,,gg_asset_1515,2025-11-24,20,,MOBILE,DISPLAY_NETWORK,BUMPER,8.0,19.0,10.0,14.0,3.0,5.96,104,1,20.0,12683,USD,RECEIVED,ENABLED,,,2025-11-25T20:00:00+00:00,row_9t7mwx1o5jj8,hash_odwus8fjeciv1e,youtube_20251124_20.csv,2025-11-24T21:23:00+00:00
gg_acct_6,gg_camp_149,gg_group_293,,gg_asset_2949,2025-11-28,5,Asia/Manila,TV,YOUTUBE_WATCH,MASTHEAD,60.0,9.0,36.0,20.0,11.0,9.1,233,13,50.0,58196,USD,VALIDATED,DISAPPROVED,,,2025-11-28T11:00:00+00:00,row_vg03kbv8n9by,hash_7amui1pv5e4f04,youtube_20251128_05.csv,2025-11-28T07:19:00+00:00
gg_acct_16,gg_camp_87,gg_group_60,,gg_asset_2898,2026-01-07,22,,TABLET,YOUTUBE_WATCH,MASTHEAD,6.0,18.0,11.0,10.0,7.0,1.28,115,4,26.0,70447,USD,ENRICHED,PAUSED,,,2026-01-08T22:00:00+00:00,row_op9cub1yknlk,hash_dk7vwznk7kkk5w,youtube_20260107_22.csv,2026-01-08T10:12:00+00:00
gg_acct_7,gg_camp_79,gg_group_580,gg_ad_2202,gg_asset_831,2025-09-23,23,Asia/Manila ,MOBILE,YOUTUBE_WATCH,MASTHEAD,90.0,50.0,42.0,36.0,24.0,39.07,251,6,95.0,144998,USD,VALIDATED,PAUSED,,,2025-09-23T23:00:00+00:00,row_pepm43walft9,hash_gsa8yoftemvhfx,youtube_20250923_23.csv,2025-09-23T23:00:00+00:00
gg_acct_8,gg_camp_54,gg_group_335,gg_ad_1232,gg_asset_2397,2025-12-26,22,America/Los_Angeles,TV,DISPLAY_NETWORK,BUMPER,8.0,13.0,15.0,4.0,0.0,1.52,268,1,25.0,159717,USD,VALIDATED,ENABLED,,,2025-12-27T04:00:00+00:00,row_osp1uiyc2upk,hash_0q87pmuy0253ii,youtube_20251226_22.csv,2025-12-26T22:08:00+00:00
gg_acct_4,gg_camp_87,gg_group_408,gg_ad_902,gg_asset_28,2025-10-27,10,America/Los_Angeles,MOBILE,DISPLAY_NETWORK,DISCOVERY,20.0,66.0,15.0,42.0,42.0,11.24,297,11,88.0,161916,USD,ENRICHED,REMOVED,,,2025-10-28T10:00:00+00:00,row_o20reg2nfai9,hash_52tp8zbrx8uvsn,youtube_20251027_10.csv,2025-10-28T10:59:00+00:00
gg_acct_17,gg_camp_66,gg_group_274,gg_ad_97,gg_asset_3450,2025-12-10,7,,MOBILE,YOUTUBE_WATCH,DISCOVERY,45.0,74.0,56.0,35.0,76.0,7.14,534,4,100.0,481754,USD,VALIDATED,ENABLED,,,2025-12-10T08:00:00+00:00,row_v5j3yk40d0p3,hash_g74tpda6gd9b6x,youtube_20251210_07.csv,2025-12-10T07:18:00+00:00
gg_acct_17,gg_camp_166,gg_group_206,gg_ad_2265,gg_asset_977,2025-12-24,13,Asia/Manila,TV,DISPLAY_NETWORK,DISCOVERY,,0.0,0.0,0.0,0.0,,84,3,1.0,20408,USD,ENRICHED,ENABLED,,,2025-12-25T13:00:00+00:00,row_3269j1dtljr2,hash_u7fpvz7h10jdr8,youtube_20251224_13.csv,2025-12-26T13:31:00+00:00
gg_acct_10,gg_camp_12,gg_group_78,,gg_asset_1882,2025-09-27,8,America/Los_Angeles,MOBIL,YOUTUBE_WATCH,MASTHEAD,,27.0,7.0,31.0,,,118,7,55.0,27164,USD,PUBLISHED,DRAFT,,,2025-09-27T08:00:00+00:00,row_9g7xnm336x2w,hash_15voepmtm2mn8v,youtube_20250927_08.csv,2025-09-27T09:12:00+00:00
gg_acct_9,gg_camp_144,gg_group_183,gg_ad_1678,gg_asset_1314,2025-11-22,2,America/Los_Angeles,MOBIL,DISPLAY_NETWORK,MASTHEAD,15.0,22.0,8.0,4.0,15.0,8.71,211,21,48.0,101869,USD,VALIDATED,ENABLED,,,2025-11-22T03:00:00+00:00,row_jzw2ulomzn0v,hash_px6jifioy80ils,youtube_20251122_02.csv,2025-11-23T02:59:00+00:00
gg_acct_2,gg_camp_134,gg_group_5,gg_ad_2113,gg_asset_2856,2025-11-01,0,Asia/Manila,DESKTOP,DISPLAY_NETWORK,DISCOVERY,8.0,8.0,19.0,19.0,26.0,1.91,104,3,41.0,100223,USD,PUBLISHED,PAUSED,,,2025-11-01T06:00:00+00:00,row_uaoh4ww0e4kl,hash_nmrzx4b3pbp7xy,youtube_20251101_00.csv,2025-11-03T00:59:00+00:00
gg_acct_4,gg_camp_86,gg_group_66,gg_ad_2415,gg_asset_1218,2025-10-06,18,,DESKTOP,YOUTUBE_SEARCH,UNKNOWN,,,,,,,171,1,,145843,USD,VALIDATED,PAUSED,,,2025-10-06T19:00:00+00:00,row_mjjq4etofpkr,hash_9ijx7yzgolxeap,youtube_20251006_18.csv,2025-10-07T18:19:00+00:00
gg_acct_13,gg_camp_143,gg_group_61,,,2025-10-10,4,Asia/Manila ,MOBIL,YOUTUBE_WATCH,MASTHEAD,30.0,6.0,0.0,2.0,0.0,7.88,186,5,12.0,92439,USD,ENRICHED,ENABLED,,,2025-10-10T05:00:00+00:00,row_qb79xxj6oedh,hash_600uykyr9ilinu,youtube_20251010_04.csv,2025-10-11T04:33:00+00:00
gg_acct_8,gg_camp_188,gg_group_176,gg_ad_694,gg_asset_1156,2025-11-23,22,America/Los_Angeles,TV,YOUTUBE_WATCH,UNKNOWN,,,,,,,183,226,,246542,USD,RECEIVED,ENABLED,,,2025-11-23T22:00:00+00:00,row_0x2ltnfuxubw,hash_jmx28bw9cbno6t,youtube_20251123_22.csv,2025-11-23T22:31:00+00:00
gg_acct_14,gg_camp_171,gg_group_473,gg_ad_667,gg_asset_3475,2026-01-14,18,Asia/Manila ,OTHER,YOUTUBE_WATCH,BUMPER,10.0,15.0,30.0,4.0,,2.47,236,359,44.0,278960,USD,QUARANTINED,ENABLED,,CLICKS_GT_IMPRESSIONS,2026-01-14T18:00:00+00:00,row_wkzf22omd9dn,hash_thhtvxqnb6ay1k,youtube_20260114_18.csv,2026-01-14T18:46:00+00:00
gg_acct_10,gg_camp_138,gg_group_328,gg_ad_150,,2025-12-16,9,Asia/Manila,MOBILE,YOUTUBE_WATCH,BUMPER,,7.0,2.0,3.0,6.0,,141,155,9.0,83423,USD,ENRICHED,ENABLED,,,2025-12-16T15:00:00+00:00,row_hcribl438g9n,hash_ihapqkt5xok0ca,youtube_20251216_09.csv,2025-12-16T09:55:00+00:00
gg_acct_6,gg_camp_61,gg_group_37,gg_ad_37,gg_asset_1826,2025-10-15,5,Asia/Manila,TABLET,YOUTUBE_WATCH,BUMPER,15.0,40.0,70.0,13.0,,9.14,363,6,119.0,149763,USD,PUBLISHED,ENABLED,,,2025-10-15T11:00:00+00:00,row_9bm0y26c1pa1,hash_s4javakep567kb,youtube_20251015_05.csv,2025-10-15T05:37:00+00:00
gg_acct_16,gg_camp_69,gg_group_496,gg_ad_2454,gg_asset_2940,2025-12-18,0,Asia/Manila,TABLET,DISPLAY_NETWORK,BUMPER,6.0,12.0,34.0,21.0,,2.38,138,14,44.0,245040,USD,PUBLISHED,ENABLED,,,2025-12-18T01:00:00+00:00,row_pzdtw9n0lfel,hash_ht77o15wo4g7bp,youtube_20251218_00.csv,2025-12-18T06:33:00+00:00
gg_acct_19,gg_camp_72,gg_group_584,gg_ad_927,gg_asset_154,2025-11-13,2,Asia/Manila,TABLET,YOUTUBE_SEARCH,DISCOVERY,15.0,59.0,62.0,38.0,51.0,9.96,303,15,122.0,58401,USD,PUBLISHED,ENABLED,,,2025-11-13T02:00:00+00:00,row_4h60mvxddt0f,hash_3lxk0xiylnq5dx,youtube_20251113_02.csv,2025-11-13T03:55:00+00:00
gg_acct_19,gg_camp_95,gg_group_459,gg_ad_2441,gg_asset_1133,2025-10-25,10,Asia/Manila ,MOBIL,YOUTUBE_WATCH,MASTHEAD,10.0,54.0,97.0,76.0,18.0,1.47,394,27,139.0,247007,USD,PUBLISHED,ENABLED,,,2025-10-26T10:00:00+00:00,row_r1zjiskpxotl,hash_0ru2qziyzst99d,youtube_20251025_10.csv,2025-10-25T11:13:00+00:00
gg_acct_11,gg_camp_22,gg_group_572,gg_ad_780,gg_asset_3271,2025-12-21,17,Asia/Manila ,TABLET,YOUTUBE_SEARCH,DISCOVERY,8.0,21.0,3.0,5.0,2.0,4.42,156,9,30.0,159511,USD,PUBLISHED,ENABLED,,,2025-12-21T18:00:00+00:00,row_jq0s9ukwmhdf,hash_f0n08g9gj18v07,youtube_20251221_17.csv,2025-12-21T17:59:00+00:00
gg_acct_18,gg_camp_172,gg_group_81,gg_ad_1459,gg_asset_1973,2025-10-22,4,Asia/Manila ,DESKTOP,DISPLAY_NETWORK,UNKNOWN,,,,,,,113,10,,25813,USD,PUBLISHED,PAUSED,,,2025-10-23T04:00:00+00:00,row_igobs3gv543h,hash_uumv7d0524sjh1,youtube_20251022_04.csv,2025-10-22T06:33:00+00:00
gg_acct_13,gg_camp_65,gg_group_152,gg_ad_1190,gg_asset_1815,2026-01-15,3,Asia/Manila ,OTHER,DISPLAY_NETWORK,DISCOVERY,8.0,17.0,15.0,24.0,6.0,3.11,128,2,41.0,15652,USD,QUARANTINED,ENABLED,,,2026-01-15T03:00:00+00:00,row_rfin6r4qugwl,hash_843j11tja444rp,youtube_20260115_03.csv,2026-01-15T03:29:00+00:00
gg_acct_5,gg_camp_159,gg_group_281,gg_ad_25,gg_asset_2580,2025-10-02,10,,DESKTOP,YOUTUBE_WATCH,DISCOVERY,,0.0,0.0,0.0,0.0,,120,3,1.0,143353,USD,QUARANTINED,ENABLED,,MISSING_VIDEO_DURATION,2025-10-02T16:00:00+00:00,row_40uqi1r59uuj,hash_j5zjswuje6iwgy,youtube_20251002_10.csv,2025-10-02T10:57:00+00:00
gg_acct_3,gg_camp_125,gg_group_208,gg_ad_2374,gg_asset_1442,2025-10-29,14,,TABLET,YOUTUBE_SEARCH,NON_SKIPPABLE,30.0,80.0,84.0,65.0,95.0,13.32,611,76,208.0,565807,USD,VALIDATED,ENABLED,,,2025-10-29T14:00:00+00:00,row_kiuen6p38bw9,hash_ezellshoagt07y,youtube_20251029_14.csv,2025-10-29T16:47:00+00:00
gg_acct_7,gg_camp_113,gg_group_232,,gg_asset_2313,2025-11-19,6,America/Los_Angeles,TV,YOUTUBE_SEARCH,MASTHEAD,60.0,33.0,17.0,0.0,26.0,17.9,255,10,50.0,50145,USD,ENRICHED,ENABLED,,,2025-11-20T06:00:00+00:00,row_cnh10dk7pv9l,hash_ofhek247tbuk6x,youtube_20251119_06.csv,2025-11-19T07:32:00+00:00
gg_acct_20,gg_camp_49,gg_group_313,gg_ad_254,gg_asset_3346,2025-11-09,9,America/Los_Angeles,TABLET,DISPLAY_NETWORK,SKIPPABLE_IN_STREAM,60.0,1.0,0.0,1.0,0.0,4.48,30,0,3.0,28853,USD,VALIDATED,ENABLED,,,2025-11-09T10:00:00+00:00,row_0k54yj3blzry,hash_9j5id58br81ku7,youtube_20251109_09.csv,2025-11-10T09:18:00+00:00
gg_acct_12,gg_camp_99,gg_group_235,gg_ad_1987,gg_asset_3043,2026-01-14,8,Asia/Manila,MOBIL,YOUTUBE_WATCH,MASTHEAD,30.0,1.0,1.0,2.0,0.0,12.34,87,1,3.0,147338,USD,RECEIVED,LIMITED,,,2026-01-14T09:00:00+00:00,row_iw0qvoo02260,hash_v3rjfdf5wilq83,youtube_20260114_08.csv,2026-01-14T09:05:00+00:00
gg_acct_1,gg_camp_27,gg_group_474,gg_ad_774,gg_asset_76,2026-01-06,21,Asia/Manila,DESKTOP,YOUTUBE_SEARCH,SKIPPABLE_IN_STREAM,60.0,2.0,1.0,0.0,2.0,14.37,27,0,4.0,16769,USD,ENRICHED,REMOVED,,,2026-01-06T22:00:00+00:00,row_acnh4wt0th3b,hash_ycq9p4sbv016v6,youtube_20260106_21.csv,2026-01-07T09:13:00+00:00
gg_acct_4,gg_camp_100,gg_group_443,gg_ad_1405,gg_asset_3337,2025-09-26,5,Asia/Manila ,MOBILE,YOUTUBE_SEARCH,BUMPER,30.0,6.0,7.0,9.0,4.0,24.53,309,2,14.0,33635,USD,VALIDATED,ENABLED,,,2025-09-27T05:00:00+00:00,row_pibhpd8j4926,hash_radhyia4agkv6g,youtube_20250926_05.csv,2025-09-27T05:26:00+00:00
gg_acct_16,gg_camp_125,gg_group_396,gg_ad_159,,2025-10-17,12,Asia/Manila ,DESKTOP,DISPLAY_NETWORK,NON_SKIPPABLE,12.0,6.0,5.0,5.0,2.0,5.1,420,24,12.0,-221259,USD,PUBLISHED,ENABLED,,,2025-10-17T13:00:00+00:00,row_m1pnsw83wsh5,hash_gso4z7wmrcutdj,youtube_20251017_12.csv,2025-10-17T12:20:00+00:00
