ad_account_id,campaign_id,ad_squad_id,ad_id,creative_id,start_time_utc,end_time_utc,device_os,placement,ad_product_type,creative_duration_seconds,view_time_millis,impressions,swipes,spend,currency_code,video_views,engagements,pipeline_status,delivery_status,quarantine_reason,ingested_at,row_id,row_hash,source_file,ingested_at_utc
snap_acct_20,snap_camp_39,snap_squad_294,snap_ad_2181,snap_cr_988,2025-12-12T17:00:00+00:00,2025-12-12T18:00:00+00:00,Other,Stories,UNKNOWN,,,363,3,0.174082,SGD,,1,VALIDATED,ACTIVE,,2025-12-12T19:00:00+00:00,row_ykov4pp1k04l,hash_j2qcqwupxiyhaq,snapchat_20251212_17.csv,2025-12-13T17:24:00+00:00
snap_acct_2,snap_camp_155,snap_squad_229,snap_ad_461,snap_cr_3281,2025-10-18T07:00:00+00:00,2025-10-18T08:00:00+00:00,Android,Spotlight,COLLECTION_AD,,,297,0,0.131401,PHP,,22,VALIDATED,LIMITED,,2025-10-18T13:00:00+00:00,row_1dyh1kylv6sf,hash_060dw19a7xvdot,snapchat_20251018_07.csv,2025-10-18T09:19:00+00:00
snap_acct_16,snap_camp_60,snap_squad_69,snap_ad_433,snap_cr_1183,2025-10-13T08:00:00+00:00,2025-10-13T09:00:00+00:00,iOS,Stories,COLLECTION_AD,,,98,5,0.0654,PHP,,16,RECEIVED,ACTIVE,,2025-10-13T08:00:00+00:00,row_86k3gso29meo,hash_4dlysnrozavlgl,snapchat_20251013_08.csv,2025-10-13T09:40:00+00:00
snap_acct_7,snap_camp_67,snap_squad_569,snap_ad_1427,snap_cr_3281,2025-12-06T18:00:00+00:00,2025-12-06T19:00:00+00:00,Android,Spotlight,SINGLE_IMAGE,,,84,1,0.041217,PHP,,15,ENRICHED,ACTIVE,,2025-12-06T18:00:00+00:00,row_nd0237tqqjpv,hash_x521g0idlib8f5,snapchat_20251206_18.csv,2025-12-06T19:44:00+00:00
snap_acct_14,snap_camp_92,snap_squad_187,snap_ad_606,snap_cr_4042,2025-10-31T21:00:00+00:00,2025-10-31T22:00:00+00:00,iOS,Discover,SINGLE_IMAGE,,,142,6,0.106044,USD,,15,VALIDATED,ACTIVE,,2025-11-01T03:00:00+00:00,row_pnvl3ztfguzm,hash_dvtqq9z7rzznt1,snapchat_20251031_21.csv,2025-10-31T22:31:00+00:00
snap_acct_1,snap_camp_150,snap_squad_524,snap_ad_880,snap_cr_892,2025-09-25T22:00:00+00:00,2025-09-25T23:00:00+00:00,Android,Stories,COLLECTION_AD,,,778,8,0.778178,PHP,,129,ENRICHED,ARCHIVED,,2025-09-25T22:00:00+00:00,row_6z6c784k9hsm,hash_bx3ayy73a0yjhw,snapchat_20250925_22.csv,2025-09-26T22:16:00+00:00
snap_acct_1,snap_camp_4,snap_squad_566,snap_ad_2167,snap_cr_2166,2025-10-13T23:00:00+00:00,2025-10-14T00:00:00+00:00,Android,Stories,STORY_AD,20.0,281520.0,201,4,0.214367,SGD,23.0,44,VALIDATED,DISAPPROVED,,2025-10-13T23:00:00+00:00,row_fjnbondqc7gh,hash_ydn64hkric9k96,snapchat_20251013_23.csv,2025-10-14T00:02:00+00:00
snap_acct_13,snap_camp_108,snap_squad_395,snap_ad_1349,snap_cr_2394,2026-01-10T15:00:00+00:00,2026-01-10T16:00:00+00:00,iOS,Discover,SINGLE_IMAGE,,,1072,31,0.16929,SGD,,164,VALIDATED,ACTIVE,,2026-01-11T15:00:00+00:00,row_f3rfrjl9ghrl,hash_wj3dqkin1u6aqn,snapchat_20260110_15.csv,2026-01-10T16:24:00+00:00
snap_acct_13,snap_camp_61,snap_squad_563,snap_ad_1304,snap_cr_836,2025-09-22T02:00:00+00:00,2025-09-22T03:00:00+00:00,Other,Spotlight,STORY_AD,60.0,2096700.0,350,2,0.118847,SGD,174.0,85,QUARANTINED,ACTIVE,,2025-09-22T04:00:00+00:00,row_utq00fhzd1gv,hash_3jrfqbyq9acgyy,snapchat_20250922_02.csv,2025-09-22T03:03:00+00:00
snap_acct_5,snap_camp_55,snap_squad_436,snap_ad_2362,snap_cr_1575,2025-11-21T02:00:00+00:00,2025-11-21T03:00:00+00:00,iOS,Stories,COLLECTION_AD,,,300,5,0.133392,USD,,71,VALIDATED,LIMITED,,2025-11-21T04:00:00+00:00,row_ihhj8ryctp0f,hash_phfk0ztr1h28wd,snapchat_20251121_02.csv,2025-11-23T02:31:00+00:00
snap_acct_16,snap_camp_169,snap_squad_503,snap_ad_2158,snap_cr_317,2025-10-21T07:00:00+00:00,2025-10-21T08:00:00+00:00,Other,Spotlight,UNKNOWN,,,379,53,0.148753,PHP,,24,VALIDATED,LIMITED,,2025-10-21T07:00:00+00:00,row_vd48vf1h5ldw,hash_d1oh1r0lik9unj,snapchat_20251021_07.csv,2025-10-21T13:35:00+00:00
snap_acct_19,snap_camp_67,snap_squad_571,snap_ad_404,snap_cr_2224,2025-10-08T00:00:00+00:00,2025-10-08T01:00:00+00:00,Android,Stories,STORY_AD,30.0,57040.0,73,0,0.064685,USD,4.0,12,VALIDATED,ACTIVE,,2025-10-08T06:00:00+00:00,row_mq92tqqffon4,hash_6hvtlcxdytr03e,snapchat_20251008_00.csv,2025-10-08T00:49:00+00:00
snap_acct_3,snap_camp_111,snap_squad_299,snap_ad_176,snap_cr_1792,2026-01-07T12:00:00+00:00,2026-01-07T13:00:00+00:00,iOS,Spotlight,SINGLE_IMAGE,,,63,2,0.042339,PHP,,15,RECEIVED,ACTIVE,,2026-01-07T12:00:00+00:00,row_ghocolb3sinj,hash_4d7ir7ypzapx7h,snapchat_20260107_12.csv,2026-01-07T18:36:00+00:00
snap_acct_7,snap_camp_120,snap_squad_128,snap_ad_2127,snap_cr_1454,2025-10-02T17:00:00+00:00,2025-10-02T18:00:00+00:00,iOS,Spotlight,SINGLE_IMAGE,,,327,9,0.177259,USD,,13,VALIDATED,ACTIVE,,2025-10-03T17:00:00+00:00,row_o8dlj1lkdb53,hash_eglk8999uwmj76,snapchat_20251002_17.csv,2025-10-02T18:11:00+00:00
snap_acct_19,snap_camp_77,snap_squad_189,snap_ad_785,snap_cr_1726,2025-12-18T14:00:00+00:00,2025-12-18T15:00:00+00:00,Android,Spotlight,COLLECTION_AD,,,135,0,0.131975,PHP,,31,RECEIVED,ACTIVE,,2025-12-18T20:00:00+00:00,row_srykf40j4udy,hash_wekplbh0vapke8,snapchat_20251218_14.csv,2025-12-19T02:38:00+00:00
snap_acct_12,snap_camp_99,snap_squad_33,snap_ad_266,snap_cr_3576,2026-01-03T10:00:00+00:00,2026-01-03T11:00:00+00:00,Android,Spotlight,SINGLE_IMAGE,,,330,1,0.074125,PHP,,42,PUBLISHED,ACTIVE,,2026-01-03T16:00:00+00:00,row_fs7hp6zlegzu,hash_xsv3ecryqoc5bs,snapchat_20260103_10.csv,2026-01-04T10:07:00+00:00
snap_acct_13,snap_camp_78,snap_squad_167,snap_ad_213,snap_cr_4024,2025-10-10T23:00:00+00:00,2025-10-11T00:00:00+00:00,Other,Spotlight,COLLECTION_AD,,,427,4,0.052995,USD,,135,VALIDATED,ACTIVE,,2025-10-10T23:00:00+00:00,row_9fvad78od1dt,hash_9z9edu0owm6zlh,snapchat_20251010_23.csv,2025-10-12T23:11:00+00:00
snap_acct_20,snap_camp_14,snap_squad_321,snap_ad_1242,,2026-01-15T08:00:00+00:00,2026-01-15T09:00:00+00:00,Other,Discover,SINGLE_IMAGE,,,336,7,0.248179,PHP,,46,RECEIVED,ACTIVE,,2026-01-16T08:00:00+00:00,row_afkfhdkn62a4,hash_fuvcud6x1zyfsa,snapchat_20260115_08.csv,2026-01-15T14:43:00+00:00
snap_acct_11,snap_camp_168,snap_squad_445,snap_ad_465,snap_cr_629,2025-10-02T03:00:00+00:00,2025-10-02T04:00:00+00:00,Other,Discover,STORY_AD,8.0,83720.0,254,11,0.121797,PHP,52.0,11,ENRICHED,ACTIVE,,2025-10-02T05:00:00+00:00,row_hxn9xj31q13y,hash_qy4zl2trlm0es0,snapchat_20251002_03.csv,2025-10-02T09:35:00+00:00
snap_acct_10,snap_camp_119,snap_squad_227,snap_ad_2136,,2025-10-08T02:00:00+00:00,2025-10-08T03:00:00+00:00,Other,Discover,UNKNOWN,,,147,0,0.057542,PHP,,10,PUBLISHED,DRAFT,,2025-10-08T04:00:00+00:00,row_2grsmg2gt8h2,hash_ullwvvbi1eepc2,snapchat_20251008_02.csv,2025-10-08T14:41:00+00:00
snap_acct_17,snap_camp_171,snap_squad_423,snap_ad_1596,snap_cr_2964,2025-12-16T12:00:00+00:00,2025-12-16T13:00:00+00:00,Android,Spotlight,STORY_AD,6.0,6120.0,70,2,0.046348,USD,6.0,2,PUBLISHED,DISAPPROVED,,2025-12-16T18:00:00+00:00,row_2e4rdgo7s06u,hash_mm0da8dtztn760,snapchat_20251216_12.csv,2025-12-16T13:57:00+00:00
snap_acct_13,snap_camp_99,snap_squad_35,snap_ad_1239,snap_cr_4133,2025-11-13T08:00:00+00:00,2025-11-13T09:00:00+00:00,Other,Spotlight,UNKNOWN,,,218,5,0.047343,PHP,,61,ENRICHED,ACTIVE,,2025-11-13T10:00:00+00:00,row_j1xyiv3vqgo2,hash_4nsn3zq35xvx1f,snapchat_20251113_08.csv,2025-11-13T09:04:00+00:00
snap_acct_20,snap_camp_16,snap_squad_108,snap_ad_543,snap_cr_3528,2025-11-22T00:00:00+00:00,2025-11-22T01:00:00+00:00,Android,Discover,STORY_AD,,1761200.0,210,253,0.136261,PHP,40.0,13,QUARANTINED,ACTIVE,MISSING_VIDEO_DURATION,2025-11-22T00:00:00+00:00,row_hsbvk9d8rh7m,hash_ozjuagpydvg4da,snapchat_20251122_00.csv,2025-11-22T00:36:00+00:00
snap_acct_17,snap_camp_149,snap_squad_494,snap_ad_1174,snap_cr_73,2026-01-04T02:00:00+00:00,2026-01-04T03:00:00+00:00,Android,Stories,COLLECTION_AD,,,468,41,0.482474,PHP,,47,VALIDATED,PAUSED,,2026-01-04T02:00:00+00:00,row_wsoeoa1oiixw,hash_w2qifwirtq5bpf,snapchat_20260104_02.csv,2026-01-05T02:09:00+00:00
snap_acct_16,snap_camp_120,snap_squad_231,snap_ad_1571,snap_cr_989,2025-11-17T07:00:00+00:00,2025-11-17T08:00:00+00:00,iOS,Stories,STORY_AD,90.0,1352120.0,240,3,0.248662,AUD,44.0,22,ENRICHED,ACTIVE,,2025-11-17T13:00:00+00:00,row_qydemzpjxe9u,hash_4dzhcrzc787sxe,snapchat_20251117_07.csv,2025-11-17T07:30:00+00:00
snap_acct_4,snap_camp_106,snap_squad_234,snap_ad_2386,snap_cr_366,2025-12-05T09:00:00+00:00,2025-12-05T10:00:00+00:00,iOS,Stories,COLLECTION_AD,,,89,1,0.051432,PHP,,24,ENRICHED,ACTIVE,,2025-12-05T11:00:00+00:00,row_ivlu560ms9b0,hash_1wjkkermoqzxln,snapchat_20251205_09.csv,2025-12-05T09:30:00+00:00
snap_acct_3,snap_camp_177,snap_squad_282,snap_ad_399,snap_cr_2582,2025-12-23T10:00:00+00:00,2025-12-23T11:00:00+00:00,iOS,Discover,COLLECTION_AD,,,438,17,0.510405,PHP,,44,VALIDATED,LIMITED,,2025-12-23T10:00:00+00:00,row_39iluk1dny3s,hash_awb62we0h6ofcl,snapchat_20251223_10.csv,2025-12-23T10:28:00+00:00
snap_acct_11,snap_camp_3,snap_squad_275,snap_ad_645,snap_cr_751,2025-11-13T04:00:00+00:00,2025-11-13T05:00:00+00:00,Other,Stories,STORY_AD,90.0,3000500.0,213,3,0.230601,PHP,85.0,59,VALIDATED,LIMITED,,2025-11-14T04:00:00+00:00,row_x83jmbfcw2et,hash_i3ax93fhkkam27,snapchat_20251113_04.csv,2025-11-13T04:36:00+00:00
snap_acct_11,snap_camp_62,snap_squad_56,snap_ad_905,,2025-12-14T12:00:00+00:00,2025-12-14T13:00:00+00:00,Android,Discover,SINGLE_IMAGE,,,316,6,0.021597,USD,,110,PUBLISHED,PAUSED,,2025-12-14T14:00:00+00:00,row_nlzvl0jk5gw9,hash_zisxqths2e87xg,snapchat_20251214_12.csv,2025-12-14T18:53:00+00:00
snap_acct_5,snap_camp_33,snap_squad_62,snap_ad_449,snap_cr_3647,2025-11-29T11:00:00+00:00,2025-11-29T12:00:00+00:00,iOS,Spotlight,SINGLE_IMAGE,,,151,1,0.1853,USD,,20,VALIDATED,DRAFT,,2025-11-29T17:00:00+00:00,row_8b8hzpldc4sv,hash_4yeepey2g9tcgc,snapchat_20251129_11.csv,2025-11-29T17:40:00+00:00
snap_acct_14,snap_camp_166,snap_squad_538,snap_ad_1888,snap_cr_2988,2026-01-09T19:00:00+00:00,2026-01-09T20:00:00+00:00,Android,Stories,COLLECTION_AD,,,873,130,0.354755,PHP,,265,PUBLISHED,ACTIVE,,2026-01-10T01:00:00+00:00,row_cqy8fl4eigmp,hash_tfeguep8mmf4i8,snapchat_20260109_19.csv,2026-01-09T21:00:00+00:00
snap_acct_8,snap_camp_37,snap_squad_236,snap_ad_151,snap_cr_57,2025-09-30T02:00:00+00:00,2025-09-30T03:00:00+00:00,iOS,Discover,STORY_AD,,,97,0,0.05432,PHP,27.0,7,PUBLISHED,ACTIVE,,2025-09-30T04:00:00+00:00,row_ri4lvcywv2c9,hash_lxn733ppoy1fj9,snapchat_20250930_02.csv,2025-09-30T03:47:00+00:00
snap_acct_20,snap_camp_26,snap_squad_304,snap_ad_1426,snap_cr_1018,2025-12-20T02:00:00+00:00,2025-12-20T03:00:00+00:00,iOS,Stories,SINGLE_VIDEO,8.0,1825200.0,529,4,0.195408,PHP ,234.0,116,PUBLISHED,ACTIVE,,2025-12-20T02:00:00+00:00,row_d2l0c218a0yk,hash_vdvdk086ufdvfg,snapchat_20251220_02.csv,2025-12-20T14:07:00+00:00
snap_acct_8,snap_camp_148,snap_squad_588,snap_ad_1595,snap_cr_3007,2025-10-12T09:00:00+00:00,2025-10-12T10:00:00+00:00,Android,Discover,UNKNOWN,,,232,8,0.27659,USD,,29,VALIDATED,ACTIVE,,2025-10-12T09:00:00+00:00,row_g8cgll2pvkoc,hash_f9uyv86sehew3v,snapchat_20251012_09.csv,2025-10-12T09:33:00+00:00
snap_acct_2,snap_camp_27,snap_squad_25,snap_ad_2067,snap_cr_202,2026-01-03T08:00:00+00:00,2026-01-03T09:00:00+00:00,Android,Stories,SINGLE_VIDEO,90.0,756970.0,178,3,0.129857,PHP,59.0,35,VALIDATED,ACTIVE,,2026-01-03T08:00:00+00:00,row_2jl7pmcripl9,hash_5jjthvj8k4nize,snapchat_20260103_08.csv,2026-01-03T08:55:00+00:00
snap_acct_15,snap_camp_111,snap_squad_438,snap_ad_1942,snap_cr_1392,2026-01-14T16:00:00+00:00,2026-01-14T17:00:00+00:00,Android,Spotlight,UNKNOWN,,,314,166,0.083944,usd,,38,ENRICHED,PAUSED,,2026-01-15T16:00:00+00:00,row_jrrqieeicm6c,hash_8iosc47p3mb4zs,snapchat_20260114_16.csv,2026-01-16T16:26:00+00:00
snap_acct_19,snap_camp_133,snap_squad_191,snap_ad_933,snap_cr_584,2025-12-02T04:00:00+00:00,2025-12-02T05:00:00+00:00,iOS,Discover,SINGLE_VIDEO,60.0,617550.0,137,0,0.044044,PHP,15.0,40,ENRICHED,ACTIVE,,2025-12-02T04:00:00+00:00,row_7imcazsaw48a,hash_ap33dx5g5l4wqx,snapchat_20251202_04.csv,2025-12-02T04:39:00+00:00
snap_acct_10,snap_camp_36,snap_squad_496,snap_ad_1265,snap_cr_3420,2025-10-18T00:00:00+00:00,2025-10-18T01:00:00+00:00,iOS,Discover,SINGLE_VIDEO,60.0,4998240.0,1041,30,0.764162,PHP,351.0,282,VALIDATED,ACTIVE,,2025-10-18T02:00:00+00:00,row_43ntq1x8aels,hash_prn480bhwwien4,snapchat_20251018_00.csv,2025-10-19T00:28:00+00:00
snap_acct_13,snap_camp_132,snap_squad_114,snap_ad_1948,snap_cr_2489,2025-10-31T20:00:00+00:00,2025-10-31T21:00:00+00:00,Other,Spotlight,UNKNOWN,,,49,0,0.01483,USD,,0,VALIDATED,ACTIVE,,2025-10-31T22:00:00+00:00,row_qkjbopalgx36,hash_oth6g2n6w18ru4,snapchat_20251031_20.csv,2025-11-02T20:23:00+00:00
snap_acct_20,snap_camp_177,snap_squad_54,snap_ad_1110,snap_cr_3070,2025-12-13T09:00:00+00:00,2025-12-13T10:00:00+00:00,Android,Spotlight,STORY_AD,8.0,45640.0,81,0,0.061785,USD,28.0,7,RECEIVED,ACTIVE,,2025-12-14T09:00:00+00:00,row_qpxvo51wf0zn,hash_ksajb2p39a9bfc,snapchat_20251213_09.csv,2025-12-13T21:26:00+00:00
snap_acct_19,snap_camp_143,snap_squad_563,snap_ad_2179,snap_cr_2968,2025-10-08T09:00:00+00:00,2025-10-08T10:00:00+00:00,Other,Stories,STORY_AD,60.0,359920.0,103,3,0.014172,AUD,22.0,7,VALIDATED,LIMITED,,2025-10-09T09:00:00+00:00,row_19bsool017fx,hash_6ls69oxb1x9kzw,snapchat_20251008_09.csv,2025-10-08T15:19:00+00:00
snap_acct_5,snap_camp_33,snap_squad_451,snap_ad_1834,snap_cr_1414,2025-11-03T17:00:00+00:00,2025-11-03T18:00:00+00:00,Other,Stories,SINGLE_VIDEO,6.0,70720.0,137,2,0.007824,USD,68.0,0,VALIDATED,LIMITED,,2025-11-03T19:00:00+00:00,row_cdsf5e3tovfm,hash_xrvw60xncythd5,snapchat_20251103_17.csv,2025-11-04T05:57:00+00:00
snap_acct_5,snap_camp_117,snap_squad_70,snap_ad_1496,snap_cr_3197,2025-10-07T20:00:00+00:00,2025-10-07T21:00:00+00:00,iOS,Stories,STORY_AD,60.0,390250.0,179,8,0.104951,EUR,35.0,7,PUBLISHED,ACTIVE,,2025-10-07T22:00:00+00:00,row_kbyifax90g6s,hash_w2be7ter9updq6,snapchat_20251007_20.csv,2025-10-07T22:24:00+00:00
snap_acct_15,snap_camp_81,snap_squad_564,snap_ad_2349,snap_cr_297,2025-09-19T05:00:00+00:00,2025-09-19T06:00:00+00:00,Other,Spotlight,SINGLE_VIDEO,10.0,1201910.0,941,20,0.334299,PHP,263.0,81,QUARANTINED,ACTIVE,,2025-09-19T05:00:00+00:00,row_ga1cgh8nfdzp,hash_18146oi11qzqf8,snapchat_20250919_05.csv,2025-09-21T05:31:00+00:00
snap_acct_1,snap_camp_108,snap_squad_242,snap_ad_2241,snap_cr_535,2025-11-30T20:00:00+00:00,2025-11-30T21:00:00+00:00,Android,Stories,UNKNOWN,,,55,0,0.038308,USD,,24,VALIDATED,ACTIVE,,2025-12-01T20:00:00+00:00,row_81o2u8y7sn3e,hash_1yzg9qxrx6f36z,snapchat_20251130_20.csv,2025-12-01T08:10:00+00:00
snap_acct_4,snap_camp_135,snap_squad_235,snap_ad_710,snap_cr_3289,2025-11-23T08:00:00+00:00,2025-11-23T09:00:00+00:00,Other,Stories,COLLECTION_AD,,,55,0,0.006171,PHP,,7,PUBLISHED,ACTIVE,,2025-11-23T10:00:00+00:00,row_jq4iovhfym05,hash_4d32u2ftwcpokn,snapchat_20251123_08.csv,2025-11-25T08:47:00+00:00
snap_acct_1,snap_camp_180,snap_squad_414,snap_ad_429,snap_cr_3699,2026-01-01T02:00:00+00:00,2026-01-01T03:00:00+00:00,Android,Stories,SINGLE_VIDEO,15.0,358680.0,212,3,0.162015,PHP,42.0,6,PUBLISHED,PAUSED,,2026-01-01T08:00:00+00:00,row_fji6jf6576tf,hash_6z5outz9mlq8t5,snapchat_20260101_02.csv,2026-01-01T04:07:00+00:00
snap_acct_8,snap_camp_59,snap_squad_470,snap_ad_1670,snap_cr_3615,2026-01-02T07:00:00+00:00,2026-01-02T08:00:00+00:00,Other,Spotlight,UNKNOWN,,,192,6,0.153459,SGD,,36,PUBLISHED,ACTIVE,,2026-01-02T09:00:00+00:00,row_qz90c5hrs031,hash_iazvsvpg9miiil,snapchat_20260102_07.csv,2026-01-03T07:44:00+00:00
snap_acct_2,snap_camp_94,snap_squad_58,snap_ad_190,snap_cr_2329,2025-10-20T01:00:00+00:00,2025-10-20T02:00:00+00:00,iOS,Discover,COLLECTION_AD,,,153,2,0.135312,PHP,,18,ENRICHED,ACTIVE,,2025-10-20T07:00:00+00:00,row_5pfrjp1x3nv8,hash_izw1rph59qvt14,snapchat_20251020_01.csv,2025-10-20T02:01:00+00:00
snap_acct_11,snap_camp_59,snap_squad_45,snap_ad_1206,snap_cr_2470,2025-11-09T15:00:00+00:00,2025-11-09T16:00:00+00:00,Other,Stories,SINGLE_VIDEO,60.0,346610.0,113,0,0.197786,USD,11.0,27,VALIDATED,ACTIVE,,2025-11-09T15:00:00+00:00,row_mozdam7nfnvz,hash_qgfccho74533er,snapchat_20251109_15.csv,2025-11-09T15:17:00+00:00
snap_acct_17,snap_camp_18,snap_squad_190,snap_ad_1910,snap_cr_3529,2025-11-22T22:00:00+00:00,2025-11-22T23:00:00+00:00,Other,Discover,COLLECTION_AD,,,139,3,0.096833,PHP,,19,PUBLISHED,ARCHIVED,,2025-11-23T00:00:00+00:00,row_oybpk6c080lz,hash_ze0do5juu7pvew,snapchat_20251122_22.csv,2025-11-23T04:53:00+00:00
snap_acct_7,snap_camp_20,snap_squad_199,snap_ad_327,,2025-11-13T22:00:00+00:00,2025-11-13T23:00:00+00:00,iOS,Discover,SINGLE_IMAGE,,,281,0,0.212467,SGD,,67,PUBLISHED,LIMITED,,2025-11-13T22:00:00+00:00,row_ulgsldhg9s8b,hash_6jskosk84ci0lo,snapchat_20251113_22.csv,2025-11-13T22:29:00+00:00
